s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.0453583E-001, 2.0000000E+001
 2.0907166E-001, 2.0000005E+001
 3.1360750E-001, 1.9999999E+001
 4.1814333E-001, 2.0000042E+001
 5.2267916E-001, 2.0000082E+001
 5.7568883E-001, 2.0000106E+001
 6.2761546E-001, 2.0002190E+001
 6.7954209E-001, 2.0004283E+001
 7.2547089E-001, 2.0006137E+001
 7.7139969E-001, 2.0010212E+001
 8.0400951E-001, 2.0013120E+001
 8.3661932E-001, 2.0016047E+001
 8.6305092E-001, 2.0024087E+001
 8.8427146E-001, 2.0030570E+001
 9.0549200E-001, 2.0037083E+001
 9.2671254E-001, 2.0044929E+001
 9.4458675E-001, 2.0051572E+001
 9.6246095E-001, 2.0058260E+001
 9.8033516E-001, 2.0067904E+001
 9.9820936E-001, 2.0077626E+001
 1.0132240E+000, 2.0085871E+001
 1.0282386E+000, 2.0095218E+001
 1.0432531E+000, 2.0104669E+001
 1.0582677E+000, 2.0114242E+001
 1.0732823E+000, 2.0125143E+001
 1.0882969E+000, 2.0136179E+001
 1.1033115E+000, 2.0147362E+001
 1.1183261E+000, 2.0158658E+001
 1.1333407E+000, 2.0169979E+001
 1.1483553E+000, 2.0181702E+001
 1.1633699E+000, 2.0194675E+001
 1.1783845E+000, 2.0216226E+001
 1.1933991E+000, 2.0324409E+001
 1.2084137E+000, 3.0411900E+001
 1.2208131E+000, 5.8902362E+001
 1.2332126E+000, 1.1494284E+002
 1.2456120E+000, 1.8315422E+002
 1.2580114E+000, 2.3478022E+002
 1.2704109E+000, 2.6954958E+002
 1.2828103E+000, 2.9343061E+002
 1.2952097E+000, 3.1133119E+002
 1.3061551E+000, 3.4380924E+002
 1.3171004E+000, 3.8095073E+002
 1.3280458E+000, 4.2382810E+002
 1.3608819E+000, 4.7894418E+002
 1.3827726E+000, 4.5882388E+002
 1.4156087E+000, 3.8168571E+002
 1.4484448E+000, 3.0889936E+002
 1.4788289E+000, 2.8458671E+002
 1.5079869E+000, 2.9717679E+002
 1.5371449E+000, 2.6648670E+002
 1.5663030E+000, 2.2375717E+002
 1.5954610E+000, 2.5172719E+002
 1.6246191E+000, 5.2030031E+002
 1.6537771E+000, 6.0384330E+002
 1.6807982E+000, 4.8782401E+002
 1.7154018E+000, 4.7590856E+002
 1.7413544E+000, 7.7979901E+002
 1.7759580E+000, 7.2721020E+002
 1.8045059E+000, 7.3116842E+002
 1.8330538E+000, 8.5135739E+002
 1.8616018E+000, 7.8003081E+002
 1.8901497E+000, 7.8205178E+002
 1.9282136E+000, 8.2998835E+002
 1.9556546E+000, 7.6743528E+002
 1.9808816E+000, 8.5200909E+002
 2.0145177E+000, 9.2123098E+002
 2.0481537E+000, 1.0014844E+003
 2.0733808E+000, 1.0208312E+003
 2.1070168E+000, 1.0427895E+003
 2.1322439E+000, 1.0561802E+003
 2.1658799E+000, 1.0815869E+003
 2.1911070E+000, 1.0839455E+003
 2.2247430E+000, 1.0564675E+003
 2.2583791E+000, 1.0741986E+003
 2.2836061E+000, 1.1167150E+003
 2.3180831E+000, 1.1214450E+003
 2.3458329E+000, 1.1194459E+003
 2.3735826E+000, 1.1248273E+003
 2.4013324E+000, 1.1104529E+003
 2.4383320E+000, 1.1282730E+003
 2.4660818E+000, 1.1145481E+003
