s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9005079E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9005079E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0453583E-001, 0.0000000E+000, 0.0000000E+000,-1.0029588E-006,-2.9910051E-005, 0.0000000E+000,-8.0396377E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3487678E-004, 0.0000000E+000, 4.1921184E-004, 0.0000000E+000
 2.0907167E-001, 1.5898292E+001, 0.0000000E+000,-9.9799254E-007, 2.7026328E-001, 8.8218950E-010,-9.8680552E-004, 0.0000000E+000, 0.0000000E+000,-1.2653851E-003, 1.6167568E+001, 0.0000000E+000, 8.2942555E-004, 0.0000000E+000
 3.1360748E-001, 3.3838985E+001, 0.0000000E+000,-3.4212984E-001, 5.6603823E-001,-1.8199497E-002,-4.5577548E-003, 0.0000000E+000, 0.0000000E+000, 1.6115443E+001, 3.4040136E+001, 0.0000000E+000, 1.2223993E-003, 0.0000000E+000
 4.1814333E-001, 5.2193630E+001, 0.0000000E+000,-4.5567742E+000, 7.7743695E-001,-7.1135403E-002,-5.8243293E-003, 0.0000000E+000, 0.0000000E+000, 3.3459374E+001, 4.8337333E+001, 0.0000000E+000, 1.5912729E-003, 0.0000000E+000
 5.2267915E-001, 7.0082908E+001, 0.0000000E+000,-3.2702497E+001, 5.9022882E-001,-1.4559635E-001,-7.6337372E-003, 0.0000000E+000, 0.0000000E+000, 4.7251416E+001, 3.7817410E+001, 0.0000000E+000, 1.9309676E-003, 0.0000000E+000
 6.2761545E-001, 8.9453172E+001, 0.0000000E+000,-4.6792799E+001, 6.9965003E-001,-1.3909753E-001,-1.0109004E-002, 0.0000000E+000, 0.0000000E+000, 4.4086943E+001, 4.3210816E+001, 0.0000000E+000, 2.1644514E-003, 0.0000000E+000
 7.2547090E-001, 7.8633144E+001, 0.0000000E+000,-2.8024082E+001, 8.3885859E-001,-1.2275231E-001,-1.2041617E-002, 0.0000000E+000, 0.0000000E+000, 4.1128152E+001, 5.1313127E+001, 0.0000000E+000, 2.4344654E-003, 0.0000000E+000
 8.0400950E-001, 1.1325360E+002, 0.0000000E+000,-3.8254264E+001, 1.2121525E+000,-1.1397054E-001,-1.3227373E-002, 0.0000000E+000, 0.0000000E+000, 6.0321586E+001, 7.6084288E+001, 0.0000000E+000, 2.6380120E-003, 0.0000000E+000
 9.0549201E-001, 1.6037076E+002, 0.0000000E+000,-6.2389429E+001, 1.5977086E+000,-1.0889671E-001,-1.4136991E-002, 0.0000000E+000, 0.0000000E+000, 9.4384419E+001, 9.9456002E+001, 0.0000000E+000, 2.8175759E-003, 0.0000000E+000
 1.0132240E+000, 1.5373904E+002, 0.0000000E+000,-5.3783772E+001, 1.6917385E+000,-1.0303194E-001,-1.4899234E-002, 0.0000000E+000, 0.0000000E+000, 1.0152324E+002, 1.0152907E+002, 0.0000000E+000, 3.0094263E-003, 0.0000000E+000
 1.1033115E+000, 1.3900689E+002, 0.0000000E+000,-3.5771009E+001, 1.7314882E+000,-1.0525826E-001,-1.4902900E-002, 0.0000000E+000, 0.0000000E+000, 1.0472758E+002, 1.0484721E+002, 0.0000000E+000, 3.1702193E-003, 0.0000000E+000
 1.2084137E+000, 1.5308056E+002, 0.0000000E+000,-4.3893817E+001, 1.7933271E+000,-1.1503974E-001,-1.5377373E-002, 0.0000000E+000, 0.0000000E+000, 1.1004592E+002, 1.1084965E+002, 0.0000000E+000, 3.3079773E-003, 0.0000000E+000
 1.3061551E+000, 1.5265302E+002, 0.0000000E+000,-4.0588614E+001, 1.8473060E+000,-1.2054050E-001,-1.5523878E-002, 0.0000000E+000, 0.0000000E+000, 1.1374320E+002, 1.1377565E+002, 0.0000000E+000, 3.4284131E-003, 0.0000000E+000
