s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3514762E-004, 3.5345983E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3514408E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 1.0306330E-001, 0.0000000E+000, 0.0000000E+000,-2.9351052E-006,-7.8631715E-003, 0.0000000E+000,-1.4801033E-003, 8.7216175E-002, 0.0000000E+000, 0.0000000E+000, 7.7869965E-002, 0.0000000E+000, 1.1273738E-003, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 3.9344136E+001, 0.0000000E+000,-3.0287603E-005,-1.6836953E-002,-1.2515762E-005,-1.9575165E-003, 7.9998482E+000, 0.0000000E+000, 1.1584750E-001, 4.7325146E+001, 0.0000000E+000, 2.2312143E-003, 0.0000000E+000, 2.9951930E-002
 3.0918992E-001, 1.0626542E+002, 0.0000000E+000,-7.1893156E-001,-1.9625255E-002,-1.4767748E-001,-7.1169745E-003, 2.8098146E+001, 0.0000000E+000, 5.4157722E+001, 1.3347022E+002, 0.0000000E+000, 3.2899132E-003, 0.0000000E+000, 7.4031629E+001
 4.2957750E-001, 1.5051555E+002, 0.0000000E+000,-3.7669643E+001,-2.3913714E-002,-6.7165904E-001,-9.8072181E-003, 4.2343460E+001, 0.0000000E+000, 1.6116379E+002, 1.5448398E+002, 0.0000000E+000, 4.1630667E-003, 0.0000000E+000, 3.2057491E+002
 5.4699266E-001, 1.8215325E+002, 0.0000000E+000,-1.2146618E+002,-3.1176058E-002,-8.4369716E-001,-1.2642894E-002, 2.4014247E+001, 0.0000000E+000, 9.5890172E+001, 8.3813801E+001, 0.0000000E+000, 5.2298079E-003, 0.0000000E+000, 4.6297510E+002
 6.4309055E-001, 1.8358641E+002, 0.0000000E+000,-1.2103230E+002,-3.7646955E-002,-7.2777535E-001,-1.4683225E-002, 2.4266873E+001, 0.0000000E+000, 9.0279991E+001, 8.6040880E+001, 0.0000000E+000, 6.0403569E-003, 0.0000000E+000, 5.7332913E+002
 7.0910764E-001, 1.6918231E+002, 0.0000000E+000,-7.1274260E+001,-3.8460288E-002,-5.9435396E-001,-1.5847332E-002, 3.4775045E+001, 0.0000000E+000, 1.2043527E+002, 1.3203443E+002, 0.0000000E+000, 6.5814442E-003, 0.0000000E+000, 6.7422220E+002
 8.1517839E-001, 2.3250536E+002, 0.0000000E+000,-1.0500631E+002,-4.1264966E-002,-5.6179921E-001,-1.7674582E-002, 4.7016803E+001, 0.0000000E+000, 1.6394027E+002, 1.7389511E+002, 0.0000000E+000, 7.1328568E-003, 0.0000000E+000, 8.9715626E+002
 9.1066051E-001, 2.9592437E+002, 0.0000000E+000,-1.1472585E+002,-4.2736331E-002,-5.7798955E-001,-2.0231808E-002, 6.6134454E+001, 0.0000000E+000, 2.2297926E+002, 2.4669202E+002, 0.0000000E+000, 7.7238588E-003, 0.0000000E+000, 1.1740347E+003
 1.0061440E+000, 3.8475292E+002, 0.0000000E+000,-1.4554321E+002,-4.8276844E-002,-6.4235359E-001,-2.1163185E-002, 9.0407582E+001, 0.0000000E+000, 3.1927513E+002, 3.2890550E+002, 0.0000000E+000, 8.2067328E-003, 0.0000000E+000, 1.5677559E+003
 1.1021130E+000, 4.3405697E+002, 0.0000000E+000,-1.6500203E+002,-4.8777477E-002,-7.1491733E-001,-2.2050021E-002, 1.0377333E+002, 0.0000000E+000, 3.6499190E+002, 3.7204252E+002, 0.0000000E+000, 8.6312762E-003, 0.0000000E+000, 2.0249919E+003
