s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999998E+001
 4.6238068E-001, 2.0000047E+001
 5.7797585E-001, 2.0000092E+001
 6.4557541E-001, 2.0000126E+001
 7.0515590E-001, 2.0002863E+001
 7.6473639E-001, 2.0005619E+001
 8.2431689E-001, 2.0008384E+001
 8.6825360E-001, 2.0014173E+001
 9.1219031E-001, 2.0019995E+001
 9.4357896E-001, 2.0024184E+001
 9.7496761E-001, 2.0036896E+001
 1.0009487E+000, 2.0047472E+001
 1.0269297E+000, 2.0058123E+001
 1.0529108E+000, 2.0071074E+001
 1.0737022E+000, 2.0081541E+001
 1.0944936E+000, 2.0092122E+001
 1.1152850E+000, 2.0106641E+001
 1.1360764E+000, 2.0121314E+001
 1.1534052E+000, 2.0133673E+001
 1.1707341E+000, 2.0148182E+001
 1.1880629E+000, 2.0162630E+001
 1.2053918E+000, 2.0177151E+001
 1.2227206E+000, 2.0194346E+001
 1.2400495E+000, 2.0212056E+001
 1.2573783E+000, 2.0230694E+001
 1.2747071E+000, 2.0256725E+001
 1.2920360E+000, 2.0328793E+001
 1.3093648E+000, 2.4289823E+001
 1.3266937E+000, 4.1558141E+001
 1.3440225E+000, 8.6198885E+001
 1.3613514E+000, 1.4474691E+002
 1.3786802E+000, 2.0105664E+002
 1.3960091E+000, 2.4578066E+002
 1.4133379E+000, 2.8917878E+002
 1.4306667E+000, 3.4338301E+002
 1.4479956E+000, 3.6615051E+002
 1.4632205E+000, 3.8522484E+002
 1.4784453E+000, 3.9018759E+002
 1.4936702E+000, 3.8556595E+002
 1.5069822E+000, 3.8017806E+002
 1.5202942E+000, 3.6464541E+002
 1.5336062E+000, 3.4495690E+002
 1.5469182E+000, 3.1895716E+002
 1.5602301E+000, 2.8911836E+002
 1.5720019E+000, 2.7321862E+002
 1.5837736E+000, 2.5871764E+002
 1.5955453E+000, 2.5290852E+002
 1.6073170E+000, 2.6271424E+002
 1.6190887E+000, 2.7693863E+002
 1.6308604E+000, 2.8893493E+002
 1.6426321E+000, 2.9130523E+002
 1.6544038E+000, 2.8565071E+002
 1.6661755E+000, 2.7779246E+002
 1.6897189E+000, 2.5747184E+002
 1.7132623E+000, 2.3317572E+002
 1.7485775E+000, 2.2703565E+002
 1.7721209E+000, 3.1524607E+002
 1.8074360E+000, 4.2144152E+002
 1.8333338E+000, 4.4447988E+002
 1.8721804E+000, 4.3172303E+002
 1.8993730E+000, 3.9781559E+002
 1.9278606E+000, 3.9757082E+002
 1.9563481E+000, 4.6204494E+002
 1.9816612E+000, 4.8652084E+002
 2.0196309E+000, 4.8848704E+002
 2.0449440E+000, 4.9505044E+002
 2.0702572E+000, 5.0611626E+002
 2.1082268E+000, 5.1611665E+002
 2.1335400E+000, 5.2381665E+002
 2.1715097E+000, 5.3226086E+002
 2.1968228E+000, 5.2849422E+002
 2.2221359E+000, 5.1767682E+002
 2.2601056E+000, 5.1308328E+002
 2.2854187E+000, 5.1818257E+002
 2.3107318E+000, 5.2790553E+002
 2.3487015E+000, 5.1927120E+002
 2.3740147E+000, 5.1149139E+002
 2.4119843E+000, 5.1554984E+002
 2.4372975E+000, 5.3552013E+002
 2.4626106E+000, 5.5217406E+002
