s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DIESEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.7800621E-007,-1.1357014E-003, 0.0000000E+000, 1.1374926E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1310236E-007, 0.0000000E+000, 5.1284242E-004, 0.0000000E+000
 2.3119034E-001, 1.7554925E+001, 0.0000000E+000,-9.7719895E-007, 2.9977112E-001, 1.3672870E-009, 1.7203815E-003, 0.0000000E+000, 0.0000000E+000,-8.0476738E-007, 1.7856416E+001, 0.0000000E+000, 1.0122781E-003, 0.0000000E+000
 3.4678552E-001, 3.6391739E+001, 0.0000000E+000,-3.6047179E-001, 6.0942414E-001,-1.9903682E-002, 4.5079716E-003, 0.0000000E+000, 0.0000000E+000, 1.7830780E+001, 3.6625295E+001, 0.0000000E+000, 1.4862666E-003, 0.0000000E+000
 4.6238068E-001, 5.5598133E+001, 0.0000000E+000,-4.5267817E+000, 8.4429087E-001,-7.7582977E-002, 5.9648379E-003, 0.0000000E+000, 0.0000000E+000, 3.6340760E+001, 5.1844024E+001, 0.0000000E+000, 1.9252141E-003, 0.0000000E+000
 5.7797587E-001, 7.4030641E+001, 0.0000000E+000,-4.3687157E+001, 4.9839789E-001,-1.6423801E-001, 7.6044356E-003, 0.0000000E+000, 0.0000000E+000, 5.1475528E+001, 3.0685248E+001, 0.0000000E+000, 2.3225813E-003, 0.0000000E+000
 6.4557540E-001, 9.5825646E+001, 0.0000000E+000,-4.2185637E+001, 8.6421833E-001,-1.4043902E-001, 8.9594895E-003, 0.0000000E+000, 0.0000000E+000, 3.0365070E+001, 5.4372748E+001, 0.0000000E+000, 2.5342153E-003, 0.0000000E+000
 7.0515591E-001, 1.0133321E+002, 0.0000000E+000,-6.9153196E+001, 5.5607762E-001,-1.4241322E-001, 9.8560138E-003, 0.0000000E+000, 0.0000000E+000, 5.4232291E+001, 3.2603537E+001, 0.0000000E+000, 2.7077714E-003, 0.0000000E+000
 8.2431686E-001, 9.7308300E+001, 0.0000000E+000,-4.1251120E+001, 9.2336703E-001,-1.3039732E-001, 1.0990188E-002, 0.0000000E+000, 0.0000000E+000, 3.9841691E+001, 5.6861140E+001, 0.0000000E+000, 2.9439777E-003, 0.0000000E+000
