,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-26T16:59:34.063+01:00, 0.116E+00,   0.11560, 0.36562E+01
       2,2026-02-26T16:59:34.114+01:00, 0.116E+00,   0.23119, 0.38594E+01
       3,2026-02-26T16:59:34.222+01:00, 0.116E+00,   0.34679, 0.41875E+01
       4,2026-02-26T16:59:34.319+01:00, 0.116E+00,   0.46238, 0.44531E+01
       5,2026-02-26T16:59:34.414+01:00, 0.116E+00,   0.57798, 0.47500E+01
       6,2026-02-26T16:59:34.522+01:00, 0.676E-01,   0.64558, 0.51406E+01
       7,2026-02-26T16:59:34.591+01:00, 0.596E-01,   0.70516, 0.53906E+01
       8,2026-02-26T16:59:34.659+01:00, 0.596E-01,   0.76474, 0.56094E+01
       9,2026-02-26T16:59:34.746+01:00, 0.596E-01,   0.82432, 0.59219E+01
      10,2026-02-26T16:59:34.823+01:00, 0.439E-01,   0.86825, 0.62344E+01
      20,2026-02-26T16:59:35.488+01:00, 0.208E-01,   1.13608, 0.87969E+01
      30,2026-02-26T16:59:36.080+01:00, 0.173E-01,   1.30936, 0.11031E+02
      40,2026-02-26T16:59:36.625+01:00, 0.152E-01,   1.47845, 0.13188E+02
      50,2026-02-26T16:59:37.192+01:00, 0.118E-01,   1.60732, 0.15359E+02
      60,2026-02-26T16:59:37.734+01:00, 0.118E-01,   1.72503, 0.17531E+02
      70,2026-02-26T16:59:38.298+01:00, 0.129E-01,   1.84628, 0.19641E+02
      80,2026-02-26T16:59:38.890+01:00, 0.127E-01,   1.98166, 0.21969E+02
      90,2026-02-26T16:59:39.479+01:00, 0.127E-01,   2.10823, 0.24172E+02
     100,2026-02-26T16:59:40.071+01:00, 0.127E-01,   2.23479, 0.26516E+02
     200,2026-02-26T16:59:46.380+01:00, 0.122E-01,   3.51285, 0.50672E+02
     300,2026-02-26T16:59:52.680+01:00, 0.122E-01,   4.75135, 0.74922E+02
     400,2026-02-26T16:59:58.689+01:00, 0.130E-01,   6.00791, 0.98219E+02
     500,2026-02-26T17:00:04.504+01:00, 0.131E-01,   7.17741, 0.12089E+03
     600,2026-02-26T17:00:10.320+01:00, 0.123E-01,   8.42832, 0.14358E+03
     700,2026-02-26T17:00:16.892+01:00, 0.131E-01,   9.73754, 0.16909E+03
     800,2026-02-26T17:00:23.912+01:00, 0.121E-01,  10.99268, 0.19595E+03
     900,2026-02-26T17:00:30.575+01:00, 0.144E-01,  12.25798, 0.22156E+03
    1000,2026-02-26T17:00:38.454+01:00, 0.128E-01,  13.62501, 0.25181E+03
    1100,2026-02-26T17:00:45.837+01:00, 0.161E-01,  15.01554, 0.28041E+03
    1200,2026-02-26T17:00:52.384+01:00, 0.137E-01,  16.44441, 0.30614E+03
    1300,2026-02-26T17:00:59.101+01:00, 0.138E-01,  17.70911, 0.33223E+03
    1400,2026-02-26T17:01:05.865+01:00, 0.129E-01,  19.10127, 0.35852E+03
    1500,2026-02-26T17:01:12.826+01:00, 0.149E-01,  20.49768, 0.38558E+03
    1600,2026-02-26T17:01:20.956+01:00, 0.130E-01,  21.92778, 0.41733E+03
    1700,2026-02-26T17:01:28.846+01:00, 0.133E-01,  23.29155, 0.44814E+03
    1800,2026-02-26T17:01:36.915+01:00, 0.150E-01,  24.66699, 0.47967E+03
    1900,2026-02-26T17:01:44.685+01:00, 0.150E-01,  26.11031, 0.50955E+03
    2000,2026-02-26T17:01:53.787+01:00, 0.143E-01,  27.51922, 0.54142E+03
    2100,2026-02-26T17:02:01.642+01:00, 0.133E-01,  28.87563, 0.57175E+03
    2181,2026-02-26T17:02:08.327+01:00, 0.578E-02,  30.00000, 0.59694E+03
