s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6797384E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6797384E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4922110E-002, 0.0000000E+000, 0.0000000E+000,-9.4960629E-007, 1.0340324E-004, 0.0000000E+000,-8.8782926E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8537563E-004, 0.0000000E+000, 4.5023020E-004, 0.0000000E+000
 1.8984422E-001, 1.5077667E+001, 0.0000000E+000,-9.4045680E-007, 2.6004608E-001, 2.3042510E-009,-1.0456235E-003, 0.0000000E+000, 0.0000000E+000,-1.2603498E-003, 1.5336666E+001, 0.0000000E+000, 8.6984849E-004, 0.0000000E+000
 2.8476635E-001, 1.4786304E+001, 0.0000000E+000,-1.9705587E-001, 2.4452744E-001,-1.7734724E-002,-4.6901752E-003, 0.0000000E+000, 0.0000000E+000, 1.5055258E+001, 1.4811351E+001, 0.0000000E+000, 1.2360384E-003, 0.0000000E+000
 3.7968844E-001, 7.4989136E+001, 0.0000000E+000,-2.2037895E+000, 1.1777385E+000,-4.1170747E-002,-4.3570007E-003, 0.0000000E+000, 0.0000000E+000, 1.4784310E+001, 7.3917557E+001, 0.0000000E+000, 1.5377035E-003, 0.0000000E+000
 4.3285790E-001, 7.8597393E+001, 0.0000000E+000,-3.4356220E+001, 7.3222456E-001,-1.1887012E-001,-6.3483045E-003, 0.0000000E+000, 0.0000000E+000, 7.1396748E+001, 4.4848179E+001, 0.0000000E+000, 1.6780581E-003, 0.0000000E+000
 4.8602736E-001, 7.6925121E+001, 0.0000000E+000,-4.5987449E+001, 5.0661359E-001,-1.2384077E-001,-7.5469911E-003, 0.0000000E+000, 0.0000000E+000, 4.4868085E+001, 3.1312897E+001, 0.0000000E+000, 1.7990540E-003, 0.0000000E+000
 5.4451376E-001, 6.8299230E+001, 0.0000000E+000,-3.5670705E+001, 5.3125054E-001,-1.0499989E-001,-8.9601513E-003, 0.0000000E+000, 0.0000000E+000, 3.1066660E+001, 3.3045816E+001, 0.0000000E+000, 1.9116550E-003, 0.0000000E+000
 5.9441829E-001, 7.4551277E+001, 0.0000000E+000,-3.6022956E+001, 6.3173681E-001,-9.3060803E-002,-9.6638775E-003, 0.0000000E+000, 0.0000000E+000, 3.2852207E+001, 3.9057333E+001, 0.0000000E+000, 1.9925224E-003, 0.0000000E+000
 6.4432275E-001, 6.1519796E+001, 0.0000000E+000,-2.7283195E+001, 5.7746509E-001,-8.8691093E-002,-1.0292336E-002, 0.0000000E+000, 0.0000000E+000, 3.8801870E+001, 3.4715083E+001, 0.0000000E+000, 2.0610513E-003, 0.0000000E+000
 6.8721080E-001, 6.8336678E+001, 0.0000000E+000,-2.5297441E+001, 7.1591751E-001,-9.2020960E-002,-1.0792939E-002, 0.0000000E+000, 0.0000000E+000, 3.4750084E+001, 4.3652340E+001, 0.0000000E+000, 2.1112704E-003, 0.0000000E+000
 7.3009890E-001, 8.8160938E+001, 0.0000000E+000,-3.3077127E+001, 8.8528367E-001,-8.5856354E-002,-1.1090889E-002, 0.0000000E+000, 0.0000000E+000, 4.3537151E+001, 5.5872147E+001, 0.0000000E+000, 2.1544584E-003, 0.0000000E+000
 7.5864089E-001, 1.0211020E+002, 0.0000000E+000,-3.5987174E+001, 1.0741039E+000,-8.2590222E-002,-1.1172056E-002, 0.0000000E+000, 0.0000000E+000, 5.5766226E+001, 6.7103364E+001, 0.0000000E+000, 2.1797347E-003, 0.0000000E+000
 7.8718281E-001, 1.2394012E+002, 0.0000000E+000,-4.5739805E+001, 1.2631916E+000,-8.4537063E-002,-1.1287044E-002, 0.0000000E+000, 0.0000000E+000, 6.6866099E+001, 7.9367684E+001, 0.0000000E+000, 2.2025218E-003, 0.0000000E+000
 8.1061137E-001, 1.3651061E+002, 0.0000000E+000,-5.4920592E+001, 1.3254752E+000,-8.4479853E-002,-1.1335744E-002, 0.0000000E+000, 0.0000000E+000, 7.9110815E+001, 8.2819676E+001, 0.0000000E+000, 2.2195234E-003, 0.0000000E+000
