s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7509297E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7509297E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-7.2467515E-007,-1.6924724E-003, 0.0000000E+000,-3.4161192E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0348090E-003, 0.0000000E+000, 4.0888364E-004, 0.0000000E+000
 2.3119034E-001, 1.4440463E+001, 0.0000000E+000,-7.2346694E-007, 2.4165394E-001, 3.6681548E-010,-4.3605732E-004, 0.0000000E+000, 0.0000000E+000,-2.9571232E-003, 1.4681680E+001, 0.0000000E+000, 7.7764058E-004, 0.0000000E+000
 3.4678552E-001, 2.9330127E+001, 0.0000000E+000,-5.7873445E-001, 4.5964094E-001,-1.8887595E-002,-1.1393054E-003, 0.0000000E+000, 0.0000000E+000, 1.4122200E+001, 2.9191006E+001, 0.0000000E+000, 1.0804881E-003, 0.0000000E+000
 4.3101212E-001, 4.2369249E+001, 0.0000000E+000,-1.0719952E+001, 4.7956888E-001,-5.2802663E-002,-1.8063170E-003, 0.0000000E+000, 0.0000000E+000, 2.8851939E+001, 3.2074256E+001, 0.0000000E+000, 1.2551385E-003, 0.0000000E+000
 5.4425681E-001, 5.0123013E+001, 0.0000000E+000,-2.2396593E+001, 4.5505143E-001,-5.9139162E-002,-3.2436652E-003, 0.0000000E+000, 0.0000000E+000, 2.2752099E+001, 2.8119089E+001, 0.0000000E+000, 1.3932496E-003, 0.0000000E+000
 6.3064861E-001, 7.2163744E+001, 0.0000000E+000,-3.4215128E+001, 6.2522855E-001,-5.4177625E-002,-3.7192322E-003, 0.0000000E+000, 0.0000000E+000, 3.9798138E+001, 3.8515947E+001, 0.0000000E+000, 1.5095338E-003, 0.0000000E+000
 7.2839081E-001, 8.0783197E+001, 0.0000000E+000,-3.4261847E+001, 7.6351033E-001,-4.7547054E-002,-4.1230900E-003, 0.0000000E+000, 0.0000000E+000, 4.5501038E+001, 4.7233189E+001, 0.0000000E+000, 1.5895130E-003, 0.0000000E+000
 8.0961823E-001, 8.0286967E+001, 0.0000000E+000,-3.4303587E+001, 7.6402706E-001,-4.1751573E-002,-4.2681341E-003, 0.0000000E+000, 0.0000000E+000, 4.7344878E+001, 4.6701387E+001, 0.0000000E+000, 1.6488475E-003, 0.0000000E+000
 9.1494077E-001, 7.9601058E+001, 0.0000000E+000,-2.9879334E+001, 8.2504321E-001,-3.8247248E-002,-4.3360547E-003, 0.0000000E+000, 0.0000000E+000, 4.9807877E+001, 5.0504184E+001, 0.0000000E+000, 1.6929505E-003, 0.0000000E+000
 1.0044906E+000, 7.9897966E+001, 0.0000000E+000,-2.7316684E+001, 8.7589375E-001,-4.0036899E-002,-4.2920460E-003, 0.0000000E+000, 0.0000000E+000, 5.3222267E+001, 5.3412847E+001, 0.0000000E+000, 1.7264616E-003, 0.0000000E+000
 1.1005448E+000, 7.6644386E+001, 0.0000000E+000,-2.5929289E+001, 8.4481959E-001,-4.5753527E-002,-4.1930639E-003, 0.0000000E+000, 0.0000000E+000, 5.2000522E+001, 5.1509970E+001, 0.0000000E+000, 1.7486974E-003, 0.0000000E+000
 1.2022908E+000, 8.1023199E+001, 0.0000000E+000,-2.9050098E+001, 8.6183689E-001,-4.7181431E-002,-4.2691721E-003, 0.0000000E+000, 0.0000000E+000, 5.2415874E+001, 5.2783488E+001, 0.0000000E+000, 1.7651573E-003, 0.0000000E+000
 1.3040367E+000, 8.4694033E+001, 0.0000000E+000,-2.9161836E+001, 9.2935546E-001,-4.6190152E-002,-4.3841717E-003, 0.0000000E+000, 0.0000000E+000, 5.6114691E+001, 5.6410978E+001, 0.0000000E+000, 1.7767305E-003, 0.0000000E+000
 1.4057827E+000, 8.3237533E+001, 0.0000000E+000,-2.6023237E+001,-7.4879433E-001,-4.6234841E-002,-4.4354037E-003, 0.0000000E+000, 0.0000000E+000, 5.7058625E+001, 5.6414832E+001, 0.0000000E+000, 1.7844766E-003, 0.0000000E+000
 1.5075287E+000, 8.2436013E+001, 0.0000000E+000,-2.5246382E+001,-2.4904870E+001,-4.6948621E-002,-4.4554751E-003, 0.0000000E+000, 0.0000000E+000, 3.3490515E+001, 3.2233356E+001, 0.0000000E+000, 1.7896516E-003, 0.0000000E+000
 1.6092746E+000, 8.1974454E+001, 0.0000000E+000,-2.4154843E+001,-4.1622188E+001,-4.8049783E-002,-4.4523923E-003, 0.0000000E+000, 0.0000000E+000, 1.8446873E+001, 1.6144920E+001, 0.0000000E+000, 1.7931048E-003, 0.0000000E+000
 1.7124740E+000, 8.1406596E+001, 0.0000000E+000,-2.3441775E+001,-6.9536214E+001,-7.1091938E-002,-4.4373529E-003, 0.0000000E+000, 0.0000000E+000,-1.1320023E+001,-1.1646922E+001, 0.0000000E+000, 1.7954214E-003, 0.0000000E+000
 1.8100048E+000, 8.0962922E+001, 0.0000000E+000,-2.3092374E+001,-6.4676578E+001,-2.3936840E-001,-4.4249447E-003, 0.0000000E+000, 0.0000000E+000,-7.8306170E+000,-7.0498230E+000, 0.0000000E+000, 1.7969457E-003, 0.0000000E+000
 1.9155298E+000, 8.1242222E+001, 0.0000000E+000,-2.2523947E+001,-5.5004076E+001,-2.0163649E-001,-4.4216954E-003, 0.0000000E+000, 0.0000000E+000, 3.0622720E+000, 3.5081402E+000, 0.0000000E+000, 1.7979679E-003, 0.0000000E+000
 2.0034676E+000, 8.1777260E+001, 0.0000000E+000,-2.2391536E+001,-5.7260448E+001,-1.2053312E-001,-4.4239253E-003, 0.0000000E+000, 0.0000000E+000, 2.0668891E+000, 2.0003187E+000, 0.0000000E+000, 1.7986228E-003, 0.0000000E+000
 2.1089926E+000, 8.2027903E+001, 0.0000000E+000,-2.2359294E+001,-5.7024180E+001,-8.4690816E-002,-4.4283023E-003, 0.0000000E+000, 0.0000000E+000, 2.5163710E+000, 2.5553103E+000, 0.0000000E+000, 1.7990624E-003, 0.0000000E+000
 2.2145176E+000, 8.2098531E+001, 0.0000000E+000,-2.2333497E+001,-5.8129955E+001,-9.2639279E-002,-4.4230127E-003, 0.0000000E+000, 0.0000000E+000, 1.4408554E+000, 1.5380164E+000, 0.0000000E+000, 1.7993852E-003, 0.0000000E+000
 2.3024552E+000, 8.1707072E+001, 0.0000000E+000,-2.2285638E+001,-5.7201813E+001,-1.5034874E-001,-4.4065779E-003, 0.0000000E+000, 0.0000000E+000, 2.1772984E+000, 2.0648663E+000, 0.0000000E+000, 1.7995834E-003, 0.0000000E+000
 2.4079802E+000, 8.1648899E+001, 0.0000000E+000,-2.2010905E+001,-5.7432229E+001,-1.9259586E-001,-4.4065580E-003, 0.0000000E+000, 0.0000000E+000, 2.0261137E+000, 2.0087630E+000, 0.0000000E+000, 1.7997164E-003, 0.0000000E+000
 2.5135055E+000, 8.2346784E+001, 0.0000000E+000,-2.2324441E+001,-5.7907376E+001,-1.4862370E-001,-4.4329422E-003, 0.0000000E+000, 0.0000000E+000, 1.9255730E+000, 1.9619117E+000, 0.0000000E+000, 1.7998141E-003, 0.0000000E+000
 2.6014428E+000, 8.2544585E+001, 0.0000000E+000,-2.2106315E+001,-5.6265416E+001,-1.6292888E-001,-4.4524974E-003, 0.0000000E+000, 0.0000000E+000, 3.7391470E+000, 4.0054729E+000, 0.0000000E+000, 1.7998740E-003, 0.0000000E+000
 2.7069681E+000, 8.2126586E+001, 0.0000000E+000,-2.1561703E+001,-5.4899204E+001,-1.3084808E-001,-4.4519336E-003, 0.0000000E+000, 0.0000000E+000, 5.6355596E+000, 5.5303783E+000, 0.0000000E+000, 1.7999142E-003, 0.0000000E+000
 2.8124931E+000, 8.1714461E+001, 0.0000000E+000,-2.1351830E+001,-5.6467109E+001,-1.1777894E-001,-4.4425467E-003, 0.0000000E+000, 0.0000000E+000, 3.9572470E+000, 3.7732998E+000, 0.0000000E+000, 1.7999438E-003, 0.0000000E+000
 2.9004307E+000, 8.1725722E+001, 0.0000000E+000,-2.1457045E+001,-5.4909912E+001,-1.3518843E-001,-4.4367003E-003, 0.0000000E+000, 0.0000000E+000, 4.8344540E+000, 5.2191398E+000, 0.0000000E+000, 1.7999619E-003, 0.0000000E+000
 3.0059557E+000, 8.1831220E+001, 0.0000000E+000,-2.1345531E+001,-5.0486278E+001,-1.5178918E-001,-4.4356134E-003, 0.0000000E+000, 0.0000000E+000, 9.4500847E+000, 9.8431862E+000, 0.0000000E+000, 1.7999741E-003, 0.0000000E+000
 3.1025708E+000, 8.2447383E+001, 0.0000000E+000,-2.1417240E+001,-4.8685980E+001,-1.4282620E-001,-4.4371471E-003, 0.0000000E+000, 0.0000000E+000, 1.2419130E+001, 1.2196900E+001, 0.0000000E+000, 1.7999827E-003, 0.0000000E+000
 3.2116270E+000, 8.2090087E+001, 0.0000000E+000,-2.1441894E+001,-5.5031633E+001,-1.6618975E-001,-4.4408856E-003, 0.0000000E+000, 0.0000000E+000, 5.6386717E+000, 5.4459288E+000, 0.0000000E+000, 1.7999885E-003, 0.0000000E+000
 3.3130031E+000, 8.1577840E+001, 0.0000000E+000,-2.0865599E+001,-5.5151921E+001,-1.9503237E-001,-4.4438528E-003, 0.0000000E+000, 0.0000000E+000, 5.3869408E+000, 5.3608441E+000, 0.0000000E+000, 1.7999925E-003, 0.0000000E+000
 3.4143794E+000, 8.1952216E+001, 0.0000000E+000,-2.0825914E+001,-5.7629621E+001,-1.8491788E-001,-4.4494548E-003, 0.0000000E+000, 0.0000000E+000, 3.2583450E+000, 3.3073142E+000, 0.0000000E+000, 1.7999950E-003, 0.0000000E+000
 3.5022388E+000, 8.1543711E+001, 0.0000000E+000,-2.0545549E+001,-5.6119023E+001,-2.7541896E-001,-4.4477469E-003, 0.0000000E+000, 0.0000000E+000, 4.1793125E+000, 4.5992714E+000, 0.0000000E+000, 1.7999966E-003, 0.0000000E+000
 3.6137524E+000, 8.1403886E+001, 0.0000000E+000,-2.0471489E+001,-4.8685001E+001,-2.5864372E-001,-4.4392088E-003, 0.0000000E+000, 0.0000000E+000, 1.1680354E+001, 1.1984313E+001, 0.0000000E+000, 1.7999977E-003, 0.0000000E+000
