s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 1.9999992E+001
 3.4678551E-001, 1.9999977E+001
 4.3115678E-001, 2.0000039E+001
 4.9278910E-001, 2.0000085E+001
 5.4475866E-001, 2.0000126E+001
 5.8816040E-001, 2.0000690E+001
 6.3156213E-001, 2.0001259E+001
 6.6568989E-001, 2.0001706E+001
 6.9981764E-001, 2.0004618E+001
 7.2923359E-001, 2.0007137E+001
 7.5864953E-001, 2.0009670E+001
 7.8806547E-001, 2.0018008E+001
 8.1108008E-001, 2.0024563E+001
 8.3409468E-001, 2.0031156E+001
 8.5710928E-001, 2.0039014E+001
 8.7686503E-001, 2.0045782E+001
 8.9662078E-001, 2.0052573E+001
 9.1637653E-001, 2.0061997E+001
 9.3613228E-001, 2.0071648E+001
 9.5380331E-001, 2.0080658E+001
 9.7147434E-001, 2.0099098E+001
 9.8914537E-001, 2.0185644E+001
 1.0068164E+000, 2.5531450E+001
 1.0227021E+000, 4.5598054E+001
 1.0385879E+000, 9.9260101E+001
 1.0544736E+000, 1.8167329E+002
 1.0703594E+000, 2.5993680E+002
 1.0862451E+000, 2.9538253E+002
 1.1021309E+000, 3.0835062E+002
 1.1180166E+000, 3.1065310E+002
 1.1321548E+000, 3.0416203E+002
 1.1462929E+000, 2.9704573E+002
 1.1604311E+000, 2.9109465E+002
 1.1745692E+000, 2.9046580E+002
 1.1887074E+000, 2.9381691E+002
 1.2028455E+000, 2.9896320E+002
 1.2169837E+000, 2.9988512E+002
 1.2311218E+000, 2.9457611E+002
 1.2452600E+000, 2.8293022E+002
 1.2593981E+000, 2.6012618E+002
 1.2735363E+000, 2.4327350E+002
 1.3018126E+000, 2.2940518E+002
 1.3300889E+000, 2.1580849E+002
 1.3583652E+000, 2.3341707E+002
 1.3866415E+000, 3.1597502E+002
 1.4149178E+000, 3.5457802E+002
 1.4431941E+000, 3.4296902E+002
 1.4714704E+000, 3.1448413E+002
 1.5152986E+000, 2.9378650E+002
 1.5308506E+000, 3.1311568E+002
 1.5619545E+000, 3.3509685E+002
 1.5930585E+000, 3.5351989E+002
 1.6241624E+000, 3.6387889E+002
 1.6552663E+000, 3.7141239E+002
 1.6863702E+000, 3.7721053E+002
 1.7174742E+000, 3.8331434E+002
 1.7516885E+000, 3.9217756E+002
 1.7859028E+000, 4.0270997E+002
 1.8030100E+000, 4.0955972E+002
 1.8372243E+000, 4.1328988E+002
 1.8714386E+000, 4.1033918E+002
 1.9056530E+000, 4.0219645E+002
 1.9227601E+000, 3.9396681E+002
 1.9569744E+000, 3.8641269E+002
 1.9911888E+000, 3.7727905E+002
 2.0254031E+000, 3.6750367E+002
 2.0425102E+000, 3.6061844E+002
 2.0767246E+000, 3.5159223E+002
 2.1109389E+000, 3.3963265E+002
 2.1451532E+000, 3.3332866E+002
 2.1622604E+000, 3.3129351E+002
 2.1964747E+000, 3.3228180E+002
 2.2306890E+000, 3.3569483E+002
 2.2649034E+000, 3.3893372E+002
 2.2820105E+000, 3.3992365E+002
 2.3162248E+000, 3.4138045E+002
 2.3504392E+000, 3.4282577E+002
 2.3846535E+000, 3.4575045E+002
 2.4017606E+000, 3.4899409E+002
 2.4359750E+000, 3.5204627E+002
 2.4701893E+000, 3.5455852E+002
