s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999989E+001
 4.6238068E-001, 2.0000106E+001
 5.5696140E-001, 2.0000196E+001
 6.1874597E-001, 2.0000269E+001
 6.7503125E-001, 2.0008481E+001
 7.3131652E-001, 2.0016713E+001
 7.8760180E-001, 2.0024963E+001
 8.3300329E-001, 2.0035448E+001
 8.7033915E-001, 2.0044131E+001
 9.0767502E-001, 2.0052889E+001
 9.3995468E-001, 2.0068223E+001
 9.6802907E-001, 2.0081678E+001
 9.9610345E-001, 2.0095286E+001
 1.0213607E+000, 2.0111000E+001
 1.0466180E+000, 2.0126960E+001
 1.0673281E+000, 2.0140277E+001
 1.0880383E+000, 2.0161249E+001
 1.1087484E+000, 2.0182559E+001
 1.1255089E+000, 2.0200021E+001
 1.1422693E+000, 2.0221693E+001
 1.1590298E+000, 2.0243498E+001
 1.1736817E+000, 2.0262298E+001
 1.1883336E+000, 2.0285218E+001
 1.2029855E+000, 2.0308521E+001
 1.2176374E+000, 2.0332647E+001
 1.2322894E+000, 2.0359804E+001
 1.2469413E+000, 2.0390579E+001
 1.2615932E+000, 2.0462632E+001
 1.2762451E+000, 2.0826031E+001
 1.2908970E+000, 3.1942197E+001
 1.3055489E+000, 7.2237621E+001
 1.3202008E+000, 1.3985443E+002
 1.3348528E+000, 2.0564846E+002
 1.3495047E+000, 2.3531296E+002
 1.3641566E+000, 2.4901708E+002
 1.3788085E+000, 2.5382708E+002
 1.3949256E+000, 2.5526241E+002
 1.4110427E+000, 2.5451926E+002
 1.4271598E+000, 2.6549107E+002
 1.4432769E+000, 3.0809312E+002
 1.4593940E+000, 3.8717951E+002
 1.4737644E+000, 4.7908888E+002
 1.4881348E+000, 5.6180160E+002
 1.5010660E+000, 6.3444807E+002
 1.5139971E+000, 7.0064461E+002
 1.5269283E+000, 7.1333690E+002
 1.5398595E+000, 6.9617261E+002
 1.5527906E+000, 6.4818078E+002
 1.5657218E+000, 5.9153583E+002
 1.5772857E+000, 5.4127493E+002
 1.6004134E+000, 4.6319830E+002
 1.6235410E+000, 3.7725823E+002
 1.6546878E+000, 3.0063864E+002
 1.6858345E+000, 3.0185469E+002
 1.7180195E+000, 3.7890421E+002
 1.7408604E+000, 4.4282177E+002
 1.7751219E+000, 5.5071742E+002
 1.8002469E+000, 6.1914822E+002
 1.8379345E+000, 6.2181030E+002
 1.8630595E+000, 6.0912777E+002
 1.9007471E+000, 6.8658427E+002
 1.9258721E+000, 7.7881618E+002
 1.9509971E+000, 8.0528889E+002
 1.9886847E+000, 8.4547389E+002
 2.0138097E+000, 8.6276922E+002
 2.0488425E+000, 8.1850136E+002
 2.0713127E+000, 7.2980322E+002
 2.1050181E+000, 7.3312018E+002
 2.1387234E+000, 7.8410860E+002
 2.1611936E+000, 8.4089715E+002
 2.1948990E+000, 7.9535967E+002
 2.2286043E+000, 7.9385464E+002
 2.2510745E+000, 8.6921900E+002
 2.2847799E+000, 8.8644184E+002
 2.3184852E+000, 8.6734957E+002
 2.3409554E+000, 8.7576344E+002
 2.3720900E+000, 8.9834786E+002
 2.4019392E+000, 9.1951199E+002
 2.4317885E+000, 9.2612560E+002
 2.4616377E+000, 9.3832376E+002
