s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999983E+001
 4.6238068E-001, 2.0000172E+001
 5.2269660E-001, 2.0000273E+001
 5.8904412E-001, 2.0000394E+001
 6.4082900E-001, 2.0004581E+001
 6.9261389E-001, 2.0008785E+001
 7.3708609E-001, 2.0012416E+001
 7.8155829E-001, 2.0021839E+001
 8.1995212E-001, 2.0030037E+001
 8.5315131E-001, 2.0037193E+001
 8.7943745E-001, 2.0050081E+001
 9.0572359E-001, 2.0063104E+001
 9.2589818E-001, 2.0073213E+001
 9.4607276E-001, 2.0086841E+001
 9.6417219E-001, 2.0099218E+001
 9.8227161E-001, 2.0111736E+001
 9.9809801E-001, 2.0128210E+001
 1.0139244E+000, 2.0144835E+001
 1.0297508E+000, 2.0161551E+001
 1.0439870E+000, 2.0179379E+001
 1.0582233E+000, 2.0197292E+001
 1.0724595E+000, 2.0215417E+001
 1.0866957E+000, 2.0236104E+001
 1.1009320E+000, 2.0257335E+001
 1.1151682E+000, 2.0279312E+001
 1.1294045E+000, 2.0303795E+001
 1.1436407E+000, 2.0331649E+001
 1.1578769E+000, 2.0367955E+001
 1.1721132E+000, 2.0418659E+001
 1.1863494E+000, 2.0489446E+001
 1.2005856E+000, 2.0607218E+001
 1.2148219E+000, 2.0782587E+001
 1.2290581E+000, 2.2668679E+001
 1.2447180E+000, 3.2361537E+001
 1.2603778E+000, 5.7294764E+001
 1.2760377E+000, 1.2058610E+002
 1.2916976E+000, 2.0324459E+002
 1.3056393E+000, 2.9347955E+002
 1.3195811E+000, 3.9898696E+002
 1.3335228E+000, 4.7581347E+002
 1.3453427E+000, 5.2260926E+002
 1.3571625E+000, 5.4867508E+002
 1.3689824E+000, 5.5349766E+002
 1.3808023E+000, 5.5336638E+002
 1.4162619E+000, 5.0516775E+002
 1.4504124E+000, 3.1766122E+002
 1.4714342E+000, 2.4343269E+002
 1.5029668E+000, 2.3288932E+002
 1.5344993E+000, 3.8875806E+002
 1.5691852E+000, 6.0014160E+002
 1.5923091E+000, 6.2203967E+002
 1.6269949E+000, 6.7772798E+002
 1.6501188E+000, 6.8504818E+002
 1.6835136E+000, 6.4981068E+002
 1.7143264E+000, 6.7684275E+002
 1.7451392E+000, 7.7918610E+002
 1.7759520E+000, 7.5215033E+002
 1.8067647E+000, 6.7905762E+002
 1.8375775E+000, 6.7160123E+002
 1.8683903E+000, 7.0737649E+002
 1.8992031E+000, 6.6451039E+002
 1.9300158E+000, 6.8916807E+002
 1.9505577E+000, 7.9999894E+002
 1.9813705E+000, 8.2338717E+002
 2.0121832E+000, 8.1525558E+002
 2.0429960E+000, 8.2086750E+002
 2.0738088E+000, 8.2761999E+002
 2.1056487E+000, 8.1856264E+002
 2.1395427E+000, 7.8493817E+002
 2.1621387E+000, 7.2816983E+002
 2.1960328E+000, 6.4572869E+002
 2.2299268E+000, 6.8234336E+002
 2.2525229E+000, 7.5889073E+002
 2.2864169E+000, 7.6311435E+002
 2.3203110E+000, 7.7167834E+002
 2.3406065E+000, 7.8386335E+002
 2.3710499E+000, 7.8168687E+002
 2.4014932E+000, 7.8842000E+002
 2.4319365E+000, 8.0573048E+002
 2.4654241E+000, 7.7903165E+002
