s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000008E+001
 3.4678551E-001, 1.9999991E+001
 4.6238068E-001, 2.0000136E+001
 5.5365659E-001, 2.0000248E+001
 6.1284794E-001, 2.0000326E+001
 6.6809670E-001, 2.0008692E+001
 7.2334546E-001, 2.0017067E+001
 7.7859422E-001, 2.0025456E+001
 8.2369117E-001, 2.0036916E+001
 8.5763488E-001, 2.0045589E+001
 8.9157860E-001, 2.0054329E+001
 9.2552232E-001, 2.0070029E+001
 9.5286462E-001, 2.0082791E+001
 9.8020691E-001, 2.0095699E+001
 1.0038645E+000, 2.0109800E+001
 1.0275221E+000, 2.0124118E+001
 1.0473059E+000, 2.0136288E+001
 1.0670898E+000, 2.0155079E+001
 1.0868736E+000, 2.0174128E+001
 1.1022755E+000, 2.0189135E+001
 1.1176774E+000, 2.0207037E+001
 1.1330793E+000, 2.0224762E+001
 1.1484812E+000, 2.0242485E+001
 1.1638830E+000, 2.0263675E+001
 1.1792849E+000, 2.0285710E+001
 1.1946868E+000, 2.0309019E+001
 1.2100887E+000, 2.0349402E+001
 1.2254906E+000, 2.0541797E+001
 1.2408925E+000, 2.9977860E+001
 1.2562944E+000, 8.0754460E+001
 1.2698943E+000, 1.5951332E+002
 1.2834942E+000, 2.4009321E+002
 1.2970941E+000, 2.7609691E+002
 1.3106941E+000, 2.8681109E+002
 1.3242940E+000, 2.9168853E+002
 1.3378939E+000, 2.9403813E+002
 1.3514938E+000, 2.9326297E+002
 1.3650937E+000, 2.9205405E+002
 1.3786936E+000, 3.0739333E+002
 1.3936536E+000, 3.6510649E+002
 1.4086135E+000, 4.5319272E+002
 1.4235734E+000, 5.7783677E+002
 1.4370155E+000, 6.6377544E+002
 1.4504576E+000, 7.5338220E+002
 1.4638997E+000, 8.1576281E+002
 1.4754618E+000, 8.2783922E+002
 1.4870239E+000, 8.3683691E+002
 1.4985859E+000, 8.1425994E+002
 1.5101480E+000, 7.7775656E+002
 1.5332722E+000, 6.7973659E+002
 1.5679584E+000, 5.3267040E+002
 1.5910826E+000, 3.7076188E+002
 1.6257688E+000, 2.7694308E+002
 1.6604551E+000, 2.9069745E+002
 1.6835792E+000, 4.1734621E+002
 1.7182655E+000, 5.7100348E+002
 1.7413896E+000, 6.3471393E+002
 1.7760759E+000, 6.2064033E+002
 1.8107621E+000, 6.6917877E+002
 1.8338863E+000, 7.5015548E+002
 1.8685725E+000, 7.5385640E+002
 1.8916967E+000, 7.9686235E+002
 1.9263829E+000, 9.1919870E+002
 1.9610691E+000, 9.2738172E+002
 1.9814564E+000, 8.5346377E+002
 2.0120373E+000, 8.5276132E+002
 2.0426183E+000, 8.4477375E+002
 2.0731992E+000, 7.6928874E+002
 2.1037801E+000, 7.7834943E+002
 2.1343610E+000, 8.1244297E+002
 2.1649420E+000, 7.3968984E+002
 2.1955229E+000, 7.5400087E+002
 2.2261038E+000, 7.8786803E+002
 2.2566847E+000, 8.3715685E+002
 2.2872657E+000, 8.5929915E+002
 2.3178466E+000, 8.5010813E+002
 2.3484275E+000, 9.0547984E+002
 2.3790085E+000, 9.5979813E+002
 2.4095894E+000, 9.6338337E+002
 2.4401703E+000, 9.9298841E+002
 2.4605576E+000, 1.0583893E+003
