s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000004E+001
 4.6238068E-001, 2.0000079E+001
 5.7797585E-001, 2.0000150E+001
 6.6919322E-001, 2.0000209E+001
 7.3829256E-001, 2.0005734E+001
 8.0739189E-001, 2.0011256E+001
 8.7649122E-001, 2.0016783E+001
 9.2788404E-001, 2.0025785E+001
 9.7309154E-001, 2.0033726E+001
 1.0182990E+000, 2.0041701E+001
 1.0635065E+000, 2.0055382E+001
 1.0969068E+000, 2.0065565E+001
 1.1303070E+000, 2.0075845E+001
 1.1574857E+000, 2.0085875E+001
 1.1846643E+000, 2.0096031E+001
 1.2079722E+000, 2.0104866E+001
 1.2312802E+000, 2.0117615E+001
 1.2545881E+000, 2.0130520E+001
 1.2778961E+000, 2.0143544E+001
 1.2984748E+000, 2.0156631E+001
 1.3190535E+000, 2.0169953E+001
 1.3396321E+000, 2.0183958E+001
 1.3602108E+000, 2.0201564E+001
 1.3807895E+000, 2.0327942E+001
 1.3982536E+000, 2.6317141E+001
 1.4157176E+000, 5.0222226E+001
 1.4331816E+000, 1.0470016E+002
 1.4506457E+000, 1.7736226E+002
 1.4681097E+000, 2.2773391E+002
 1.4855737E+000, 2.4824347E+002
 1.5030378E+000, 2.5274255E+002
 1.5205018E+000, 2.5623262E+002
 1.5379658E+000, 2.5983620E+002
 1.5554299E+000, 2.5507845E+002
 1.5728939E+000, 2.4986244E+002
 1.5903579E+000, 2.4359743E+002
 1.6078220E+000, 2.3840710E+002
 1.6252860E+000, 2.3733525E+002
 1.6427500E+000, 2.6103698E+002
 1.6602141E+000, 2.9194020E+002
 1.6776781E+000, 3.3295377E+002
 1.6951421E+000, 3.6160010E+002
 1.7126062E+000, 3.6326144E+002
 1.7283183E+000, 3.5722921E+002
 1.7440304E+000, 3.4815362E+002
 1.7597425E+000, 3.3215542E+002
 1.7754546E+000, 3.2752408E+002
 1.7911668E+000, 3.3216547E+002
 1.8068789E+000, 3.3910276E+002
 1.8225910E+000, 3.3495409E+002
 1.8366456E+000, 3.2480745E+002
 1.8507002E+000, 2.8591393E+002
 1.8647549E+000, 2.4891972E+002
 1.8788095E+000, 2.2958937E+002
 1.8928641E+000, 2.0658330E+002
 1.9069187E+000, 1.8901331E+002
 1.9209733E+000, 1.7658043E+002
 1.9350280E+000, 1.7879103E+002
 1.9490826E+000, 2.0349216E+002
 1.9631372E+000, 2.5163715E+002
 1.9771918E+000, 3.0522084E+002
 1.9912464E+000, 3.3120669E+002
 2.0053010E+000, 3.3932430E+002
 2.0193557E+000, 3.3580220E+002
 2.0334103E+000, 3.3094784E+002
 2.0474649E+000, 3.3166598E+002
 2.0769796E+000, 3.4800013E+002
 2.1078997E+000, 3.7406438E+002
 2.1388199E+000, 3.6575391E+002
 2.1697401E+000, 3.2625832E+002
 2.2006602E+000, 2.9296282E+002
 2.2315804E+000, 3.4994955E+002
 2.2625005E+000, 4.0783973E+002
 2.2934207E+000, 4.1084845E+002
 2.3243409E+000, 3.9563823E+002
 2.3552610E+000, 3.9352462E+002
 2.3707211E+000, 4.0463723E+002
 2.4016413E+000, 4.2166527E+002
 2.4325614E+000, 4.1488788E+002
 2.4634816E+000, 4.1019208E+002
