s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000005E+001
 4.6238068E-001, 2.0000076E+001
 5.7797585E-001, 2.0000142E+001
 6.8030563E-001, 2.0000201E+001
 7.5261099E-001, 2.0004772E+001
 8.2491634E-001, 2.0009337E+001
 8.8937881E-001, 2.0013411E+001
 9.4334183E-001, 2.0021559E+001
 9.8920726E-001, 2.0028502E+001
 1.0350727E+000, 2.0035470E+001
 1.0761282E+000, 2.0046290E+001
 1.1078881E+000, 2.0054711E+001
 1.1396480E+000, 2.0063198E+001
 1.1668052E+000, 2.0071701E+001
 1.1939624E+000, 2.0080293E+001
 1.2177084E+000, 2.0087903E+001
 1.2414544E+000, 2.0098599E+001
 1.2652004E+000, 2.0109433E+001
 1.2862406E+000, 2.0119157E+001
 1.3072808E+000, 2.0130177E+001
 1.3283210E+000, 2.0141233E+001
 1.3493612E+000, 2.0152704E+001
 1.3682277E+000, 2.0164653E+001
 1.3870943E+000, 2.0210329E+001
 1.4059609E+000, 2.0360137E+001
 1.4248274E+000, 3.2953857E+001
 1.4436940E+000, 7.2621759E+001
 1.4625606E+000, 1.3123366E+002
 1.4814271E+000, 1.9050547E+002
 1.5002937E+000, 2.2198496E+002
 1.5191602E+000, 2.3455036E+002
 1.5380268E+000, 2.4295477E+002
 1.5568934E+000, 2.4773125E+002
 1.5757599E+000, 2.4448675E+002
 1.5946265E+000, 2.3542252E+002
 1.6134930E+000, 2.2262069E+002
 1.6323596E+000, 2.1565604E+002
 1.6512262E+000, 2.1191362E+002
 1.6700927E+000, 2.2059382E+002
 1.6869922E+000, 2.5168946E+002
 1.7038916E+000, 2.9971043E+002
 1.7207910E+000, 3.3165912E+002
 1.7376905E+000, 3.4164210E+002
 1.7545899E+000, 3.3183799E+002
 1.7714894E+000, 3.1936452E+002
 1.7883888E+000, 3.0054900E+002
 1.8034085E+000, 2.9404183E+002
 1.8184283E+000, 3.0389695E+002
 1.8334480E+000, 3.2106640E+002
 1.8484677E+000, 3.2451564E+002
 1.8634875E+000, 3.2049420E+002
 1.8785072E+000, 2.9140386E+002
 1.8935270E+000, 2.5999593E+002
 1.9085467E+000, 2.2455220E+002
 1.9235664E+000, 2.0691795E+002
 1.9385862E+000, 1.9010401E+002
 1.9536059E+000, 1.7719473E+002
 1.9686256E+000, 1.7910375E+002
 1.9836454E+000, 2.0674983E+002
 1.9986651E+000, 2.5698376E+002
 2.0136848E+000, 3.0117645E+002
 2.0287046E+000, 3.1124224E+002
 2.0437243E+000, 3.1163660E+002
 2.0587440E+000, 3.0118671E+002
 2.0737638E+000, 2.9058399E+002
 2.0887835E+000, 2.9430065E+002
 2.1038033E+000, 3.1864431E+002
 2.1188230E+000, 3.4764410E+002
 2.1338427E+000, 3.5804231E+002
 2.1638822E+000, 3.6072259E+002
 2.1939217E+000, 3.3062024E+002
 2.2239611E+000, 2.9334913E+002
 2.2540006E+000, 3.0485829E+002
 2.2840401E+000, 3.6530257E+002
 2.3140796E+000, 3.8777145E+002
 2.3456210E+000, 3.7478753E+002
 2.3786644E+000, 3.6764651E+002
 2.4117078E+000, 3.7957603E+002
 2.4447513E+000, 3.9673223E+002
 2.4736111E+000, 3.8704169E+002
