s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DIESEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2846118E-005, 3.9408149E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2842177E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0306330E-001, 0.0000000E+000, 0.0000000E+000,-8.5975033E-007,-1.4529034E-003, 0.0000000E+000, 1.4550207E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2575095E-006, 0.0000000E+000, 6.0976819E-004, 0.0000000E+000
 2.0612660E-001, 1.9638926E+001, 0.0000000E+000,-8.5861399E-007, 3.3496498E-001, 5.2704687E-010, 2.2139668E-003, 0.0000000E+000, 0.0000000E+000,-2.4666045E-006, 1.9976104E+001, 0.0000000E+000, 1.1711525E-003, 0.0000000E+000
 3.0918992E-001, 1.5578598E+001, 0.0000000E+000,-2.0294650E-001, 2.5664615E-001,-2.1404130E-002, 5.0913658E-003, 0.0000000E+000, 0.0000000E+000, 1.9848960E+001, 1.5615985E+001, 0.0000000E+000, 1.6499968E-003, 0.0000000E+000
 4.1225320E-001, 1.2775247E+002, 0.0000000E+000,-1.4246815E+000, 2.1262908E+000,-4.3329154E-002, 5.1325421E-003, 0.0000000E+000, 0.0000000E+000, 1.5592928E+001, 1.2841589E+002, 0.0000000E+000, 2.0325455E-003, 0.0000000E+000
 5.0558537E-001, 1.2535957E+002, 0.0000000E+000,-5.1773281E+001, 1.2310276E+000,-1.9260637E-001, 7.7972985E-003, 0.0000000E+000, 0.0000000E+000, 1.1689320E+002, 7.4632509E+001, 0.0000000E+000, 2.2366787E-003, 0.0000000E+000
 6.1338407E-001, 1.1719452E+002, 0.0000000E+000,-9.0639979E+001, 4.5370564E-001,-1.9011246E-001, 8.8600085E-003, 0.0000000E+000, 0.0000000E+000, 5.2157456E+001, 2.6826997E+001, 0.0000000E+000, 2.4731679E-003, 0.0000000E+000
 7.2298622E-001, 7.6221632E+001, 0.0000000E+000,-3.7736775E+001, 6.3343815E-001,-1.4657931E-001, 9.9622536E-003, 0.0000000E+000, 0.0000000E+000, 1.7671677E+001, 3.8981677E+001, 0.0000000E+000, 2.6485369E-003, 0.0000000E+000
 8.1976229E-001, 9.0238325E+001, 0.0000000E+000,-3.9655952E+001, 8.3347244E-001,-1.3457838E-001, 1.0512396E-002, 0.0000000E+000, 0.0000000E+000, 4.1270199E+001, 5.1291780E+001, 0.0000000E+000, 2.7606342E-003, 0.0000000E+000
 9.0371227E-001, 1.2594462E+002, 0.0000000E+000,-6.2071926E+001, 1.0565852E+000,-1.3837220E-001, 1.0809648E-002, 0.0000000E+000, 0.0000000E+000, 6.1197843E+001, 6.4801713E+001, 0.0000000E+000, 2.8287743E-003, 0.0000000E+000
 1.0248868E+000, 1.3746546E+002, 0.0000000E+000,-6.0043810E+001, 1.2969777E+000,-1.3391786E-001, 1.0885874E-002, 0.0000000E+000, 0.0000000E+000, 7.3402955E+001, 7.8595595E+001, 0.0000000E+000, 2.8821882E-003, 0.0000000E+000
 1.1064025E+000, 1.4663692E+002, 0.0000000E+000,-5.8937281E+001, 1.4778554E+000,-1.1965682E-001, 1.0882784E-002, 0.0000000E+000, 0.0000000E+000, 8.8702857E+001, 8.9068721E+001, 0.0000000E+000, 2.9196681E-003, 0.0000000E+000
 1.2077513E+000, 1.3648254E+002, 0.0000000E+000,-5.1513241E+001, 1.4372004E+000,-1.3169535E-001, 1.0989180E-002, 0.0000000E+000, 0.0000000E+000, 8.7085132E+001, 8.6285794E+001, 0.0000000E+000, 2.9434977E-003, 0.0000000E+000
 1.3069974E+000, 1.2843419E+002, 0.0000000E+000,-4.9205105E+001, 1.3260711E+000,-1.4547945E-001, 1.1061416E-002, 0.0000000E+000, 0.0000000E+000, 8.1346658E+001, 8.0420740E+001, 0.0000000E+000, 2.9620268E-003, 0.0000000E+000
 1.4062437E+000, 1.3049831E+002, 0.0000000E+000,-5.3199958E+001, 1.2825012E+000,-1.4163829E-001, 1.1069336E-002, 0.0000000E+000, 0.0000000E+000, 7.8996561E+001, 7.8450280E+001, 0.0000000E+000, 2.9744152E-003, 0.0000000E+000
 1.5022460E+000, 1.2868043E+002, 0.0000000E+000,-5.3384440E+001, 1.2400493E+000,-1.4811349E-001, 1.1082427E-002, 0.0000000E+000, 0.0000000E+000, 7.6714532E+001, 7.6399010E+001, 0.0000000E+000, 2.9825754E-003, 0.0000000E+000
 1.6025181E+000, 1.2777524E+002, 0.0000000E+000,-5.2777648E+001, 1.2197680E+000,-1.6009491E-001, 1.1153736E-002, 0.0000000E+000, 0.0000000E+000, 7.5839315E+001, 7.6068414E+001, 0.0000000E+000, 2.9881856E-003, 0.0000000E+000
 1.7043525E+000, 1.2970323E+002, 0.0000000E+000,-4.8084462E+001, 1.0352541E+000,-1.6391961E-001, 1.1204046E-002, 0.0000000E+000, 0.0000000E+000, 8.1600938E+001, 8.2501303E+001, 0.0000000E+000, 2.9920861E-003, 0.0000000E+000
 1.8027925E+000, 1.3102828E+002, 0.0000000E+000,-4.5285924E+001,-3.5437000E+001,-1.6426944E-001, 1.1225056E-002, 0.0000000E+000, 0.0000000E+000, 5.4372638E+001, 5.0152313E+001, 0.0000000E+000, 2.9947085E-003, 0.0000000E+000
 1.9023640E+000, 1.2830262E+002, 0.0000000E+000,-4.2533174E+001,-8.5996694E+001,-1.6584669E-001, 1.1251679E-002, 0.0000000E+000, 0.0000000E+000, 4.2543469E-001,-3.8184587E-001, 0.0000000E+000, 2.9964384E-003, 0.0000000E+000
 2.0019355E+000, 1.3023720E+002, 0.0000000E+000,-4.3668633E+001,-9.6373101E+001,-1.6794650E-001, 1.1280799E-002, 0.0000000E+000, 0.0000000E+000,-8.9337862E+000,-9.9611955E+000, 0.0000000E+000, 2.9976080E-003, 0.0000000E+000
 2.1015069E+000, 1.3147145E+002, 0.0000000E+000,-4.3535608E+001,-1.0817578E+002,-1.7033792E-001, 1.1289995E-002, 0.0000000E+000, 0.0000000E+000,-1.9934494E+001,-2.0398980E+001, 0.0000000E+000, 2.9983937E-003, 0.0000000E+000
 2.2010787E+000, 1.3004813E+002, 0.0000000E+000,-4.2690718E+001,-1.1701969E+002,-1.7598734E-001, 1.1272873E-002, 0.0000000E+000, 0.0000000E+000,-2.9221506E+001,-2.9826996E+001, 0.0000000E+000, 2.9989213E-003, 0.0000000E+000
 2.3006501E+000, 1.2722442E+002, 0.0000000E+000,-4.1847410E+001,-1.2077910E+002,-1.9299446E-001, 1.1253076E-002, 0.0000000E+000, 0.0000000E+000,-3.5394005E+001,-3.5583836E+001, 0.0000000E+000, 2.9992756E-003, 0.0000000E+000
 2.4002216E+000, 1.2670429E+002, 0.0000000E+000,-4.1321447E+001,-1.1603027E+002,-2.3815633E-001, 1.1256880E-002, 0.0000000E+000, 0.0000000E+000,-3.1870615E+001,-3.0874325E+001, 0.0000000E+000, 2.9995136E-003, 0.0000000E+000
