s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999991E+001
 4.6238068E-001, 2.0000110E+001
 5.5703211E-001, 2.0000203E+001
 6.1870090E-001, 2.0000275E+001
 6.7497740E-001, 2.0008454E+001
 7.3125391E-001, 2.0016649E+001
 7.8753041E-001, 2.0024855E+001
 8.3275166E-001, 2.0035202E+001
 8.6991868E-001, 2.0043759E+001
 9.0708570E-001, 2.0052383E+001
 9.3977715E-001, 2.0067637E+001
 9.6793589E-001, 2.0080890E+001
 9.9609464E-001, 2.0094289E+001
 1.0242534E+000, 2.0111578E+001
 1.0471742E+000, 2.0125866E+001
 1.0700951E+000, 2.0140420E+001
 1.0896175E+000, 2.0160139E+001
 1.1091399E+000, 2.0180161E+001
 1.1261118E+000, 2.0197775E+001
 1.1430838E+000, 2.0219615E+001
 1.1600558E+000, 2.0241602E+001
 1.1747304E+000, 2.0260359E+001
 1.1894051E+000, 2.0283208E+001
 1.2040798E+000, 2.0306436E+001
 1.2187544E+000, 2.0330477E+001
 1.2334291E+000, 2.0357664E+001
 1.2481037E+000, 2.0388500E+001
 1.2627784E+000, 2.0461186E+001
 1.2774531E+000, 2.0839933E+001
 1.2921277E+000, 3.2138275E+001
 1.3068024E+000, 7.3001878E+001
 1.3214771E+000, 1.4121138E+002
 1.3361517E+000, 2.0684041E+002
 1.3508264E+000, 2.3619781E+002
 1.3655011E+000, 2.4950065E+002
 1.3801757E+000, 2.5426391E+002
 1.3963178E+000, 2.5545834E+002
 1.4124600E+000, 2.5513729E+002
 1.4286021E+000, 2.6764335E+002
 1.4447442E+000, 3.1299550E+002
 1.4608864E+000, 3.9437474E+002
 1.4751600E+000, 4.8501359E+002
 1.4894336E+000, 5.6465713E+002
 1.5037073E+000, 6.4682823E+002
 1.5159935E+000, 7.0318730E+002
 1.5282797E+000, 7.0931473E+002
 1.5405659E+000, 6.9386794E+002
 1.5528521E+000, 6.4636274E+002
 1.5651384E+000, 5.8691186E+002
 1.5774246E+000, 5.3739985E+002
 1.5993965E+000, 4.5839216E+002
 1.6213684E+000, 3.7058829E+002
 1.6543263E+000, 2.8785931E+002
 1.6872842E+000, 2.8451817E+002
 1.7202421E+000, 3.8846907E+002
 1.7422140E+000, 4.5778792E+002
 1.7773690E+000, 5.4733769E+002
 1.8015382E+000, 5.8914457E+002
 1.8377918E+000, 5.8204846E+002
 1.8619609E+000, 5.4822389E+002
 1.9018400E+000, 6.3128345E+002
 1.9284260E+000, 7.6226568E+002
 1.9550120E+000, 7.9865099E+002
 1.9815980E+000, 7.9300920E+002
 2.0214771E+000, 7.9746901E+002
 2.0441622E+000, 7.9570305E+002
 2.0781899E+000, 7.2885643E+002
 2.1008750E+000, 6.6915740E+002
 2.1349027E+000, 6.7718178E+002
 2.1689304E+000, 7.1260739E+002
 2.1916155E+000, 7.0764425E+002
 2.2256432E+000, 7.1791495E+002
 2.2596709E+000, 7.4099299E+002
 2.2823561E+000, 7.3227705E+002
 2.3163838E+000, 7.4760859E+002
 2.3504115E+000, 8.0973793E+002
 2.3730966E+000, 8.2785710E+002
 2.4071243E+000, 8.3522234E+002
 2.4411520E+000, 8.5970965E+002
 2.4638371E+000, 8.8129318E+002
