s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4103553E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4103553E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.8603706E-007,-4.2621800E-003, 0.0000000E+000,-1.3884396E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6515056E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0117730E+001, 0.0000000E+000,-8.8201882E-007, 6.7563001E-001,-6.1228431E-010,-1.8541194E-003, 0.0000000E+000, 0.0000000E+000,-8.2179219E-003, 4.0791505E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1480307E+001, 0.0000000E+000,-8.1940851E-001, 1.3394047E+000,-4.9547045E-002,-6.6783026E-003, 0.0000000E+000, 0.0000000E+000, 4.0390242E+001, 8.1944078E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877023E+002, 0.0000000E+000,-1.6218827E+001, 1.6184424E+000,-1.8099099E-001,-7.4557640E-003, 0.0000000E+000, 0.0000000E+000, 7.9488265E+001, 1.0398139E+002, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.5703211E-001, 1.5226922E+002, 0.0000000E+000,-9.8269464E+001, 8.5240528E-001,-3.0918841E-001,-9.3350020E-003, 0.0000000E+000, 0.0000000E+000, 1.0150339E+002, 5.4533633E+001, 0.0000000E+000, 4.0274717E-003, 0.0000000E+000
 6.1870092E-001, 1.7198722E+002, 0.0000000E+000,-8.8698456E+001, 1.2860945E+000,-2.6630215E-001,-1.0205469E-002, 0.0000000E+000, 0.0000000E+000, 5.3749833E+001, 8.4298351E+001, 0.0000000E+000, 4.2235647E-003, 0.0000000E+000
 7.3125392E-001, 1.4779559E+002, 0.0000000E+000,-9.6674954E+001, 8.6979523E-001,-2.6316511E-001,-1.1331583E-002, 0.0000000E+000, 0.0000000E+000, 5.9954382E+001, 5.1715938E+001, 0.0000000E+000, 4.4304530E-003, 0.0000000E+000
 8.3275169E-001, 1.4812680E+002, 0.0000000E+000,-5.4247336E+001, 1.5132495E+000,-2.2412034E-001,-1.2291656E-002, 0.0000000E+000, 0.0000000E+000, 7.2709675E+001, 9.5156297E+001, 0.0000000E+000, 4.6183796E-003, 0.0000000E+000
 9.0708572E-001, 2.2252732E+002, 0.0000000E+000,-9.2389195E+001, 2.1027281E+000,-2.2483767E-001,-1.2830231E-002, 0.0000000E+000, 0.0000000E+000, 1.1909022E+002, 1.3200319E+002, 0.0000000E+000, 4.7211546E-003, 0.0000000E+000
 1.0242534E+000, 2.5659401E+002, 0.0000000E+000,-1.1465021E+002, 2.3566500E+000,-2.2162232E-001,-1.3177611E-002, 0.0000000E+000, 0.0000000E+000, 1.4176943E+002, 1.4406565E+002, 0.0000000E+000, 4.8042484E-003, 0.0000000E+000
 1.1091399E+000, 2.6463159E+002, 0.0000000E+000,-1.0423931E+002, 2.7194703E+000,-1.9229266E-001,-1.3346458E-002, 0.0000000E+000, 0.0000000E+000, 1.5733856E+002, 1.6290611E+002, 0.0000000E+000, 4.8668426E-003, 0.0000000E+000
 1.2040797E+000, 2.5155799E+002, 0.0000000E+000,-7.9600940E+001, 2.8988872E+000,-1.8073590E-001,-1.3032830E-002, 0.0000000E+000, 0.0000000E+000, 1.7355960E+002, 1.7466217E+002, 0.0000000E+000, 4.9055464E-003, 0.0000000E+000
 1.3068024E+000, 2.3325874E+002, 0.0000000E+000,-7.6503321E+001, 2.6062430E+000,-2.1666197E-001,-1.2935306E-002, 0.0000000E+000, 0.0000000E+000, 1.6195605E+002, 1.5913206E+002, 0.0000000E+000, 4.9359544E-003, 0.0000000E+000
 1.4124600E+000, 2.2077066E+002, 0.0000000E+000,-7.4695029E+001, 2.4091349E+000,-2.2102085E-001,-1.3062762E-002, 0.0000000E+000, 0.0000000E+000, 1.4876887E+002, 1.4825068E+002, 0.0000000E+000, 4.9577047E-003, 0.0000000E+000
 1.5037073E+000, 2.2743792E+002, 0.0000000E+000,-7.9927066E+001, 2.3938242E+000,-2.1558591E-001,-1.2798238E-002, 0.0000000E+000, 0.0000000E+000, 1.5030472E+002, 1.4967630E+002, 0.0000000E+000, 4.9715026E-003, 0.0000000E+000
 1.6103824E+000, 2.1903188E+002, 0.0000000E+000,-7.7300460E+001, 2.2716092E+000,-2.3522483E-001,-1.2694604E-002, 0.0000000E+000, 0.0000000E+000, 1.4384281E+002, 1.4375511E+002, 0.0000000E+000, 4.9806288E-003, 0.0000000E+000
 1.7092561E+000, 2.2476423E+002, 0.0000000E+000,-7.2613718E+001,-9.6673388E+000,-2.5163928E-001,-1.2950196E-002, 0.0000000E+000, 0.0000000E+000, 1.4377787E+002, 1.4221858E+002, 0.0000000E+000, 4.9871388E-003, 0.0000000E+000
