s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9026688E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9026688E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-7.7845789E-007,-4.2621781E-003, 0.0000000E+000,-1.3884396E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6513961E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0117730E+001, 0.0000000E+000,-7.7446207E-007, 6.7563000E-001,-7.6138163E-010,-1.8541126E-003, 0.0000000E+000, 0.0000000E+000,-8.2177887E-003, 4.0791505E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1480307E+001, 0.0000000E+000,-8.1941144E-001, 1.3394056E+000,-4.9547038E-002,-6.6782997E-003, 0.0000000E+000, 0.0000000E+000, 4.0390245E+001, 8.1944076E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877023E+002, 0.0000000E+000,-1.6218836E+001, 1.6184413E+000,-1.8099053E-001,-7.4557833E-003, 0.0000000E+000, 0.0000000E+000, 7.9488301E+001, 1.0398138E+002, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.5702847E-001, 1.5226973E+002, 0.0000000E+000,-9.8264753E+001, 8.5248320E-001,-3.0918020E-001,-9.3350238E-003, 0.0000000E+000, 0.0000000E+000, 1.0150349E+002, 5.4538940E+001, 0.0000000E+000, 4.0274588E-003, 0.0000000E+000
 6.1868745E-001, 1.7199370E+002, 0.0000000E+000,-8.8701421E+001, 1.2861520E+000,-2.6630721E-001,-1.0205345E-002, 0.0000000E+000, 0.0000000E+000, 5.3755071E+001, 8.4301919E+001, 0.0000000E+000, 4.2235262E-003, 0.0000000E+000
 7.3123962E-001, 1.4779025E+002, 0.0000000E+000,-9.6681406E+001, 8.6961336E-001,-2.6317709E-001,-1.1331049E-002, 0.0000000E+000, 0.0000000E+000, 5.9949354E+001, 5.1703953E+001, 0.0000000E+000, 4.4304228E-003, 0.0000000E+000
 8.3266884E-001, 1.4807516E+002, 0.0000000E+000,-5.4224843E+001, 1.5127302E+000,-2.2413341E-001,-1.2290727E-002, 0.0000000E+000, 0.0000000E+000, 7.2689130E+001, 9.5126623E+001, 0.0000000E+000, 4.6182932E-003, 0.0000000E+000
 9.0695667E-001, 2.2246329E+002, 0.0000000E+000,-9.2380904E+001, 2.1017993E+000,-2.2487229E-001,-1.2829143E-002, 0.0000000E+000, 0.0000000E+000, 1.1904076E+002, 1.3194649E+002, 0.0000000E+000, 4.7210281E-003, 0.0000000E+000
 1.0214213E+000, 2.5718624E+002, 0.0000000E+000,-1.1438568E+002, 2.3676371E+000,-2.2185574E-001,-1.3175209E-002, 0.0000000E+000, 0.0000000E+000, 1.4146943E+002, 1.4493316E+002, 0.0000000E+000, 4.8030028E-003, 0.0000000E+000
 1.1087996E+000, 2.6387046E+002, 0.0000000E+000,-1.0523559E+002, 2.6930922E+000,-1.9300344E-001,-1.3346502E-002, 0.0000000E+000, 0.0000000E+000, 1.5755325E+002, 1.6112161E+002, 0.0000000E+000, 4.8661586E-003, 0.0000000E+000
 1.2036057E+000, 2.5150192E+002, 0.0000000E+000,-7.9595713E+001, 2.8979409E+000,-1.8069631E-001,-1.3036477E-002, 0.0000000E+000, 0.0000000E+000, 1.7326113E+002, 1.7461041E+002, 0.0000000E+000, 4.9053883E-003, 0.0000000E+000
 1.3066458E+000, 2.3319989E+002, 0.0000000E+000,-7.6573621E+001, 2.6037042E+000,-2.1640331E-001,-1.2932386E-002, 0.0000000E+000, 0.0000000E+000, 1.6183167E+002, 1.5900063E+002, 0.0000000E+000, 4.9358772E-003, 0.0000000E+000
 1.4096859E+000, 2.2089978E+002, 0.0000000E+000,-7.4715473E+001, 2.4107101E+000,-2.2160987E-001,-1.3064129E-002, 0.0000000E+000, 0.0000000E+000, 1.4881264E+002, 1.4836035E+002, 0.0000000E+000, 4.9574433E-003, 0.0000000E+000
 1.5095875E+000, 2.2695793E+002, 0.0000000E+000,-7.9434568E+001, 2.3905795E+000,-2.1618954E-001,-1.2803298E-002, 0.0000000E+000, 0.0000000E+000, 1.5038565E+002, 1.4968495E+002, 0.0000000E+000, 4.9715915E-003, 0.0000000E+000
 1.6063898E+000, 2.1871398E+002, 0.0000000E+000,-7.6999024E+001, 2.2661475E+000,-2.3584563E-001,-1.2695823E-002, 0.0000000E+000, 0.0000000E+000, 1.4388660E+002, 1.4373256E+002, 0.0000000E+000, 4.9807367E-003, 0.0000000E+000
 1.7009449E+000, 2.2437275E+002, 0.0000000E+000,-7.2553773E+001,-5.2428600E+000,-2.5186658E-001,-1.2944154E-002, 0.0000000E+000, 0.0000000E+000, 1.4698331E+002, 1.4631131E+002, 0.0000000E+000, 4.9868134E-003, 0.0000000E+000
 1.8050607E+000, 2.3292889E+002, 0.0000000E+000,-6.8380117E+001,-1.3406770E+002,-2.6083402E-001,-1.3203435E-002, 0.0000000E+000, 0.0000000E+000, 3.6190357E+001, 3.0207038E+001, 0.0000000E+000, 4.9911407E-003, 0.0000000E+000
 1.9067601E+000, 2.3889250E+002, 0.0000000E+000,-6.7014458E+001,-1.8500380E+002,-2.6353256E-001,-1.3297789E-002, 0.0000000E+000, 0.0000000E+000,-1.4136736E+001,-1.3402592E+001, 0.0000000E+000, 4.9941441E-003, 0.0000000E+000
 2.0084596E+000, 2.3934678E+002, 0.0000000E+000,-6.9877724E+001,-1.5871573E+002,-2.7839446E-001,-1.3249415E-002, 0.0000000E+000, 0.0000000E+000, 1.0242987E+001, 1.0461681E+001, 0.0000000E+000, 4.9961005E-003, 0.0000000E+000
 2.1024497E+000, 2.3041493E+002, 0.0000000E+000,-6.8189792E+001,-1.7869479E+002,-2.8429267E-001,-1.3212902E-002, 0.0000000E+000, 0.0000000E+000,-1.3754067E+001,-1.6767157E+001, 0.0000000E+000, 4.9973612E-003, 0.0000000E+000
 2.2029850E+000, 2.2479534E+002, 0.0000000E+000,-6.5589677E+001,-1.9360235E+002,-3.0981326E-001,-1.3276664E-002, 0.0000000E+000, 0.0000000E+000,-3.3807795E+001,-3.4719785E+001, 0.0000000E+000, 4.9982075E-003, 0.0000000E+000
 2.3070929E+000, 2.2648128E+002, 0.0000000E+000,-6.4343563E+001,-2.1189618E+002,-2.8937754E-001,-1.3372511E-002, 0.0000000E+000, 0.0000000E+000,-5.0385057E+001,-5.0061209E+001, 0.0000000E+000, 4.9988072E-003, 0.0000000E+000
 2.4046218E+000, 2.2981622E+002, 0.0000000E+000,-6.4415055E+001,-2.0212763E+002,-2.9551069E-001,-1.3405487E-002, 0.0000000E+000, 0.0000000E+000,-3.7187205E+001,-3.7035376E+001, 0.0000000E+000, 4.9992043E-003, 0.0000000E+000
 2.5021508E+000, 2.3177825E+002, 0.0000000E+000,-6.4038826E+001,-1.9348698E+002,-3.2060913E-001,-1.3383140E-002, 0.0000000E+000, 0.0000000E+000,-2.6876358E+001,-2.6081545E+001, 0.0000000E+000, 4.9994613E-003, 0.0000000E+000
 2.6105163E+000, 2.3055829E+002, 0.0000000E+000,-6.2780836E+001,-2.0946548E+002,-4.3252657E-001,-1.3389480E-002, 0.0000000E+000, 0.0000000E+000,-4.1275999E+001,-4.2133939E+001, 0.0000000E+000, 4.9996426E-003, 0.0000000E+000
 2.7080452E+000, 2.3065648E+002, 0.0000000E+000,-6.2402535E+001,-2.0909843E+002,-4.5900273E-001,-1.3377286E-002, 0.0000000E+000, 0.0000000E+000,-4.0555113E+001,-4.1316866E+001, 0.0000000E+000, 4.9997636E-003, 0.0000000E+000
 2.8055742E+000, 2.3153739E+002, 0.0000000E+000,-6.2250941E+001,-2.1438588E+002,-5.2072599E-001,-1.3347768E-002, 0.0000000E+000, 0.0000000E+000,-4.5973216E+001,-4.5633503E+001, 0.0000000E+000, 4.9998400E-003, 0.0000000E+000
 2.9031029E+000, 2.2872131E+002, 0.0000000E+000,-6.0149866E+001,-1.9907153E+002,-6.6588541E-001,-1.3330293E-002, 0.0000000E+000, 0.0000000E+000,-3.1860841E+001,-3.1179302E+001, 0.0000000E+000, 4.9998917E-003, 0.0000000E+000
 3.0006318E+000, 2.2896699E+002, 0.0000000E+000,-5.8497141E+001,-1.8281030E+002,-6.9310287E-001,-1.3292420E-002, 0.0000000E+000, 0.0000000E+000,-1.3739505E+001,-1.3046843E+001, 0.0000000E+000, 4.9999267E-003, 0.0000000E+000
 3.1089973E+000, 2.3207255E+002, 0.0000000E+000,-5.7990793E+001,-1.7819159E+002,-6.3060926E-001,-1.3303450E-002, 0.0000000E+000, 0.0000000E+000,-5.5984316E+000,-4.7537465E+000, 0.0000000E+000, 4.9999513E-003, 0.0000000E+000
 3.2065263E+000, 2.3156420E+002, 0.0000000E+000,-5.5147242E+001,-1.6777376E+002,-5.4927839E-001,-1.3292596E-002, 0.0000000E+000, 0.0000000E+000, 8.1911283E+000, 8.0806231E+000, 0.0000000E+000, 4.9999678E-003, 0.0000000E+000
 3.3040552E+000, 2.2492263E+002, 0.0000000E+000,-5.1200305E+001,-1.6115456E+002,-5.4975529E-001,-1.3225501E-002, 0.0000000E+000, 0.0000000E+000, 1.1763021E+001, 1.2004777E+001, 0.0000000E+000, 4.9999782E-003, 0.0000000E+000
 3.4102533E+000, 2.1925298E+002, 0.0000000E+000,-5.0238156E+001,-1.5358152E+002,-5.2215009E-001,-1.3219940E-002, 0.0000000E+000, 0.0000000E+000, 1.4659222E+001, 1.4897933E+001, 0.0000000E+000, 4.9999855E-003, 0.0000000E+000
 3.5056150E+000, 2.2096615E+002, 0.0000000E+000,-5.2378269E+001,-1.4895295E+002,-4.7818846E-001,-1.3183793E-002, 0.0000000E+000, 0.0000000E+000, 1.9640342E+001, 1.9143557E+001, 0.0000000E+000, 4.9999903E-003, 0.0000000E+000
 3.6009765E+000, 2.2561405E+002, 0.0000000E+000,-5.4397011E+001,-1.4628672E+002,-4.3273000E-001,-1.3157593E-002, 0.0000000E+000, 0.0000000E+000, 2.2970630E+001, 2.4484434E+001, 0.0000000E+000, 4.9999934E-003, 0.0000000E+000
 3.7046824E+000, 2.2918915E+002, 0.0000000E+000,-5.6742537E+001,-1.3244560E+002,-4.0692985E-001,-1.3155600E-002, 0.0000000E+000, 0.0000000E+000, 3.8948550E+001, 3.9580935E+001, 0.0000000E+000, 4.9999956E-003, 0.0000000E+000
 3.8099382E+000, 2.3315051E+002, 0.0000000E+000,-5.8408416E+001,-1.2279016E+002,-4.2415663E-001,-1.3189213E-002, 0.0000000E+000, 0.0000000E+000, 5.0892025E+001, 5.1514593E+001, 0.0000000E+000, 4.9999971E-003, 0.0000000E+000
 3.9066195E+000, 2.3043016E+002, 0.0000000E+000,-5.8811168E+001,-1.2494078E+002,-3.8090015E-001,-1.2885713E-002, 0.0000000E+000, 0.0000000E+000, 4.7448946E+001, 4.6284426E+001, 0.0000000E+000, 4.9999981E-003, 0.0000000E+000
 4.0033011E+000, 2.2664503E+002, 0.0000000E+000,-5.6222872E+001,-1.2059449E+002,-3.5062966E-001,-1.3250292E-002, 0.0000000E+000, 0.0000000E+000, 4.8335888E+001, 4.9463786E+001, 0.0000000E+000, 4.9999987E-003, 0.0000000E+000
 4.1015902E+000, 2.2602752E+002, 0.0000000E+000,-5.6062609E+001,-9.2278525E+001,-3.4981109E-001,-1.3487779E-002, 0.0000000E+000, 0.0000000E+000, 7.5314753E+001, 7.7323087E+001, 0.0000000E+000, 4.9999991E-003, 0.0000000E+000
 4.2114997E+000, 2.3199614E+002, 0.0000000E+000,-5.9197768E+001,-9.2444098E+001,-3.7190381E-001,-1.3527870E-002, 0.0000000E+000, 0.0000000E+000, 8.2550590E+001, 7.9968841E+001, 0.0000000E+000, 4.9999994E-003, 0.0000000E+000
 4.3082561E+000, 2.3796867E+002, 0.0000000E+000,-6.2102672E+001,-1.7215470E+002,-4.6049761E-001,-1.3583180E-002, 0.0000000E+000, 0.0000000E+000, 7.0005898E+000, 3.2372161E+000, 0.0000000E+000, 4.9999996E-003, 0.0000000E+000
 4.4037728E+000, 2.2946396E+002, 0.0000000E+000,-6.1385699E+001,-2.1067648E+002,-4.8647995E-001,-1.3520976E-002, 0.0000000E+000, 0.0000000E+000,-4.1108198E+001,-4.3098227E+001, 0.0000000E+000, 4.9999997E-003, 0.0000000E+000
 4.5035348E+000, 2.2003953E+002, 0.0000000E+000,-5.6088597E+001,-2.2257920E+002,-7.4455073E-001,-1.3510598E-002, 0.0000000E+000, 0.0000000E+000,-5.9008627E+001,-5.9386326E+001, 0.0000000E+000, 4.9999998E-003, 0.0000000E+000
 4.6106629E+000, 2.1356690E+002, 0.0000000E+000,-5.2781456E+001,-1.9417054E+002,-8.7226529E-001,-1.3594200E-002, 0.0000000E+000, 0.0000000E+000,-3.5982380E+001,-3.4270955E+001, 0.0000000E+000, 4.9999999E-003, 0.0000000E+000
