s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6929668E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6929668E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-7.3739287E-007,-4.2621774E-003, 0.0000000E+000,-1.3884396E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6513544E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0117730E+001, 0.0000000E+000,-7.3340448E-007, 6.7563001E-001,-5.5166167E-010,-1.8541127E-003, 0.0000000E+000, 0.0000000E+000,-8.2177468E-003, 4.0791505E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1480307E+001, 0.0000000E+000,-8.1941167E-001, 1.3394056E+000,-4.9547033E-002,-6.6783003E-003, 0.0000000E+000, 0.0000000E+000, 4.0390245E+001, 8.1944075E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877023E+002, 0.0000000E+000,-1.6218838E+001, 1.6184412E+000,-1.8099032E-001,-7.4557930E-003, 0.0000000E+000, 0.0000000E+000, 7.9488303E+001, 1.0398138E+002, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.5702800E-001, 1.5226978E+002, 0.0000000E+000,-9.8263971E+001, 8.5249533E-001,-3.0917899E-001,-9.3350454E-003, 0.0000000E+000, 0.0000000E+000, 1.0150358E+002, 5.4539795E+001, 0.0000000E+000, 4.0274573E-003, 0.0000000E+000
 6.1868650E-001, 1.7199405E+002, 0.0000000E+000,-8.8701787E+001, 1.2861530E+000,-2.6630613E-001,-1.0205365E-002, 0.0000000E+000, 0.0000000E+000, 5.3755924E+001, 8.4301903E+001, 0.0000000E+000, 4.2235235E-003, 0.0000000E+000
 7.3123896E-001, 1.4779005E+002, 0.0000000E+000,-9.6681193E+001, 8.6962010E-001,-2.6317649E-001,-1.1331062E-002, 0.0000000E+000, 0.0000000E+000, 5.9949231E+001, 5.1703966E+001, 0.0000000E+000, 4.4304212E-003, 0.0000000E+000
 8.3266526E-001, 1.4807422E+002, 0.0000000E+000,-5.4224416E+001, 1.5127372E+000,-2.2413217E-001,-1.2290709E-002, 0.0000000E+000, 0.0000000E+000, 7.2689260E+001, 9.5126123E+001, 0.0000000E+000, 4.6182895E-003, 0.0000000E+000
 9.0695119E-001, 2.2246167E+002, 0.0000000E+000,-9.2391991E+001, 2.1016484E+000,-2.2487077E-001,-1.2829111E-002, 0.0000000E+000, 0.0000000E+000, 1.1904018E+002, 1.3193363E+002, 0.0000000E+000, 4.7210227E-003, 0.0000000E+000
 1.0214299E+000, 2.5718159E+002, 0.0000000E+000,-1.1437856E+002, 2.3677427E+000,-2.2184248E-001,-1.3175231E-002, 0.0000000E+000, 0.0000000E+000, 1.4146137E+002, 1.4493575E+002, 0.0000000E+000, 4.8030050E-003, 0.0000000E+000
 1.1088015E+000, 2.6387406E+002, 0.0000000E+000,-1.0523407E+002, 2.6932313E+000,-1.9299065E-001,-1.3346478E-002, 0.0000000E+000, 0.0000000E+000, 1.5756135E+002, 1.6112689E+002, 0.0000000E+000, 4.8661610E-003, 0.0000000E+000
 1.2036005E+000, 2.5150171E+002, 0.0000000E+000,-7.9605833E+001, 2.8978462E+000,-1.8069083E-001,-1.3036448E-002, 0.0000000E+000, 0.0000000E+000, 1.7325418E+002, 1.7460000E+002, 0.0000000E+000, 4.9053875E-003, 0.0000000E+000
 1.3066369E+000, 2.3319648E+002, 0.0000000E+000,-7.6585212E+001, 2.6035489E+000,-2.1639292E-001,-1.2932373E-002, 0.0000000E+000, 0.0000000E+000, 1.6181687E+002, 1.5898549E+002, 0.0000000E+000, 4.9358754E-003, 0.0000000E+000
 1.4096735E+000, 2.2090201E+002, 0.0000000E+000,-7.4732523E+001, 2.4103574E+000,-2.2159981E-001,-1.3064090E-002, 0.0000000E+000, 0.0000000E+000, 1.4879705E+002, 1.4834518E+002, 0.0000000E+000, 4.9574415E-003, 0.0000000E+000
 1.5095841E+000, 2.2695995E+002, 0.0000000E+000,-7.9452255E+001, 2.3899525E+000,-2.1617278E-001,-1.2803298E-002, 0.0000000E+000, 0.0000000E+000, 1.5037088E+002, 1.4966867E+002, 0.0000000E+000, 4.9715906E-003, 0.0000000E+000
 1.6064050E+000, 2.1872145E+002, 0.0000000E+000,-7.7015837E+001, 2.2655861E+000,-2.3582147E-001,-1.2695979E-002, 0.0000000E+000, 0.0000000E+000, 1.4387736E+002, 1.4372269E+002, 0.0000000E+000, 4.9807372E-003, 0.0000000E+000
 1.7009681E+000, 2.2437414E+002, 0.0000000E+000,-7.2572597E+001,-5.2644158E+000,-2.5187901E-001,-1.2944734E-002, 0.0000000E+000, 0.0000000E+000, 1.4694996E+002, 1.4627230E+002, 0.0000000E+000, 4.9868144E-003, 0.0000000E+000
 1.8050926E+000, 2.3293648E+002, 0.0000000E+000,-6.8396342E+001,-1.3421632E+002,-2.6089302E-001,-1.3204333E-002, 0.0000000E+000, 0.0000000E+000, 3.6034899E+001, 3.0049712E+001, 0.0000000E+000, 4.9911417E-003, 0.0000000E+000
 1.9068004E+000, 2.3892309E+002, 0.0000000E+000,-6.7050473E+001,-1.8508012E+002,-2.6365494E-001,-1.3298819E-002, 0.0000000E+000, 0.0000000E+000,-1.4225791E+001,-1.3484452E+001, 0.0000000E+000, 4.9941449E-003, 0.0000000E+000
 2.0085082E+000, 2.3933346E+002, 0.0000000E+000,-6.9900588E+001,-1.5870331E+002,-2.7853892E-001,-1.3249857E-002, 0.0000000E+000, 0.0000000E+000, 1.0222353E+001, 1.0437772E+001, 0.0000000E+000, 4.9961012E-003, 0.0000000E+000
 2.1025374E+000, 2.3039203E+002, 0.0000000E+000,-6.8205830E+001,-1.7869290E+002,-2.8343709E-001,-1.3212723E-002, 0.0000000E+000, 0.0000000E+000,-1.3792629E+001,-1.6803345E+001, 0.0000000E+000, 4.9973620E-003, 0.0000000E+000
 2.2031369E+000, 2.2478453E+002, 0.0000000E+000,-6.5600130E+001,-1.9363413E+002,-3.0761635E-001,-1.3277181E-002, 0.0000000E+000, 0.0000000E+000,-3.3864234E+001,-3.4770617E+001, 0.0000000E+000, 4.9982084E-003, 0.0000000E+000
 2.3072162E+000, 2.2648552E+002, 0.0000000E+000,-6.4380706E+001,-2.1191297E+002,-2.8892980E-001,-1.3373392E-002, 0.0000000E+000, 0.0000000E+000,-5.0472226E+001,-5.0110460E+001, 0.0000000E+000, 4.9988078E-003, 0.0000000E+000
 2.4046941E+000, 2.2987203E+002, 0.0000000E+000,-6.4435164E+001,-2.0213534E+002,-2.9557877E-001,-1.3406508E-002, 0.0000000E+000, 0.0000000E+000,-3.7129645E+001,-3.7007464E+001, 0.0000000E+000, 4.9992047E-003, 0.0000000E+000
 2.5021718E+000, 2.3178606E+002, 0.0000000E+000,-6.4060705E+001,-1.9352438E+002,-3.2067001E-001,-1.3384603E-002, 0.0000000E+000, 0.0000000E+000,-2.6935622E+001,-2.6133077E+001, 0.0000000E+000, 4.9994614E-003, 0.0000000E+000
 2.6104803E+000, 2.3057074E+002, 0.0000000E+000,-6.2799564E+001,-2.0948846E+002,-4.3150779E-001,-1.3390634E-002, 0.0000000E+000, 0.0000000E+000,-4.1266577E+001,-4.2162181E+001, 0.0000000E+000, 4.9996426E-003, 0.0000000E+000
 2.7079580E+000, 2.3068679E+002, 0.0000000E+000,-6.2405527E+001,-2.0921645E+002,-4.5571677E-001,-1.3376351E-002, 0.0000000E+000, 0.0000000E+000,-4.0695097E+001,-4.1404285E+001, 0.0000000E+000, 4.9997635E-003, 0.0000000E+000
