s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.0189445E-001, 2.0000142E+001
 2.7096027E-001, 2.0000271E+001
 3.3219509E-001, 2.0000435E+001
 3.9342990E-001, 2.0000625E+001
 4.4501116E-001, 2.0000800E+001
 4.9659241E-001, 2.0002187E+001
 5.4817367E-001, 2.0003487E+001
 5.9363481E-001, 2.0004549E+001
 6.3909594E-001, 2.0009474E+001
 6.8455708E-001, 2.0013875E+001
 7.3001822E-001, 2.0017737E+001
 7.7078948E-001, 2.0026156E+001
 8.1156075E-001, 2.0034064E+001
 8.5233202E-001, 2.0041479E+001
 8.9310328E-001, 2.0051278E+001
 9.3387455E-001, 2.0060575E+001
 9.7464581E-001, 2.0069391E+001
 1.0112567E+000, 2.0082912E+001
 1.0478676E+000, 2.0095714E+001
 1.0804799E+000, 2.0106536E+001
 1.1130921E+000, 2.0117140E+001
 1.1457044E+000, 2.0127181E+001
 1.1724998E+000, 2.0135044E+001
 1.1992953E+000, 2.0142914E+001
 1.2232556E+000, 2.0149759E+001
 1.2472159E+000, 2.0156419E+001
 1.2711762E+000, 2.0166338E+001
 1.2922578E+000, 2.0174756E+001
 1.3133393E+000, 2.0182900E+001
 1.3344209E+000, 2.0192338E+001
 1.3555024E+000, 2.0201466E+001
 1.3765839E+000, 2.0210292E+001
 1.3976655E+000, 2.0217300E+001
 1.4187470E+000, 2.0224032E+001
 1.4398286E+000, 2.0230498E+001
 1.4609101E+000, 2.0237082E+001
 1.4819917E+000, 2.0243432E+001
 1.5030732E+000, 2.0249539E+001
 1.5241547E+000, 2.0256169E+001
 1.5452363E+000, 2.0262550E+001
 1.5663178E+000, 2.0268670E+001
 1.5873994E+000, 2.0272223E+001
 1.6084809E+000, 2.0275613E+001
 1.6295625E+000, 2.0278830E+001
 1.6506440E+000, 2.0280416E+001
 1.6717255E+000, 2.0281859E+001
 1.6928071E+000, 2.0283160E+001
 1.7138886E+000, 2.0285246E+001
 1.7349702E+000, 2.0287267E+001
 1.7560517E+000, 2.0289241E+001
 1.7771332E+000, 2.0291484E+001
 1.7982148E+000, 2.0293603E+001
 1.8162096E+000, 2.0295364E+001
 1.8342044E+000, 2.0296084E+001
 1.8521992E+000, 2.0296751E+001
 1.8701940E+000, 2.0297406E+001
 1.8881888E+000, 2.0299112E+001
 1.9061836E+000, 2.0300800E+001
 1.9241784E+000, 2.0302473E+001
 1.9421732E+000, 2.0304413E+001
 1.9601680E+000, 2.0306349E+001
 1.9781628E+000, 2.0308289E+001
 1.9937094E+000, 2.0310169E+001
 2.0092561E+000, 2.0311945E+001
 2.0248027E+000, 2.0313613E+001
 2.0403493E+000, 2.0314545E+001
 2.0558959E+000, 2.0315436E+001
 2.0714426E+000, 2.0316279E+001
 2.1040905E+000, 2.0317130E+001
 2.1400032E+000, 2.0318122E+001
 2.1795072E+000, 2.0318455E+001
 2.2001997E+000, 2.0319045E+001
 2.2208923E+000, 2.0319400E+001
 2.2546446E+000, 2.0318781E+001
 2.2883969E+000, 2.0315730E+001
 2.3221492E+000, 2.0313647E+001
 2.3559015E+000, 2.0312201E+001
 2.3727777E+000, 2.0312169E+001
 2.4065300E+000, 2.0311146E+001
 2.4402823E+000, 2.0307996E+001
 2.4740346E+000, 2.0302938E+001
