s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-1.0148017E-003, 0.0000000E+000,-3.9792016E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4135443E-003, 0.0000000E+000, 2.8394697E-004, 0.0000000E+000
 2.3119034E-001, 1.0029932E+001, 0.0000000E+000,-8.2132343E-007, 1.6919893E-001,-1.4815589E-009,-5.2036139E-004, 0.0000000E+000, 0.0000000E+000,-2.0551063E-003, 1.0198610E+001, 0.0000000E+000, 5.4002818E-004, 0.0000000E+000
 3.4678552E-001, 2.0370612E+001, 0.0000000E+000,-1.8877186E-001, 3.3819913E-001,-1.1283300E-002,-1.6994719E-003, 0.0000000E+000, 0.0000000E+000, 1.0159886E+001, 2.0507057E+001, 0.0000000E+000, 7.5033899E-004, 0.0000000E+000
 4.6238068E-001, 2.9692703E+001, 0.0000000E+000,-2.5280136E+000, 4.4192364E-001,-4.2468672E-002,-2.0890152E-003, 0.0000000E+000, 0.0000000E+000, 2.0202250E+001, 2.7562055E+001, 0.0000000E+000, 9.1017764E-004, 0.0000000E+000
 5.7797587E-001, 3.7372016E+001, 0.0000000E+000,-1.4006843E+001, 3.7432390E-001,-7.9389481E-002,-2.5376667E-003, 0.0000000E+000, 0.0000000E+000, 2.6946108E+001, 2.3657570E+001, 0.0000000E+000, 1.0246452E-003, 0.0000000E+000
 6.4346039E-001, 4.7041045E+001, 0.0000000E+000,-1.6140054E+001, 5.0438340E-001,-7.4561709E-002,-2.9143040E-003, 0.0000000E+000, 0.0000000E+000, 2.3193896E+001, 3.1327898E+001, 0.0000000E+000, 1.0728975E-003, 0.0000000E+000
 7.0412719E-001, 4.8748573E+001, 0.0000000E+000,-2.0978041E+001, 4.7013156E-001,-6.9493622E-002,-3.0974551E-003, 0.0000000E+000, 0.0000000E+000, 3.1110978E+001, 2.8168072E+001, 0.0000000E+000, 1.1089036E-003, 0.0000000E+000
 8.1482172E-001, 5.2095092E+001, 0.0000000E+000,-1.9548487E+001, 5.4664425E-001,-6.3615736E-002,-3.2993180E-003, 0.0000000E+000, 0.0000000E+000, 2.9181346E+001, 3.3026334E+001, 0.0000000E+000, 1.1467875E-003, 0.0000000E+000
 9.2063171E-001, 5.8857574E+001, 0.0000000E+000,-2.0213125E+001, 6.5070095E-001,-5.8151046E-002,-3.4249553E-003, 0.0000000E+000, 0.0000000E+000, 3.7391594E+001, 3.9233573E+001, 0.0000000E+000, 1.1793528E-003, 0.0000000E+000
 1.0184821E+000, 5.8566713E+001, 0.0000000E+000,-1.8561392E+001, 6.8165143E-001,-4.7500610E-002,-3.4743858E-003, 0.0000000E+000, 0.0000000E+000, 4.0838973E+001, 4.0635998E+001, 0.0000000E+000, 1.2014510E-003, 0.0000000E+000
 1.1053220E+000, 5.5062461E+001, 0.0000000E+000,-1.5443391E+001, 6.7379509E-001,-4.1373611E-002,-3.4523408E-003, 0.0000000E+000, 0.0000000E+000, 4.0359504E+001, 4.0248039E+001, 0.0000000E+000, 1.2160946E-003, 0.0000000E+000
 1.2074418E+000, 5.5879972E+001, 0.0000000E+000,-1.6670338E+001, 6.5952137E-001,-4.3466134E-002,-3.4233945E-003, 0.0000000E+000, 0.0000000E+000, 3.9963635E+001, 3.9822266E+001, 0.0000000E+000, 1.2265520E-003, 0.0000000E+000
 1.3095617E+000, 5.6873709E+001, 0.0000000E+000,-1.8750742E+001, 6.4165704E-001,-4.7423811E-002,-3.4318088E-003, 0.0000000E+000, 0.0000000E+000, 3.8922519E+001, 3.8713768E+001, 0.0000000E+000, 1.2343652E-003, 0.0000000E+000
 1.4014672E+000, 5.6059290E+001, 0.0000000E+000,-1.7868628E+001, 6.4363771E-001,-4.9861143E-002,-3.4341501E-003, 0.0000000E+000, 0.0000000E+000, 3.8698931E+001, 3.8781004E+001, 0.0000000E+000, 1.2393450E-003, 0.0000000E+000
 1.5086896E+000, 5.6708587E+001, 0.0000000E+000,-1.7278535E+001, 6.6401876E-001,-5.1598979E-002,-3.4497694E-003, 0.0000000E+000, 0.0000000E+000, 3.9725812E+001, 4.0039023E+001, 0.0000000E+000, 1.2428113E-003, 0.0000000E+000
 1.6159120E+000, 5.8206903E+001, 0.0000000E+000,-1.6817504E+001, 6.9642247E-001,-5.2438602E-002,-3.4876051E-003, 0.0000000E+000, 0.0000000E+000, 4.1853547E+001, 4.2029896E+001, 0.0000000E+000, 1.2453137E-003, 0.0000000E+000
 1.7052639E+000, 5.7766332E+001, 0.0000000E+000,-1.6003689E+001, 2.1591909E-001,-5.3087715E-002,-3.5045284E-003, 0.0000000E+000, 0.0000000E+000, 4.2193692E+001, 4.1921970E+001, 0.0000000E+000, 1.2468425E-003, 0.0000000E+000
 1.8124863E+000, 5.6941095E+001, 0.0000000E+000,-1.4809503E+001,-1.6833892E+001,-5.3140938E-002,-3.4993197E-003, 0.0000000E+000, 0.0000000E+000, 2.7741872E+001, 2.5241059E+001, 0.0000000E+000, 1.2478631E-003, 0.0000000E+000
 1.9018382E+000, 5.6516925E+001, 0.0000000E+000,-1.4663366E+001,-3.8444780E+001,-5.3747428E-002,-3.4855830E-003, 0.0000000E+000, 0.0000000E+000, 4.2877986E+000, 3.3515459E+000, 0.0000000E+000, 1.2485607E-003, 0.0000000E+000
 2.0090606E+000, 5.6651772E+001, 0.0000000E+000,-1.5307609E+001,-4.3957602E+001,-5.5594119E-002,-3.4806996E-003, 0.0000000E+000, 0.0000000E+000,-2.5590432E+000,-2.6725137E+000, 0.0000000E+000, 1.2490261E-003, 0.0000000E+000
 2.1162829E+000, 5.6955938E+001, 0.0000000E+000,-1.5639248E+001,-4.1269591E+001,-5.9340526E-002,-3.4850306E-003, 0.0000000E+000, 0.0000000E+000,-1.2994844E-001,-1.5726683E-002, 0.0000000E+000, 1.2493657E-003, 0.0000000E+000
 2.2056348E+000, 5.7164944E+001, 0.0000000E+000,-1.5526878E+001,-4.6433241E+001,-6.4324493E-002,-3.4881975E-003, 0.0000000E+000, 0.0000000E+000,-3.9689561E+000,-4.8629878E+000, 0.0000000E+000, 1.2495728E-003, 0.0000000E+000
 2.3128572E+000, 5.7084876E+001, 0.0000000E+000,-1.5018999E+001,-5.6382320E+001,-8.0896720E-002,-3.4855290E-003, 0.0000000E+000, 0.0000000E+000,-1.3761395E+001,-1.4400825E+001, 0.0000000E+000, 1.2497110E-003, 0.0000000E+000
