s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999962E+001
 4.6238068E-001, 2.0000193E+001
 5.4442483E-001, 2.0000355E+001
 6.1090559E-001, 2.0000517E+001
 6.6594958E-001, 2.0017705E+001
 7.2099358E-001, 2.0034937E+001
 7.7603757E-001, 2.0052243E+001
 8.2359582E-001, 2.0080200E+001
 8.5789776E-001, 2.0100511E+001
 8.9219971E-001, 2.0121004E+001
 9.2650166E-001, 2.0153383E+001
 9.6080360E-001, 2.0186100E+001
 9.9039740E-001, 2.0214657E+001
 1.0199912E+000, 2.0251086E+001
 1.0495850E+000, 2.0288232E+001
 1.0756796E+000, 2.0321724E+001
 1.1017743E+000, 2.0370357E+001
 1.1240451E+000, 2.0412877E+001
 1.1463160E+000, 2.0456552E+001
 1.1685869E+000, 2.0509193E+001
 1.1881974E+000, 2.0556477E+001
 1.2078080E+000, 2.0604583E+001
 1.2274185E+000, 2.0662880E+001
 1.2443028E+000, 2.0711621E+001
 1.2611870E+000, 2.0761968E+001
 1.2780712E+000, 2.0826139E+001
 1.2949554E+000, 2.0896826E+001
 1.3100593E+000, 2.0973293E+001
 1.3251631E+000, 2.1164323E+001
 1.3402669E+000, 2.2023802E+001
 1.3553708E+000, 2.4668534E+001
 1.3704746E+000, 3.1517689E+001
 1.3855785E+000, 4.6432287E+001
 1.4006823E+000, 7.0205394E+001
 1.4157861E+000, 1.0872226E+002
 1.4308900E+000, 1.6820548E+002
 1.4459938E+000, 2.4922703E+002
 1.4610976E+000, 3.2875714E+002
 1.4762015E+000, 3.7782174E+002
 1.4913053E+000, 4.0408716E+002
 1.5041752E+000, 4.1152724E+002
 1.5170450E+000, 4.1283499E+002
 1.5299149E+000, 4.1471639E+002
 1.5427848E+000, 4.2964955E+002
 1.5556546E+000, 4.8545424E+002
 1.5670157E+000, 5.7271497E+002
 1.5783768E+000, 6.5385972E+002
 1.5897379E+000, 7.0476041E+002
 1.6010990E+000, 7.4149704E+002
 1.6124600E+000, 7.5827930E+002
 1.6226572E+000, 7.6441276E+002
 1.6328543E+000, 7.8696320E+002
 1.6501192E+000, 7.8602265E+002
 1.6846490E+000, 6.8332814E+002
 1.7105464E+000, 6.6352417E+002
 1.7450763E+000, 5.4190810E+002
 1.7709736E+000, 3.0843815E+002
 1.8055035E+000, 2.3349366E+002
 1.8314009E+000, 3.3275530E+002
 1.8685204E+000, 4.3446505E+002
 1.8970076E+000, 4.0931130E+002
 1.9254947E+000, 5.0372242E+002
 1.9568305E+000, 7.5181443E+002
 1.9881663E+000, 9.0077927E+002
 2.0195022E+000, 6.4689137E+002
 2.0471617E+000, 4.2938851E+002
 2.0738731E+000, 4.6975904E+002
 2.1069598E+000, 5.9190960E+002
 2.1326020E+000, 6.1535706E+002
 2.1689974E+000, 6.2488958E+002
 2.1962939E+000, 6.1632234E+002
 2.2212074E+000, 5.6789315E+002
 2.2528368E+000, 5.1567257E+002
 2.2844661E+000, 4.9001297E+002
 2.3160954E+000, 4.9655931E+002
 2.3469020E+000, 5.6699527E+002
 2.3752402E+000, 5.7988304E+002
 2.4079708E+000, 4.8772221E+002
 2.4336878E+000, 4.1959925E+002
 2.4679770E+000, 4.1408869E+002
