s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-4.1756311E-003, 0.0000000E+000,-1.4749943E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6514479E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0117803E+001, 0.0000000E+000,-8.1944332E-007, 6.7575078E-001,-1.1901550E-009,-1.9588648E-003, 0.0000000E+000, 0.0000000E+000,-8.2136293E-003, 4.0791594E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1481228E+001, 0.0000000E+000,-8.2065509E-001, 1.3394089E+000,-4.9549435E-002,-6.6824590E-003, 0.0000000E+000, 0.0000000E+000, 4.0390858E+001, 8.1943750E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877065E+002, 0.0000000E+000,-1.6215267E+001, 1.6184869E+000,-1.8065114E-001,-7.4687923E-003, 0.0000000E+000, 0.0000000E+000, 7.9489782E+001, 1.0398575E+002, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.5602759E-001, 1.5240979E+002, 0.0000000E+000,-9.5981016E+001, 8.8824587E-001,-3.0625178E-001,-9.3421241E-003, 0.0000000E+000, 0.0000000E+000, 1.0152324E+002, 5.7001428E+001, 0.0000000E+000, 4.0239382E-003, 0.0000000E+000
 6.1780816E-001, 1.7186564E+002, 0.0000000E+000,-9.0383211E+001, 1.2623962E+000,-2.6654754E-001,-1.0196873E-002, 0.0000000E+000, 0.0000000E+000, 5.6212122E+001, 8.2468077E+001, 0.0000000E+000, 4.2210035E-003, 0.0000000E+000
 7.2907293E-001, 1.4847638E+002, 0.0000000E+000,-9.4945564E+001, 9.0352896E-001,-2.6215559E-001,-1.1333139E-002, 0.0000000E+000, 0.0000000E+000, 6.1245323E+001, 5.4160853E+001, 0.0000000E+000, 4.4265175E-003, 0.0000000E+000
 8.2594413E-001, 1.4600937E+002, 0.0000000E+000,-5.3373489E+001, 1.4971836E+000,-2.2795077E-001,-1.2274733E-002, 0.0000000E+000, 0.0000000E+000, 7.2869772E+001, 9.3892838E+001, 0.0000000E+000, 4.6105946E-003, 0.0000000E+000
 9.0115577E-001, 2.2670633E+002, 0.0000000E+000,-9.5285755E+001, 2.1209294E+000,-2.2652712E-001,-1.2814833E-002, 0.0000000E+000, 0.0000000E+000, 1.1740654E+002, 1.3330216E+002, 0.0000000E+000, 4.7147312E-003, 0.0000000E+000
 1.0144787E+000, 2.5782433E+002, 0.0000000E+000,-1.1593075E+002, 2.3573151E+000,-2.2385860E-001,-1.3159394E-002, 0.0000000E+000, 0.0000000E+000, 1.4300597E+002, 1.4401388E+002, 0.0000000E+000, 4.7980634E-003, 0.0000000E+000
 1.1155498E+000, 2.6283029E+002, 0.0000000E+000,-1.0325797E+002, 2.7107881E+000,-1.9089729E-001,-1.3320399E-002, 0.0000000E+000, 0.0000000E+000, 1.5728683E+002, 1.6207889E+002, 0.0000000E+000, 4.8654565E-003, 0.0000000E+000
 1.2099059E+000, 2.4338385E+002, 0.0000000E+000,-7.7037883E+001, 2.8015486E+000,-1.8636811E-001,-1.2944428E-002, 0.0000000E+000, 0.0000000E+000, 1.6984685E+002, 1.6894821E+002, 0.0000000E+000, 4.9077624E-003, 0.0000000E+000
 1.3042619E+000, 2.3121833E+002, 0.0000000E+000,-7.9499988E+001, 2.5188691E+000,-2.2230563E-001,-1.2935487E-002, 0.0000000E+000, 0.0000000E+000, 1.5693539E+002, 1.5400197E+002, 0.0000000E+000, 4.9365736E-003, 0.0000000E+000
 1.4143440E+000, 2.2214302E+002, 0.0000000E+000,-7.7623432E+001, 2.3805178E+000,-2.2808357E-001,-1.3081850E-002, 0.0000000E+000, 0.0000000E+000, 1.4671066E+002, 1.4665894E+002, 0.0000000E+000, 4.9576796E-003, 0.0000000E+000
 1.5011570E+000, 2.2539952E+002, 0.0000000E+000,-8.0694392E+001, 2.3410186E+000,-2.3061301E-001,-1.2827375E-002, 0.0000000E+000, 0.0000000E+000, 1.4766431E+002, 1.4680271E+002, 0.0000000E+000, 4.9714365E-003, 0.0000000E+000
 1.6000035E+000, 2.1492147E+002, 0.0000000E+000,-7.6043833E+001, 2.2214518E+000,-2.5909281E-001,-1.2719627E-002, 0.0000000E+000, 0.0000000E+000, 1.4141771E+002, 1.4082728E+002, 0.0000000E+000, 4.9801600E-003, 0.0000000E+000
 1.7059656E+000, 2.1422375E+002, 0.0000000E+000,-6.9238283E+001, 1.7574317E+000,-2.8721356E-001,-1.2897617E-002, 0.0000000E+000, 0.0000000E+000, 1.4528267E+002, 1.4644279E+002, 0.0000000E+000, 4.9867597E-003, 0.0000000E+000
 1.8066297E+000, 2.3483314E+002, 0.0000000E+000,-7.2516652E+001,-8.0447903E+001,-2.9677774E-001,-1.3285617E-002, 0.0000000E+000, 0.0000000E+000, 8.8018609E+001, 8.1558522E+001, 0.0000000E+000, 4.9912539E-003, 0.0000000E+000
 1.9115322E+000, 2.4375127E+002, 0.0000000E+000,-7.5106049E+001,-1.7957423E+002,-3.0885374E-001,-1.3439490E-002, 0.0000000E+000, 0.0000000E+000,-9.7246613E+000,-1.1251294E+001, 0.0000000E+000, 4.9942029E-003, 0.0000000E+000
 2.0047789E+000, 2.3664159E+002, 0.0000000E+000,-7.0335610E+001,-1.7770431E+002,-3.6650107E-001,-1.3458268E-002, 0.0000000E+000, 0.0000000E+000,-1.2555159E+001,-1.1778291E+001, 0.0000000E+000, 4.9961049E-003, 0.0000000E+000
 2.1090446E+000, 2.3110296E+002, 0.0000000E+000,-6.6034716E+001,-1.7878736E+002,-4.3107372E-001,-1.3478389E-002, 0.0000000E+000, 0.0000000E+000,-1.2313107E+001,-1.4163669E+001, 0.0000000E+000, 4.9973662E-003, 0.0000000E+000
 2.2030919E+000, 2.2895659E+002, 0.0000000E+000,-6.3694223E+001,-2.0611202E+002,-5.4118605E-001,-1.3449077E-002, 0.0000000E+000, 0.0000000E+000,-4.1014989E+001,-4.1404287E+001, 0.0000000E+000, 4.9982302E-003, 0.0000000E+000
 2.3043661E+000, 2.2793114E+002, 0.0000000E+000,-6.2636040E+001,-1.9800159E+002,-5.6398504E-001,-1.3427922E-002, 0.0000000E+000, 0.0000000E+000,-3.3857771E+001,-3.3283900E+001, 0.0000000E+000, 4.9988033E-003, 0.0000000E+000
