s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-4.3823573E-003, 0.0000000E+000,-1.2682615E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6514412E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0116560E+001, 0.0000000E+000,-8.1899620E-007, 6.7465628E-001,-1.0602941E-009,-1.6269409E-003, 0.0000000E+000, 0.0000000E+000,-8.2152043E-003, 4.0789588E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1478993E+001, 0.0000000E+000,-9.5758350E-001, 1.3269337E+000,-5.2041901E-002,-6.3508698E-003, 0.0000000E+000, 0.0000000E+000, 4.0027110E+001, 8.1789951E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877034E+002, 0.0000000E+000,-2.3630532E+001, 1.4680629E+000,-1.8418158E-001,-6.3491426E-003, 0.0000000E+000, 0.0000000E+000, 7.8731133E+001, 9.6417338E+001, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.4098511E-001, 1.5397749E+002, 0.0000000E+000,-1.0024510E+002, 8.5319095E-001,-2.7251647E-001,-8.9686060E-003, 0.0000000E+000, 0.0000000E+000, 9.3993948E+001, 5.4304098E+001, 0.0000000E+000, 3.9696428E-003, 0.0000000E+000
 6.0004324E-001, 1.5546376E+002, 0.0000000E+000,-8.6085608E+001, 1.0920763E+000,-2.3049391E-001,-9.9293278E-003, 0.0000000E+000, 0.0000000E+000, 5.3657328E+001, 7.0229800E+001, 0.0000000E+000, 4.1684050E-003, 0.0000000E+000
 7.0730603E-001, 1.3986394E+002, 0.0000000E+000,-7.5233211E+001, 1.0493388E+000,-2.1895027E-001,-1.1013125E-002, 0.0000000E+000, 0.0000000E+000, 6.4708896E+001, 6.5450102E+001, 0.0000000E+000, 4.3801818E-003, 0.0000000E+000
 8.0226254E-001, 1.5305834E+002, 0.0000000E+000,-6.1718523E+001, 1.4809615E+000,-2.0656404E-001,-1.2013268E-002, 0.0000000E+000, 0.0000000E+000, 7.6330912E+001, 9.2602204E+001, 0.0000000E+000, 4.5730233E-003, 0.0000000E+000
 9.0458125E-001, 2.3861712E+002, 0.0000000E+000,-9.9796563E+001, 2.2372609E+000,-1.9142336E-001,-1.2570926E-002, 0.0000000E+000, 0.0000000E+000, 1.2240969E+002, 1.4085383E+002, 0.0000000E+000, 4.7005680E-003, 0.0000000E+000
 1.0170668E+000, 2.7510727E+002, 0.0000000E+000,-1.2026480E+002, 2.5841808E+000,-1.8071396E-001,-1.2954799E-002, 0.0000000E+000, 0.0000000E+000, 1.5599441E+002, 1.5723298E+002, 0.0000000E+000, 4.7978709E-003, 0.0000000E+000
 1.1022406E+000, 2.4900000E+002, 0.0000000E+000,-8.9921287E+001, 2.6827523E+000,-1.5892782E-001,-1.2860217E-002, 0.0000000E+000, 0.0000000E+000, 1.6204186E+002, 1.6158968E+002, 0.0000000E+000, 4.8619080E-003, 0.0000000E+000
 1.2038579E+000, 2.3062294E+002, 0.0000000E+000,-7.4357401E+001, 2.5796080E+000,-1.7557039E-001,-1.2525810E-002, 0.0000000E+000, 0.0000000E+000, 1.5839407E+002, 1.5865705E+002, 0.0000000E+000, 4.9038663E-003, 0.0000000E+000
 1.3024821E+000, 2.3033571E+002, 0.0000000E+000,-8.0614672E+001, 2.4418648E+000,-1.8378331E-001,-1.2721484E-002, 0.0000000E+000, 0.0000000E+000, 1.5311077E+002, 1.5196640E+002, 0.0000000E+000, 4.9353290E-003, 0.0000000E+000
 1.4046481E+000, 2.1237488E+002, 0.0000000E+000,-7.0840757E+001, 2.2790435E+000,-1.8099580E-001,-1.2504556E-002, 0.0000000E+000, 0.0000000E+000, 1.4578563E+002, 1.4361967E+002, 0.0000000E+000, 4.9566593E-003, 0.0000000E+000
 1.5119599E+000, 1.9875491E+002, 0.0000000E+000,-6.7467426E+001, 2.0797294E+000,-1.9711172E-001,-1.2392869E-002, 0.0000000E+000, 0.0000000E+000, 1.3336615E+002, 1.3315771E+002, 0.0000000E+000, 4.9713564E-003, 0.0000000E+000
 1.6093006E+000, 2.1813228E+002, 0.0000000E+000,-7.0464093E+001, 2.2983098E+000,-2.0888355E-001,-1.2583800E-002, 0.0000000E+000, 0.0000000E+000, 1.4674811E+002, 1.4974503E+002, 0.0000000E+000, 4.9809409E-003, 0.0000000E+000
 1.7033176E+000, 2.4047604E+002, 0.0000000E+000,-7.3977042E+001,-3.6438967E+001,-2.1552255E-001,-1.2789266E-002, 0.0000000E+000, 0.0000000E+000, 1.3459823E+002, 1.2983172E+002, 0.0000000E+000, 4.9869853E-003, 0.0000000E+000
 1.8015840E+000, 2.4259556E+002, 0.0000000E+000,-7.4464630E+001,-1.4356857E+002,-2.2219383E-001,-1.2900026E-002, 0.0000000E+000, 0.0000000E+000, 2.8223963E+001, 2.4327270E+001, 0.0000000E+000, 4.9911420E-003, 0.0000000E+000
 1.9028150E+000, 2.4245212E+002, 0.0000000E+000,-7.2466716E+001,-1.7378297E+002,-2.2784753E-001,-1.2973525E-002, 0.0000000E+000, 0.0000000E+000,-3.4534671E+000,-4.0383771E+000, 0.0000000E+000, 4.9940272E-003, 0.0000000E+000
 2.0005379E+000, 2.3270588E+002, 0.0000000E+000,-6.6661273E+001,-2.0078548E+002,-2.7190414E-001,-1.3036734E-002, 0.0000000E+000, 0.0000000E+000,-3.2125766E+001,-3.5025814E+001, 0.0000000E+000, 4.9959852E-003, 0.0000000E+000
 2.1011922E+000, 2.2321796E+002, 0.0000000E+000,-6.0625183E+001,-2.1583057E+002,-3.0435780E-001,-1.3101998E-002, 0.0000000E+000, 0.0000000E+000,-5.4811926E+001,-5.3555254E+001, 0.0000000E+000, 4.9973001E-003, 0.0000000E+000
 2.2033126E+000, 2.2218174E+002, 0.0000000E+000,-5.9756311E+001,-1.9234972E+002,-3.2058895E-001,-1.3211989E-002, 0.0000000E+000, 0.0000000E+000,-3.0745118E+001,-3.0258088E+001, 0.0000000E+000, 4.9982043E-003, 0.0000000E+000
 2.3078558E+000, 2.3300044E+002, 0.0000000E+000,-6.2922396E+001,-2.2195240E+002,-3.3854130E-001,-1.3317561E-002, 0.0000000E+000, 0.0000000E+000,-5.1653983E+001,-5.2226209E+001, 0.0000000E+000, 4.9988097E-003, 0.0000000E+000
