s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000002E+001
 4.6238068E-001, 2.0000008E+001
 5.3715917E-001, 2.0000012E+001
 5.9347522E-001, 2.0000018E+001
 6.4602330E-001, 2.0000326E+001
 6.9857138E-001, 2.0000631E+001
 7.4550108E-001, 2.0000902E+001
 7.9243078E-001, 2.0004174E+001
 8.2831786E-001, 2.0006679E+001
 8.5902534E-001, 2.0008826E+001
 8.8590721E-001, 2.0014264E+001
 9.0892894E-001, 2.0018931E+001
 9.3195067E-001, 2.0023609E+001
 9.5497240E-001, 2.0031930E+001
 9.7536642E-001, 2.0039320E+001
 9.9576045E-001, 2.0046734E+001
 1.0128567E+000, 2.0053312E+001
 1.0299530E+000, 2.0059914E+001
 1.0470493E+000, 2.0066540E+001
 1.0615625E+000, 2.0072628E+001
 1.0760757E+000, 2.0078739E+001
 1.0905889E+000, 2.0084876E+001
 1.1051020E+000, 2.0092390E+001
 1.1196152E+000, 2.0099940E+001
 1.1341284E+000, 2.0107526E+001
 1.1486416E+000, 2.0115073E+001
 1.1631547E+000, 2.0122666E+001
 1.1760732E+000, 2.0129467E+001
 1.1889917E+000, 2.0135660E+001
 1.2019102E+000, 2.0141899E+001
 1.2148286E+000, 2.0148190E+001
 1.2277471E+000, 2.0154568E+001
 1.2419574E+000, 2.0161635E+001
 1.2561678E+000, 2.0168720E+001
 1.2703781E+000, 2.0175872E+001
 1.2845884E+000, 2.0182845E+001
 1.2987987E+000, 2.0189651E+001
 1.3130091E+000, 2.0196946E+001
 1.3272194E+000, 2.0204247E+001
 1.3414297E+000, 2.0211677E+001
 1.3536864E+000, 2.0218063E+001
 1.3659431E+000, 2.0224430E+001
 1.3781998E+000, 2.0230766E+001
 1.3904565E+000, 2.0237185E+001
 1.4134659E+000, 2.0248158E+001
 1.4457242E+000, 2.0271784E+001
 1.4779825E+000, 2.0308357E+001
 1.5102408E+000, 2.0346458E+001
 1.5317463E+000, 2.0382244E+001
 1.5640046E+000, 2.0445252E+001
 1.5962629E+000, 2.0610312E+001
 1.6285212E+000, 2.0805730E+001
 1.6500267E+000, 2.0935809E+001
 1.6844355E+000, 2.1057727E+001
 1.7199197E+000, 2.1233713E+001
 1.7421199E+000, 2.1384914E+001
 1.7719197E+000, 2.1493212E+001
 1.8081411E+000, 2.1556041E+001
 1.8353071E+000, 2.1560328E+001
 1.8624731E+000, 2.1518834E+001
 1.8986945E+000, 2.1430890E+001
 1.9258605E+000, 2.1321019E+001
 1.9530265E+000, 2.1221356E+001
 1.9820036E+000, 2.1118836E+001
 2.0118862E+000, 2.1018700E+001
 2.0417688E+000, 2.0928141E+001
 2.0736436E+000, 2.0847164E+001
 2.1065145E+000, 2.0777823E+001
 2.1393854E+000, 2.0722606E+001
 2.1612993E+000, 2.0687172E+001
 2.1941702E+000, 2.0661245E+001
 2.2270411E+000, 2.0639449E+001
 2.2599120E+000, 2.0626088E+001
 2.2818259E+000, 2.0620336E+001
 2.3146968E+000, 2.0618430E+001
 2.3475676E+000, 2.0619343E+001
 2.3804385E+000, 2.0622798E+001
 2.4023524E+000, 2.0626990E+001
 2.4352233E+000, 2.0631967E+001
 2.4680942E+000, 2.0638498E+001
