s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 1.9999992E+001
 3.4678551E-001, 1.9999971E+001
 4.6238068E-001, 2.0000039E+001
 5.5880665E-001, 2.0000091E+001
 6.1891506E-001, 2.0000127E+001
 6.7470167E-001, 2.0003355E+001
 7.3048827E-001, 2.0006605E+001
 7.8627487E-001, 2.0009874E+001
 8.3010060E-001, 2.0015946E+001
 8.6614472E-001, 2.0020981E+001
 8.9714842E-001, 2.0025357E+001
 9.2403405E-001, 2.0037213E+001
 9.5091969E-001, 2.0049155E+001
 9.7406040E-001, 2.0059517E+001
 9.9720111E-001, 2.0072164E+001
 1.0171415E+000, 2.0083178E+001
 1.0370818E+000, 2.0094321E+001
 1.0570221E+000, 2.0109020E+001
 1.0749021E+000, 2.0122352E+001
 1.0927820E+000, 2.0135825E+001
 1.1106620E+000, 2.0150804E+001
 1.1285419E+000, 2.0165951E+001
 1.1464219E+000, 2.0181006E+001
 1.1643018E+000, 2.0197801E+001
 1.1821817E+000, 2.0214945E+001
 1.2000617E+000, 2.0232679E+001
 1.2179416E+000, 2.0251655E+001
 1.2358216E+000, 2.0289835E+001
 1.2537015E+000, 2.1979132E+001
 1.2715815E+000, 3.6432849E+001
 1.2894614E+000, 8.3567458E+001
 1.3055465E+000, 1.3769144E+002
 1.3216316E+000, 1.7600389E+002
 1.3377167E+000, 2.0356128E+002
 1.3538017E+000, 2.3183855E+002
 1.3698868E+000, 2.6323040E+002
 1.3859719E+000, 3.0312449E+002
 1.4020570E+000, 3.4149406E+002
 1.4181421E+000, 3.8869689E+002
 1.4342271E+000, 4.0978715E+002
 1.4481371E+000, 4.1565619E+002
 1.4620471E+000, 3.9922242E+002
 1.4759571E+000, 3.6573575E+002
 1.4898671E+000, 3.3278220E+002
 1.5037772E+000, 3.1643895E+002
 1.5176872E+000, 2.9925839E+002
 1.5315972E+000, 2.8461592E+002
 1.5440557E+000, 2.8266190E+002
 1.5565142E+000, 2.8624407E+002
 1.5689727E+000, 2.8747790E+002
 1.5814312E+000, 2.8604810E+002
 1.5938897E+000, 2.7454097E+002
 1.6312653E+000, 2.1601539E+002
 1.6561823E+000, 1.6917980E+002
 1.6810993E+000, 1.5365308E+002
 1.7184749E+000, 2.4496362E+002
 1.7433919E+000, 4.4151882E+002
 1.7807675E+000, 4.7373114E+002
 1.8069303E+000, 4.2548912E+002
 1.8343391E+000, 3.8640629E+002
 1.8617478E+000, 4.6220011E+002
 1.9028609E+000, 5.5480599E+002
 1.9302697E+000, 5.8178328E+002
 1.9576784E+000, 5.6724099E+002
 1.9850871E+000, 5.4359446E+002
 2.0124959E+000, 5.2088684E+002
 2.0536090E+000, 4.8133297E+002
 2.0810177E+000, 4.6286779E+002
 2.1084264E+000, 4.7976934E+002
 2.1358352E+000, 5.0356088E+002
 2.1632439E+000, 5.0773942E+002
 2.1906526E+000, 4.9404137E+002
 2.2266180E+000, 4.7788604E+002
 2.2505949E+000, 4.7196158E+002
 2.2877592E+000, 4.7329408E+002
 2.3141338E+000, 4.9999356E+002
 2.3405084E+000, 5.5769451E+002
 2.3800703E+000, 5.8480617E+002
 2.4064450E+000, 5.9378561E+002
 2.4328196E+000, 5.9812187E+002
 2.4723815E+000, 5.8826080E+002
