s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3977543E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3977543E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-6.3015317E-007,-2.7454271E-003, 0.0000000E+000,-8.7089778E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6169550E-003, 0.0000000E+000, 7.2690424E-004, 0.0000000E+000
 2.3119034E-001, 2.5675068E+001, 0.0000000E+000,-6.2839926E-007, 4.3236532E-001,-2.4701430E-011,-1.1381562E-003, 0.0000000E+000, 0.0000000E+000,-5.2560048E-003, 2.6106295E+001, 0.0000000E+000, 1.3824721E-003, 0.0000000E+000
 3.4678552E-001, 5.2147053E+001, 0.0000000E+000,-5.4579864E-001, 8.5693951E-001,-3.1642805E-002,-4.2165093E-003, 0.0000000E+000, 0.0000000E+000, 2.5850236E+001, 5.2422335E+001, 0.0000000E+000, 1.9208678E-003, 0.0000000E+000
 4.6238068E-001, 7.6012827E+001, 0.0000000E+000,-1.0192067E+001, 1.0416652E+000,-1.1458012E-001,-4.6970174E-003, 0.0000000E+000, 0.0000000E+000, 5.0894005E+001, 6.6743148E+001, 0.0000000E+000, 2.3300548E-003, 0.0000000E+000
 5.5881137E-001, 9.7294709E+001, 0.0000000E+000,-5.6538900E+001, 6.4596840E-001,-1.9265416E-001,-5.9987411E-003, 0.0000000E+000, 0.0000000E+000, 6.5048447E+001, 4.1203125E+001, 0.0000000E+000, 2.5815694E-003, 0.0000000E+000
 6.1893213E-001, 1.1254645E+002, 0.0000000E+000,-5.2348982E+001, 9.4564864E-001,-1.6683544E-001,-6.8396985E-003, 0.0000000E+000, 0.0000000E+000, 4.0539136E+001, 6.0969439E+001, 0.0000000E+000, 2.7035052E-003, 0.0000000E+000
 7.3053575E-001, 1.0441716E+002, 0.0000000E+000,-5.8257289E+001, 7.7753961E-001,-1.6245658E-001,-7.5091900E-003, 0.0000000E+000, 0.0000000E+000, 4.8850338E+001, 4.6767448E+001, 0.0000000E+000, 2.8348610E-003, 0.0000000E+000
 8.3022666E-001, 1.1171124E+002, 0.0000000E+000,-4.0468220E+001, 1.1615184E+000,-1.3937177E-001,-8.0848501E-003, 0.0000000E+000, 0.0000000E+000, 6.0135983E+001, 7.2257084E+001, 0.0000000E+000, 2.9539129E-003, 0.0000000E+000
 9.2411256E-001, 1.7036080E+002, 0.0000000E+000,-7.2518874E+001, 1.6023749E+000,-1.2921515E-001,-8.3718966E-003, 0.0000000E+000, 0.0000000E+000, 9.2114370E+001, 9.9306717E+001, 0.0000000E+000, 3.0243839E-003, 0.0000000E+000
 1.0172637E+000, 1.6506814E+002, 0.0000000E+000,-6.9254071E+001, 1.6282026E+000,-1.1695682E-001,-8.5619307E-003, 0.0000000E+000, 0.0000000E+000, 9.7395627E+001, 9.7316756E+001, 0.0000000E+000, 3.0761134E-003, 0.0000000E+000
 1.1104364E+000, 1.4652985E+002, 0.0000000E+000,-4.8503867E+001, 1.6608016E+000,-1.0651807E-001,-8.4886877E-003, 0.0000000E+000, 0.0000000E+000, 9.9467030E+001, 9.9571774E+001, 0.0000000E+000, 3.1132660E-003, 0.0000000E+000
 1.2173314E+000, 1.4259308E+002, 0.0000000E+000,-4.9447917E+001, 1.5487113E+000,-1.1771330E-001,-8.3297028E-003, 0.0000000E+000, 0.0000000E+000, 9.5143449E+001, 9.4567829E+001, 0.0000000E+000, 3.1413877E-003, 0.0000000E+000
 1.3064106E+000, 1.4802956E+002, 0.0000000E+000,-5.5737850E+001, 1.5266881E+000,-1.2299102E-001,-8.3852201E-003, 0.0000000E+000, 0.0000000E+000, 9.4157976E+001, 9.3687023E+001, 0.0000000E+000, 3.1603641E-003, 0.0000000E+000
 1.4038427E+000, 1.4289404E+002, 0.0000000E+000,-5.0738902E+001, 1.5188525E+000,-1.2514803E-001,-8.2820795E-003, 0.0000000E+000, 0.0000000E+000, 9.3584023E+001, 9.3540556E+001, 0.0000000E+000, 3.1725412E-003, 0.0000000E+000
 1.5052036E+000, 1.4011845E+002, 0.0000000E+000,-4.9273960E+001, 1.4821872E+000,-1.3369463E-001,-8.2555148E-003, 0.0000000E+000, 0.0000000E+000, 9.2193868E+001, 9.2184727E+001, 0.0000000E+000, 3.1814501E-003, 0.0000000E+000
 1.6066673E+000, 1.5140867E+002, 0.0000000E+000,-5.3978154E+001, 1.5587549E+000,-1.4063979E-001,-8.3906378E-003, 0.0000000E+000, 0.0000000E+000, 9.8261700E+001, 9.8840237E+001, 0.0000000E+000, 3.1875761E-003, 0.0000000E+000
 1.7067369E+000, 1.5492207E+002, 0.0000000E+000,-5.1175881E+001,-3.4248149E+001,-1.4603649E-001,-8.4723320E-003, 0.0000000E+000, 0.0000000E+000, 7.3697224E+001, 6.9343532E+001, 0.0000000E+000, 3.1916899E-003, 0.0000000E+000
 1.8080573E+000, 1.5168732E+002, 0.0000000E+000,-4.7548569E+001,-1.0207297E+002,-1.4997507E-001,-8.4689586E-003, 0.0000000E+000, 0.0000000E+000, 3.7459588E+000, 1.9073439E+000, 0.0000000E+000, 3.1944433E-003, 0.0000000E+000
