s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999970E+001
 4.6238068E-001, 2.0000099E+001
 5.5666927E-001, 2.0000201E+001
 6.2003289E-001, 2.0000292E+001
 6.7681197E-001, 2.0009745E+001
 7.3359104E-001, 2.0019245E+001
 7.9037012E-001, 2.0028794E+001
 8.3565436E-001, 2.0041530E+001
 8.7270580E-001, 2.0052052E+001
 9.0975723E-001, 2.0062684E+001
 9.4680867E-001, 2.0085028E+001
 9.7880778E-001, 2.0104508E+001
 1.0108069E+000, 2.0124234E+001
 1.0383147E+000, 2.0146228E+001
 1.0658224E+000, 2.0168603E+001
 1.0903709E+000, 2.0188942E+001
 1.1149195E+000, 2.0219719E+001
 1.1365522E+000, 2.0247287E+001
 1.1555515E+000, 2.0271826E+001
 1.1721862E+000, 2.0297641E+001
 1.1888209E+000, 2.0323130E+001
 1.2054556E+000, 2.0349005E+001
 1.2220903E+000, 2.0383780E+001
 1.2387250E+000, 2.0420273E+001
 1.2553597E+000, 2.0458848E+001
 1.2719944E+000, 2.0538009E+001
 1.2886291E+000, 2.0791178E+001
 1.3052638E+000, 3.0757682E+001
 1.3218985E+000, 7.3133645E+001
 1.3364275E+000, 1.5056154E+002
 1.3509566E+000, 2.5759764E+002
 1.3654856E+000, 3.2616044E+002
 1.3800146E+000, 3.6960055E+002
 1.3945436E+000, 3.8043724E+002
 1.4090727E+000, 3.7304918E+002
 1.4236017E+000, 3.4778310E+002
 1.4381307E+000, 3.3562477E+002
 1.4526598E+000, 3.2882933E+002
 1.4671888E+000, 3.2356751E+002
 1.4817178E+000, 3.2163945E+002
 1.4962468E+000, 3.3370258E+002
 1.5107759E+000, 3.8543857E+002
 1.5253049E+000, 4.4479805E+002
 1.5383788E+000, 4.9036777E+002
 1.5514528E+000, 5.8384306E+002
 1.5630259E+000, 6.2958370E+002
 1.5745991E+000, 6.5753417E+002
 1.5861722E+000, 6.5099950E+002
 1.5977454E+000, 6.1941204E+002
 1.6093185E+000, 5.7631409E+002
 1.6196576E+000, 5.3647111E+002
 1.6299967E+000, 5.1585272E+002
 1.6506748E+000, 4.8852808E+002
 1.6816921E+000, 4.7280876E+002
 1.7127093E+000, 4.9293708E+002
 1.7437266E+000, 3.8328343E+002
 1.7747438E+000, 2.9689534E+002
 1.8057611E+000, 3.1139361E+002
 1.8367783E+000, 5.1159307E+002
 1.8708973E+000, 6.4745681E+002
 1.8936433E+000, 6.5014691E+002
 1.9277622E+000, 7.0857820E+002
 1.9584341E+000, 8.2287417E+002
 1.9891060E+000, 8.8183340E+002
 2.0197778E+000, 8.8162625E+002
 2.0402258E+000, 8.6771647E+002
 2.0708976E+000, 9.0400892E+002
 2.1015695E+000, 9.2763554E+002
 2.1322414E+000, 8.3328827E+002
 2.1679649E+000, 7.8044302E+002
 2.1947576E+000, 7.8804510E+002
 2.2215503E+000, 7.5886729E+002
 2.2572738E+000, 7.9756501E+002
 2.2840665E+000, 7.8253218E+002
 2.3108591E+000, 7.6814503E+002
 2.3474758E+000, 8.3266488E+002
 2.3769477E+000, 8.3652876E+002
 2.4064197E+000, 8.2897334E+002
 2.4358916E+000, 9.1242423E+002
 2.4653635E+000, 9.5451894E+002
