s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-7.7804909E-003, 0.0000000E+000,-1.7687192E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5500325E-003, 0.0000000E+000, 1.9194815E-003, 0.0000000E+000
 2.3119034E-001, 6.7792482E+001, 0.0000000E+000,-8.1579869E-007, 1.1374420E+000, 1.1594300E-009,-2.2956054E-003, 0.0000000E+000, 0.0000000E+000,-1.3886296E-002, 6.8927628E+001, 0.0000000E+000, 3.6505905E-003, 0.0000000E+000
 3.4678552E-001, 1.3769499E+002, 0.0000000E+000,-2.2642140E+000, 2.2006501E+000,-9.1738536E-002,-9.2267539E-003, 0.0000000E+000, 0.0000000E+000, 6.5824494E+001, 1.3753046E+002, 0.0000000E+000, 5.0722915E-003, 0.0000000E+000
 4.3698058E-001, 1.9920227E+002, 0.0000000E+000,-4.3737132E+001, 2.3619819E+000,-2.8001061E-001,-1.0069959E-002, 0.0000000E+000, 0.0000000E+000, 1.3240547E+002, 1.5753704E+002, 0.0000000E+000, 5.9435703E-003, 0.0000000E+000
 5.1183009E-001, 1.9882211E+002, 0.0000000E+000,-2.0473732E+002, 9.3197674E-002,-4.2405383E-001,-1.3641849E-002, 0.0000000E+000, 0.0000000E+000, 1.5347380E+002,-6.2597037E+000, 0.0000000E+000, 6.5179341E-003, 0.0000000E+000
 6.0491580E-001, 1.9428774E+002, 0.0000000E+000,-1.0989877E+002, 1.3086005E+000,-3.2135524E-001,-1.5415646E-002, 0.0000000E+000, 0.0000000E+000, 5.3246134E+001, 8.5360796E+001, 0.0000000E+000, 6.9419413E-003, 0.0000000E+000
 7.4454439E-001, 2.0857032E+002, 0.0000000E+000,-1.0118999E+002, 1.6928220E+000,-2.9498864E-001,-1.7839159E-002, 0.0000000E+000, 0.0000000E+000, 8.6435546E+001, 1.0876033E+002, 0.0000000E+000, 7.4644874E-003, 0.0000000E+000
 8.2414848E-001, 2.8575688E+002, 0.0000000E+000,-1.2755276E+002, 2.5022242E+000,-2.8190919E-001,-1.9494923E-002, 0.0000000E+000, 0.0000000E+000, 1.4318756E+002, 1.6040495E+002, 0.0000000E+000, 7.7969888E-003, 0.0000000E+000
 9.1067904E-001, 3.7944952E+002, 0.0000000E+000,-1.5467301E+002, 3.5752132E+000,-2.8003886E-001,-2.0300760E-002, 0.0000000E+000, 0.0000000E+000, 1.9168684E+002, 2.2805138E+002, 0.0000000E+000, 7.9664811E-003, 0.0000000E+000
 1.0170995E+000, 4.6059237E+002, 0.0000000E+000,-2.0216500E+002, 4.2559529E+000,-2.5943519E-001,-2.0817569E-002, 0.0000000E+000, 0.0000000E+000, 2.5848240E+002, 2.6240307E+002, 0.0000000E+000, 8.1120338E-003, 0.0000000E+000
 1.1013145E+000, 4.7181096E+002, 0.0000000E+000,-1.7775182E+002, 4.9107085E+000,-2.3476786E-001,-2.0406525E-002, 0.0000000E+000, 0.0000000E+000, 2.9141711E+002, 2.9871467E+002, 0.0000000E+000, 8.2161633E-003, 0.0000000E+000
 1.2057269E+000, 4.2150297E+002, 0.0000000E+000,-1.3900213E+002, 4.6991616E+000,-2.7355024E-001,-2.0134381E-002, 0.0000000E+000, 0.0000000E+000, 2.9113589E+002, 2.8690631E+002, 0.0000000E+000, 8.2873081E-003, 0.0000000E+000
 1.3129469E+000, 3.7661413E+002, 0.0000000E+000,-1.3207646E+002, 3.9902593E+000,-2.8648549E-001,-2.0474024E-002, 0.0000000E+000, 0.0000000E+000, 2.5228266E+002, 2.4822097E+002, 0.0000000E+000, 8.3430820E-003, 0.0000000E+000
 1.4070204E+000, 3.4244767E+002, 0.0000000E+000,-1.2273145E+002, 3.5078050E+000,-2.6673531E-001,-2.0035457E-002, 0.0000000E+000, 0.0000000E+000, 2.2633529E+002, 2.2293725E+002, 0.0000000E+000, 8.3785072E-003, 0.0000000E+000
 1.5053461E+000, 3.2181764E+002, 0.0000000E+000,-1.1409289E+002, 3.2093955E+000,-2.8296671E-001,-1.9698093E-002, 0.0000000E+000, 0.0000000E+000, 2.1153159E+002, 2.1063148E+002, 0.0000000E+000, 8.4009045E-003, 0.0000000E+000
 1.6053441E+000, 3.1966312E+002, 0.0000000E+000,-1.0092288E+002,-1.6463214E+001,-3.0290350E-001,-1.9782411E-002, 0.0000000E+000, 0.0000000E+000, 2.0343370E+002, 2.0195434E+002, 0.0000000E+000, 8.4168805E-003, 0.0000000E+000
 1.7053421E+000, 3.6011916E+002, 0.0000000E+000,-1.0233964E+002,-2.1860612E+002,-3.1759036E-001,-2.0102242E-002, 0.0000000E+000, 0.0000000E+000, 4.4023078E+001, 3.8835718E+001, 0.0000000E+000, 8.4277846E-003, 0.0000000E+000
 1.8074309E+000, 3.8981144E+002, 0.0000000E+000,-1.1104121E+002,-2.7113141E+002,-3.3405168E-001,-2.0502599E-002, 0.0000000E+000, 0.0000000E+000, 3.8014450E+000, 7.2842659E+000, 0.0000000E+000, 8.4351924E-003, 0.0000000E+000
 1.9064288E+000, 4.1557472E+002, 0.0000000E+000,-1.2011040E+002,-2.8926635E+002,-3.4292940E-001,-2.0746430E-002, 0.0000000E+000, 0.0000000E+000, 7.7063851E+000, 5.8342948E+000, 0.0000000E+000, 8.4401132E-003, 0.0000000E+000
 2.0075641E+000, 4.1582699E+002, 0.0000000E+000,-1.2205618E+002,-3.1793500E+002,-3.4785933E-001,-2.0841380E-002, 0.0000000E+000, 0.0000000E+000,-2.1631788E+001,-2.4532883E+001, 0.0000000E+000, 8.4433606E-003, 0.0000000E+000
 2.1031590E+000, 3.9585065E+002, 0.0000000E+000,-1.1264409E+002,-3.4926814E+002,-3.5970689E-001,-2.0862966E-002, 0.0000000E+000, 0.0000000E+000,-6.6780905E+001,-6.6442153E+001, 0.0000000E+000, 8.4455099E-003, 0.0000000E+000
 2.2088914E+000, 3.9114448E+002, 0.0000000E+000,-1.0998752E+002,-3.2322449E+002,-3.5771920E-001,-2.0880913E-002, 0.0000000E+000, 0.0000000E+000,-4.2622653E+001,-4.2446126E+001, 0.0000000E+000, 8.4469940E-003, 0.0000000E+000
 2.3068492E+000, 3.8736395E+002, 0.0000000E+000,-1.0573675E+002,-3.4998240E+002,-3.6218185E-001,-2.0922109E-002, 0.0000000E+000, 0.0000000E+000,-6.6397233E+001,-6.8738299E+001, 0.0000000E+000, 8.4480026E-003, 0.0000000E+000
