s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000008E+001
 3.4678551E-001, 1.9999955E+001
 4.6238068E-001, 2.0000247E+001
 5.3443153E-001, 2.0000429E+001
 6.0004475E-001, 2.0000629E+001
 6.5334820E-001, 2.0018897E+001
 7.0665165E-001, 2.0037211E+001
 7.5995511E-001, 2.0055614E+001
 8.0504276E-001, 2.0083445E+001
 8.4208286E-001, 2.0106482E+001
 8.7912295E-001, 2.0129759E+001
 9.1616305E-001, 2.0166531E+001
 9.4601647E-001, 2.0196494E+001
 9.7586988E-001, 2.0226859E+001
 1.0057233E+000, 2.0266115E+001
 1.0322278E+000, 2.0301657E+001
 1.0587322E+000, 2.0338025E+001
 1.0824889E+000, 2.0384573E+001
 1.1034287E+000, 2.0426597E+001
 1.1243685E+000, 2.0469665E+001
 1.1453083E+000, 2.0521251E+001
 1.1662482E+000, 2.0573987E+001
 1.1843071E+000, 2.0620119E+001
 1.2023661E+000, 2.0676927E+001
 1.2204250E+000, 2.0732802E+001
 1.2384840E+000, 2.0788760E+001
 1.2565430E+000, 2.0860447E+001
 1.2727352E+000, 2.0929472E+001
 1.2889275E+000, 2.1006946E+001
 1.3051198E+000, 2.1120355E+001
 1.3213120E+000, 2.1591477E+001
 1.3357725E+000, 2.3034079E+001
 1.3502330E+000, 2.6873056E+001
 1.3646934E+000, 3.5376181E+001
 1.3791539E+000, 5.0909952E+001
 1.3936144E+000, 7.3682248E+001
 1.4080748E+000, 1.0538557E+002
 1.4225353E+000, 1.4911784E+002
 1.4369958E+000, 2.0482530E+002
 1.4514562E+000, 2.7067684E+002
 1.4643880E+000, 3.3021206E+002
 1.4773197E+000, 3.8083216E+002
 1.4902515E+000, 4.1505245E+002
 1.5031832E+000, 4.3614612E+002
 1.5161150E+000, 4.5071301E+002
 1.5290467E+000, 5.1329461E+002
 1.5419785E+000, 5.9407078E+002
 1.5527206E+000, 6.9910227E+002
 1.5634627E+000, 7.7052978E+002
 1.5742049E+000, 7.6575775E+002
 1.5849470E+000, 7.5864864E+002
 1.5956891E+000, 7.5687190E+002
 1.6253889E+000, 7.8731091E+002
 1.6538254E+000, 8.6584920E+002
 1.6822619E+000, 7.5636580E+002
 1.7165124E+000, 4.9679520E+002
 1.7412840E+000, 2.5596788E+002
 1.7743128E+000, 1.9895181E+002
 1.8007359E+000, 1.7939064E+002
 1.8388842E+000, 2.5412070E+002
 1.8688579E+000, 4.1845179E+002
 1.8988315E+000, 6.0668046E+002
 1.9288052E+000, 8.1010117E+002
 1.9587788E+000, 8.8463127E+002
 1.9887525E+000, 6.4493067E+002
 2.0165100E+000, 3.9403548E+002
 2.0431593E+000, 4.5718346E+002
 2.0742351E+000, 7.1807178E+002
 2.1053108E+000, 6.6051085E+002
 2.1301713E+000, 4.5032590E+002
 2.1643546E+000, 4.7040542E+002
 2.1985379E+000, 5.2955169E+002
 2.2210486E+000, 4.4102483E+002
 2.2510628E+000, 4.1987290E+002
 2.2854353E+000, 4.8244326E+002
 2.3150900E+000, 5.4881413E+002
 2.3447447E+000, 6.0293415E+002
 2.3766235E+000, 6.2051302E+002
 2.4010886E+000, 5.9052861E+002
 2.4337088E+000, 5.8429872E+002
 2.4663289E+000, 6.0455452E+002
