s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.7800621E-007,-6.8035546E-003, 0.0000000E+000,-1.9994558E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8039884E-003, 0.0000000E+000, 1.3084276E-003, 0.0000000E+000
 2.3119034E-001, 4.4644641E+001, 0.0000000E+000,-9.7525274E-007, 7.4894315E-001, 9.1066264E-010,-2.8764206E-003, 0.0000000E+000, 0.0000000E+000,-1.2875357E-002, 4.5390707E+001, 0.0000000E+000, 2.4884498E-003, 0.0000000E+000
 3.4678552E-001, 9.0116153E+001, 0.0000000E+000,-8.1101282E-001, 1.4847874E+000,-5.1534004E-002,-7.8165983E-003, 0.0000000E+000, 0.0000000E+000, 4.5118181E+001, 9.0730577E+001, 0.0000000E+000, 3.4575620E-003, 0.0000000E+000
 4.6238068E-001, 1.3131821E+002, 0.0000000E+000,-1.1584122E+001, 1.9149970E+000,-1.9204165E-001,-9.2689503E-003, 0.0000000E+000, 0.0000000E+000, 8.8800310E+001, 1.2144778E+002, 0.0000000E+000, 4.1940986E-003, 0.0000000E+000
 5.7797587E-001, 1.6528572E+002, 0.0000000E+000,-1.0741043E+002, 9.0374831E-001,-3.7928233E-001,-1.0969448E-002, 0.0000000E+000, 0.0000000E+000, 1.1812717E+002, 5.8388782E+001, 0.0000000E+000, 4.7215652E-003, 0.0000000E+000
 6.4150947E-001, 2.0875877E+002, 0.0000000E+000,-1.0972984E+002, 1.5216971E+000,-3.3978714E-001,-1.1760698E-002, 0.0000000E+000, 0.0000000E+000, 5.7501215E+001, 1.0019908E+002, 0.0000000E+000, 4.9379742E-003, 0.0000000E+000
 7.0282024E-001, 2.0626805E+002, 0.0000000E+000,-1.8074512E+002, 5.1959393E-001,-3.5060593E-001,-1.2748676E-002, 0.0000000E+000, 0.0000000E+000, 9.9218415E+001, 2.5679168E+001, 0.0000000E+000, 5.1066132E-003, 0.0000000E+000
 8.2544178E-001, 1.6953853E+002, 0.0000000E+000,-8.2240228E+001, 1.3899008E+000,-3.0801746E-001,-1.3580778E-002, 0.0000000E+000, 0.0000000E+000, 4.1369943E+001, 8.8366602E+001, 0.0000000E+000, 5.2966238E-003, 0.0000000E+000
 9.1164607E-001, 2.0090679E+002, 0.0000000E+000,-1.0042406E+002, 1.6554254E+000,-3.0162667E-001,-1.4334870E-002, 0.0000000E+000, 0.0000000E+000, 1.0635887E+002, 1.0182219E+002, 0.0000000E+000, 5.4404744E-003, 0.0000000E+000
 1.0274675E+000, 2.2481257E+002, 0.0000000E+000,-1.0538866E+002, 1.9704812E+000,-3.0971335E-001,-1.5022207E-002, 0.0000000E+000, 0.0000000E+000, 1.1367775E+002, 1.2106965E+002, 0.0000000E+000, 5.5419074E-003, 0.0000000E+000
 1.1215070E+000, 2.8695262E+002, 0.0000000E+000,-1.3084749E+002, 2.5942520E+000,-2.9138002E-001,-1.4979166E-002, 0.0000000E+000, 0.0000000E+000, 1.4653299E+002, 1.5839302E+002, 0.0000000E+000, 5.6141138E-003, 0.0000000E+000
 1.2104913E+000, 3.1376138E+002, 0.0000000E+000,-1.3872164E+002, 2.9757201E+000,-2.5615708E-001,-1.5259003E-002, 0.0000000E+000, 0.0000000E+000, 1.7335964E+002, 1.7774405E+002, 0.0000000E+000, 5.6566253E-003, 0.0000000E+000
 1.3008534E+000, 2.8606114E+002, 0.0000000E+000,-1.1152281E+002, 2.9558242E+000,-2.3543165E-001,-1.5086036E-002, 0.0000000E+000, 0.0000000E+000, 1.7956299E+002, 1.7724364E+002, 0.0000000E+000, 5.6869025E-003, 0.0000000E+000
 1.4137522E+000, 2.5428329E+002, 0.0000000E+000,-9.7495908E+001, 2.6103869E+000,-2.8715800E-001,-1.5020527E-002, 0.0000000E+000, 0.0000000E+000, 1.6204190E+002, 1.5909559E+002, 0.0000000E+000, 5.7108765E-003, 0.0000000E+000
 1.5105226E+000, 2.5311331E+002, 0.0000000E+000,-1.0585129E+002, 2.4109462E+000,-3.1508563E-001,-1.5187171E-002, 0.0000000E+000, 0.0000000E+000, 1.4960940E+002, 1.4934269E+002, 0.0000000E+000, 5.7277262E-003, 0.0000000E+000
 1.6072931E+000, 2.5990907E+002, 0.0000000E+000,-1.1485380E+002, 2.3615141E+000,-3.0668936E-001,-1.5092661E-002, 0.0000000E+000, 0.0000000E+000, 1.4787831E+002, 1.4709500E+002, 0.0000000E+000, 5.7380650E-003, 0.0000000E+000
 1.7040743E+000, 2.5062154E+002, 0.0000000E+000,-1.1415057E+002, 2.1547120E+000,-3.0323736E-001,-1.4924904E-002, 0.0000000E+000, 0.0000000E+000, 1.4012713E+002, 1.3830752E+002, 0.0000000E+000, 5.7450312E-003, 0.0000000E+000
 1.8002845E+000, 2.3675026E+002, 0.0000000E+000,-1.0367488E+002,-9.8396712E+000,-3.2291126E-001,-1.4898361E-002, 0.0000000E+000, 0.0000000E+000, 1.2533887E+002, 1.2289791E+002, 0.0000000E+000, 5.7497811E-003, 0.0000000E+000
 1.9085211E+000, 2.3324293E+002, 0.0000000E+000,-9.3281900E+001,-1.1259822E+002,-3.4896920E-001,-1.5148033E-002, 0.0000000E+000, 0.0000000E+000, 3.2888329E+001, 2.6998690E+001, 0.0000000E+000, 5.7531976E-003, 0.0000000E+000
 2.0083392E+000, 2.4281083E+002, 0.0000000E+000,-8.9635024E+001,-1.8083494E+002,-3.5687433E-001,-1.5416493E-002, 0.0000000E+000, 0.0000000E+000,-2.9674619E+001,-2.8031425E+001, 0.0000000E+000, 5.7555212E-003, 0.0000000E+000
 2.1009417E+000, 2.6759189E+002, 0.0000000E+000,-9.9322936E+001,-1.6650969E+002,-3.5115148E-001,-1.5548078E-002, 0.0000000E+000, 0.0000000E+000,-2.6419228E+000, 1.3925716E+000, 0.0000000E+000, 5.7569591E-003, 0.0000000E+000
 2.2037270E+000, 2.8330784E+002, 0.0000000E+000,-1.1097004E+002,-1.4933416E+002,-3.4583658E-001,-1.5580163E-002, 0.0000000E+000, 0.0000000E+000, 2.3635356E+001, 2.2642226E+001, 0.0000000E+000, 5.7579386E-003, 0.0000000E+000
 2.3090816E+000, 2.6783556E+002, 0.0000000E+000,-1.0341888E+002,-1.6026085E+002,-3.4826768E-001,-1.5562719E-002, 0.0000000E+000, 0.0000000E+000, 6.3837964E+000, 3.7920001E+000, 0.0000000E+000, 5.7586366E-003, 0.0000000E+000
 2.4027297E+000, 2.5296979E+002, 0.0000000E+000,-9.5433092E+001,-1.9688911E+002,-3.5658187E-001,-1.5534584E-002, 0.0000000E+000, 0.0000000E+000,-3.7717559E+001,-3.9724526E+001, 0.0000000E+000, 5.7590856E-003, 0.0000000E+000
 2.5080841E+000, 2.4978887E+002, 0.0000000E+000,-9.2633648E+001,-2.1377867E+002,-3.6872558E-001,-1.5542456E-002, 0.0000000E+000, 0.0000000E+000,-5.6861571E+001,-5.7007719E+001, 0.0000000E+000, 5.7593849E-003, 0.0000000E+000
 2.6017325E+000, 2.5358641E+002, 0.0000000E+000,-9.3690646E+001,-2.0174482E+002,-3.8514007E-001,-1.5552243E-002, 0.0000000E+000, 0.0000000E+000,-4.3745679E+001,-4.2249748E+001, 0.0000000E+000, 5.7595875E-003, 0.0000000E+000
 2.7070868E+000, 2.5541046E+002, 0.0000000E+000,-9.3041335E+001,-1.8344534E+002,-4.3217594E-001,-1.5528875E-002, 0.0000000E+000, 0.0000000E+000,-2.2820967E+001,-2.1523923E+001, 0.0000000E+000, 5.7597225E-003, 0.0000000E+000
