s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 1.9999992E+001
 3.4678551E-001, 1.9999970E+001
 4.6238068E-001, 2.0000056E+001
 5.5630799E-001, 2.0000121E+001
 6.1425596E-001, 2.0000162E+001
 6.6882564E-001, 2.0003331E+001
 7.2339531E-001, 2.0006515E+001
 7.7796499E-001, 2.0009717E+001
 8.2196539E-001, 2.0016177E+001
 8.5222045E-001, 2.0020651E+001
 8.8247550E-001, 2.0025163E+001
 9.0926922E-001, 2.0036071E+001
 9.3154861E-001, 2.0045199E+001
 9.5382801E-001, 2.0054390E+001
 9.7610740E-001, 2.0065525E+001
 9.9537342E-001, 2.0075252E+001
 1.0146394E+000, 2.0085090E+001
 1.0339054E+000, 2.0097919E+001
 1.0531715E+000, 2.0110912E+001
 1.0698594E+000, 2.0122291E+001
 1.0865473E+000, 2.0134633E+001
 1.1032352E+000, 2.0147116E+001
 1.1199232E+000, 2.0159575E+001
 1.1366111E+000, 2.0172751E+001
 1.1532990E+000, 2.0186184E+001
 1.1699869E+000, 2.0200065E+001
 1.1866749E+000, 2.0214566E+001
 1.2033628E+000, 2.0243374E+001
 1.2200507E+000, 2.0399160E+001
 1.2367387E+000, 3.1806720E+001
 1.2534266E+000, 7.1117321E+001
 1.2701145E+000, 1.3473457E+002
 1.2868024E+000, 1.8690297E+002
 1.3017235E+000, 2.2446944E+002
 1.3166445E+000, 2.5859135E+002
 1.3315655E+000, 3.0024517E+002
 1.3464865E+000, 3.4283746E+002
 1.3614075E+000, 3.8158402E+002
 1.3763285E+000, 4.2794180E+002
 1.3912495E+000, 4.6031670E+002
 1.4044140E+000, 4.6458271E+002
 1.4175785E+000, 4.5373390E+002
 1.4307430E+000, 4.2738167E+002
 1.4439075E+000, 3.9020323E+002
 1.4570720E+000, 3.7124029E+002
 1.4685661E+000, 3.5540148E+002
 1.4800601E+000, 3.3947661E+002
 1.4915542E+000, 3.2879313E+002
 1.5030483E+000, 3.3262614E+002
 1.5375305E+000, 3.4746051E+002
 1.5605187E+000, 3.2081365E+002
 1.5950009E+000, 2.4688529E+002
 1.6294831E+000, 2.0660216E+002
 1.6524713E+000, 2.6908677E+002
 1.6869535E+000, 4.9728435E+002
 1.7214357E+000, 5.5611939E+002
 1.7444239E+000, 4.9298807E+002
 1.7789061E+000, 4.5787121E+002
 1.8018942E+000, 5.5472921E+002
 1.8363765E+000, 6.3496563E+002
 1.8708587E+000, 6.4901952E+002
 1.8938468E+000, 6.5110844E+002
 1.9283291E+000, 6.2082125E+002
 1.9513172E+000, 5.8012281E+002
 1.9869489E+000, 5.3700015E+002
 2.0122358E+000, 5.0327623E+002
 2.0501663E+000, 4.8034859E+002
 2.0724259E+000, 4.9403085E+002
 2.1058154E+000, 5.4288816E+002
 2.1356016E+000, 5.7310070E+002
 2.1663806E+000, 5.7193752E+002
 2.2013298E+000, 5.6576131E+002
 2.2253573E+000, 5.7219153E+002
 2.2517876E+000, 5.8041010E+002
 2.2914330E+000, 5.9556496E+002
 2.3178632E+000, 6.2310491E+002
 2.3442935E+000, 6.4092720E+002
 2.3707238E+000, 6.6694433E+002
 2.4103692E+000, 7.0448910E+002
 2.4367995E+000, 7.2355253E+002
 2.4632298E+000, 7.1171088E+002
