s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2225254E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2225254E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-5.8647337E-007,-2.7817166E-004, 0.0000000E+000,-1.0230600E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3018181E-003, 0.0000000E+000, 6.5421382E-004, 0.0000000E+000
 2.3119034E-001, 2.5205594E+001, 0.0000000E+000,-5.8275821E-007, 4.2817848E-001, 5.1057391E-010,-1.2959450E-003, 0.0000000E+000, 0.0000000E+000,-1.9057172E-003, 2.5632476E+001, 0.0000000E+000, 1.2442249E-003, 0.0000000E+000
 3.4678552E-001, 5.1248140E+001, 0.0000000E+000,-6.4525882E-001, 8.5128275E-001,-3.1195322E-002,-6.5748874E-003, 0.0000000E+000, 0.0000000E+000, 2.5470993E+001, 5.1416394E+001, 0.0000000E+000, 1.7287810E-003, 0.0000000E+000
 4.6238068E-001, 7.4666353E+001, 0.0000000E+000,-1.0299466E+001, 1.0380758E+000,-1.1363193E-001,-7.3985139E-003, 0.0000000E+000, 0.0000000E+000, 5.0270232E+001, 6.5283932E+001, 0.0000000E+000, 2.0970493E-003, 0.0000000E+000
 5.5630797E-001, 9.5762102E+001, 0.0000000E+000,-4.5177518E+001, 8.0092116E-001,-1.9000779E-001,-9.9129679E-003, 0.0000000E+000, 0.0000000E+000, 6.4162317E+001, 5.1185584E+001, 0.0000000E+000, 2.3183573E-003, 0.0000000E+000
 6.1425596E-001, 1.1057819E+002, 0.0000000E+000,-5.2674749E+001, 9.2663179E-001,-1.7884980E-001,-1.1504046E-002, 0.0000000E+000, 0.0000000E+000, 5.0599255E+001, 5.8639717E+001, 0.0000000E+000, 2.4253838E-003, 0.0000000E+000
 7.2339529E-001, 1.0307361E+002, 0.0000000E+000,-5.2287956E+001, 8.5115158E-001,-1.6767521E-001,-1.2702457E-002, 0.0000000E+000, 0.0000000E+000, 5.1822787E+001, 5.1456429E+001, 0.0000000E+000, 2.5432753E-003, 0.0000000E+000
 8.2196540E-001, 1.0794445E+002, 0.0000000E+000,-3.7254838E+001, 1.1709032E+000,-1.4715074E-001,-1.3758156E-002, 0.0000000E+000, 0.0000000E+000, 5.7646647E+001, 7.1699608E+001, 0.0000000E+000, 2.6515537E-003, 0.0000000E+000
 9.0926921E-001, 1.6730252E+002, 0.0000000E+000,-6.0661295E+001, 1.7326752E+000,-1.3227449E-001,-1.4125647E-002, 0.0000000E+000, 0.0000000E+000, 1.0061913E+002, 1.0822750E+002, 0.0000000E+000, 2.7139003E-003, 0.0000000E+000
 1.0146394E+000, 1.6164369E+002, 0.0000000E+000,-5.7557957E+001, 1.7631518E+000,-1.1954924E-001,-1.4481186E-002, 0.0000000E+000, 0.0000000E+000, 1.0638818E+002, 1.0571485E+002, 0.0000000E+000, 2.7638732E-003, 0.0000000E+000
 1.1032352E+000, 1.4130929E+002, 0.0000000E+000,-3.6549744E+001, 1.7745097E+000,-1.0942494E-001,-1.4295099E-002, 0.0000000E+000, 0.0000000E+000, 1.0646771E+002, 1.0641034E+002, 0.0000000E+000, 2.8003173E-003, 0.0000000E+000
 1.2033628E+000, 1.4140316E+002, 0.0000000E+000,-3.8145919E+001, 1.7106652E+000,-1.2281602E-001,-1.4016973E-002, 0.0000000E+000, 0.0000000E+000, 1.0480429E+002, 1.0483107E+002, 0.0000000E+000, 2.8249150E-003, 0.0000000E+000
 1.3017235E+000, 1.4733195E+002, 0.0000000E+000,-4.3491062E+001, 1.7153119E+000,-1.2820066E-001,-1.4100888E-002, 0.0000000E+000, 0.0000000E+000, 1.0567208E+002, 1.0541390E+002, 0.0000000E+000, 2.8428373E-003, 0.0000000E+000
 1.4044141E+000, 1.3834764E+002, 0.0000000E+000,-3.5837424E+001, 1.6966105E+000,-1.3256657E-001,-1.3790040E-002, 0.0000000E+000, 0.0000000E+000, 1.0440764E+002, 1.0406047E+002, 0.0000000E+000, 2.8549865E-003, 0.0000000E+000
 1.5030483E+000, 1.4176099E+002, 0.0000000E+000,-3.6663861E+001, 1.7178226E+000,-1.4257271E-001,-1.3798514E-002, 0.0000000E+000, 0.0000000E+000, 1.0628794E+002, 1.0665858E+002, 0.0000000E+000, 2.8631854E-003, 0.0000000E+000
 1.6064950E+000, 1.5237173E+002, 0.0000000E+000,-3.8622631E+001,-5.2979095E+000,-1.4806029E-001,-1.4096638E-002, 0.0000000E+000, 0.0000000E+000, 1.0989299E+002, 1.0828903E+002, 0.0000000E+000, 2.8687354E-003, 0.0000000E+000
 1.7099416E+000, 1.5121977E+002, 0.0000000E+000,-3.4272123E+001,-9.1847919E+001,-1.5145998E-001,-1.4233036E-002, 0.0000000E+000, 0.0000000E+000, 2.9533206E+001, 2.4934038E+001, 0.0000000E+000, 2.8725475E-003, 0.0000000E+000
 1.8018943E+000, 1.4504863E+002, 0.0000000E+000,-3.1962098E+001,-1.2044258E+002,-1.6014399E-001,-1.4208035E-002, 0.0000000E+000, 0.0000000E+000,-8.0600576E+000,-7.5303990E+000, 0.0000000E+000, 2.8749636E-003, 0.0000000E+000
 1.9053409E+000, 1.4142048E+002, 0.0000000E+000,-2.8561810E+001,-1.1986058E+002,-1.6264400E-001,-1.4128993E-002, 0.0000000E+000, 0.0000000E+000,-5.6772313E+000,-7.1786827E+000, 0.0000000E+000, 2.8765867E-003, 0.0000000E+000
 2.0122359E+000, 1.3905936E+002, 0.0000000E+000,-2.7858850E+001,-1.4339338E+002,-1.6948814E-001,-1.4178893E-002, 0.0000000E+000, 0.0000000E+000,-3.1871435E+001,-3.2376535E+001, 0.0000000E+000, 2.8777589E-003, 0.0000000E+000
 2.1058154E+000, 1.4017901E+002, 0.0000000E+000,-2.7909806E+001,-1.4410632E+002,-1.9199864E-001,-1.4403715E-002, 0.0000000E+000, 0.0000000E+000,-3.1012912E+001,-3.2043522E+001, 0.0000000E+000, 2.8785015E-003, 0.0000000E+000
 2.2013297E+000, 1.4400981E+002, 0.0000000E+000,-2.8410962E+001,-1.7356680E+002,-2.6314861E-001,-1.4654989E-002, 0.0000000E+000, 0.0000000E+000,-5.8869898E+001,-5.8245754E+001, 0.0000000E+000, 2.8789705E-003, 0.0000000E+000
 2.3046482E+000, 1.4477692E+002, 0.0000000E+000,-2.8704423E+001,-1.4473203E+002,-3.4811454E-001,-1.4821681E-002, 0.0000000E+000, 0.0000000E+000,-3.0929707E+001,-2.9022472E+001, 0.0000000E+000, 2.8793108E-003, 0.0000000E+000
