s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999970E+001
 4.6238068E-001, 2.0000132E+001
 5.5301382E-001, 2.0000256E+001
 6.1355559E-001, 2.0000352E+001
 6.6915755E-001, 2.0010172E+001
 7.2475950E-001, 2.0020033E+001
 7.8036145E-001, 2.0029949E+001
 8.2643136E-001, 2.0043245E+001
 8.6102479E-001, 2.0053319E+001
 8.9561822E-001, 2.0063502E+001
 9.3021165E-001, 2.0082308E+001
 9.6480507E-001, 2.0101306E+001
 9.9407852E-001, 2.0117606E+001
 1.0202733E+000, 2.0136599E+001
 1.0464681E+000, 2.0155944E+001
 1.0726628E+000, 2.0175685E+001
 1.0931537E+000, 2.0198821E+001
 1.1136445E+000, 2.0222316E+001
 1.1305387E+000, 2.0241935E+001
 1.1474329E+000, 2.0264694E+001
 1.1643271E+000, 2.0287412E+001
 1.1812213E+000, 2.0310576E+001
 1.1955707E+000, 2.0337217E+001
 1.2099201E+000, 2.0365162E+001
 1.2242695E+000, 2.0395406E+001
 1.2386189E+000, 2.0472798E+001
 1.2529683E+000, 2.0733868E+001
 1.2673177E+000, 3.0254860E+001
 1.2816671E+000, 6.6768509E+001
 1.2960165E+000, 1.5662950E+002
 1.3103659E+000, 2.9004584E+002
 1.3247153E+000, 3.6219053E+002
 1.3390647E+000, 4.1291903E+002
 1.3534141E+000, 4.2582551E+002
 1.3677635E+000, 4.0205020E+002
 1.3821129E+000, 3.7276042E+002
 1.3964623E+000, 3.5939671E+002
 1.4108117E+000, 3.5182903E+002
 1.4251611E+000, 3.4625840E+002
 1.4395105E+000, 3.4263802E+002
 1.4517796E+000, 3.4011349E+002
 1.4640487E+000, 3.3821690E+002
 1.4763178E+000, 3.6153803E+002
 1.4885869E+000, 4.1964624E+002
 1.5008560E+000, 5.0013440E+002
 1.5131251E+000, 6.3319494E+002
 1.5237747E+000, 7.2714466E+002
 1.5344243E+000, 7.7509518E+002
 1.5450738E+000, 7.9011699E+002
 1.5663730E+000, 7.3834892E+002
 1.5947922E+000, 6.0130946E+002
 1.6232115E+000, 4.9363808E+002
 1.6516307E+000, 5.4804511E+002
 1.6800500E+000, 5.1791256E+002
 1.7179423E+000, 3.5756584E+002
 1.7463616E+000, 2.8697717E+002
 1.7747808E+000, 5.2770741E+002
 1.8060420E+000, 6.9253694E+002
 1.8373032E+000, 6.9250866E+002
 1.8685643E+000, 8.7531767E+002
 1.8998255E+000, 1.0406912E+003
 1.9206663E+000, 1.0993853E+003
 1.9566178E+000, 1.1050146E+003
 1.9835814E+000, 1.0219302E+003
 2.0105451E+000, 1.0665971E+003
 2.0454911E+000, 1.1096832E+003
 2.0774207E+000, 8.5746794E+002
 2.1013679E+000, 9.0686454E+002
 2.1308849E+000, 9.0255741E+002
 2.1610334E+000, 8.5587092E+002
 2.1926175E+000, 9.2700808E+002
 2.2265704E+000, 9.3909714E+002
 2.2526273E+000, 9.7062220E+002
 2.2873698E+000, 9.8972541E+002
 2.3134267E+000, 1.0153475E+003
 2.3481692E+000, 1.1053607E+003
 2.3742261E+000, 1.1444872E+003
 2.4002830E+000, 1.1851700E+003
 2.4350255E+000, 1.2270292E+003
 2.4610824E+000, 1.2281663E+003
