s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.7800621E-007,-4.7798916E-004, 0.0000000E+000,-2.4500402E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9290074E-003, 0.0000000E+000, 1.4719811E-003, 0.0000000E+000
 2.3119034E-001, 5.6711705E+001, 0.0000000E+000,-9.5997250E-007, 9.6345728E-001, 6.2610182E-010,-3.0504249E-003, 0.0000000E+000, 0.0000000E+000,-4.3254539E-003, 5.7672111E+001, 0.0000000E+000, 2.7995061E-003, 0.0000000E+000
 3.4678552E-001, 1.1530357E+002, 0.0000000E+000,-1.3707764E+000, 1.9166615E+000,-7.0372701E-002,-1.5183088E-002, 0.0000000E+000, 0.0000000E+000, 5.7305639E+001, 1.1576390E+002, 0.0000000E+000, 3.8897573E-003, 0.0000000E+000
 4.6238068E-001, 1.6799656E+002, 0.0000000E+000,-2.3945017E+001, 2.3149196E+000,-2.6004108E-001,-1.6627635E-002, 0.0000000E+000, 0.0000000E+000, 1.1306333E+002, 1.4608979E+002, 0.0000000E+000, 4.7183609E-003, 0.0000000E+000
 5.5301380E-001, 2.1611915E+002, 0.0000000E+000,-1.1284156E+002, 1.6076071E+000,-4.4225096E-001,-2.1773512E-002, 0.0000000E+000, 0.0000000E+000, 1.4387487E+002, 1.0442118E+002, 0.0000000E+000, 5.2011962E-003, 0.0000000E+000
 6.1355561E-001, 2.3981991E+002, 0.0000000E+000,-1.4504434E+002, 1.4944603E+000,-4.3382396E-001,-2.3301805E-002, 0.0000000E+000, 0.0000000E+000, 1.0356469E+002, 9.5812912E+001, 0.0000000E+000, 5.4544710E-003, 0.0000000E+000
 7.2475952E-001, 1.9480241E+002, 0.0000000E+000,-1.2574871E+002, 1.1586892E+000,-4.0536451E-001,-2.6352701E-002, 0.0000000E+000, 0.0000000E+000, 7.6617230E+001, 6.9780667E+001, 0.0000000E+000, 5.7246416E-003, 0.0000000E+000
 8.2643133E-001, 1.7635404E+002, 0.0000000E+000,-6.4736320E+001, 1.8382911E+000,-3.5328690E-001,-2.8896653E-002, 0.0000000E+000, 0.0000000E+000, 8.6434411E+001, 1.1307382E+002, 0.0000000E+000, 5.9729444E-003, 0.0000000E+000
 9.3021166E-001, 2.7927101E+002, 0.0000000E+000,-1.0158581E+002, 2.8712085E+000,-3.5940996E-001,-3.0753486E-002, 0.0000000E+000, 0.0000000E+000, 1.6620168E+002, 1.8016624E+002, 0.0000000E+000, 6.1273113E-003, 0.0000000E+000
 1.0202733E+000, 3.4398978E+002, 0.0000000E+000,-1.3314515E+002, 3.4474682E+000,-3.6947687E-001,-3.1425466E-002, 0.0000000E+000, 0.0000000E+000, 1.9603204E+002, 2.1389119E+002, 0.0000000E+000, 6.2370536E-003, 0.0000000E+000
 1.1136445E+000, 3.9662391E+002, 0.0000000E+000,-1.3705653E+002, 4.2956439E+000,-3.2797986E-001,-3.2060148E-002, 0.0000000E+000, 0.0000000E+000, 2.4833994E+002, 2.6350298E+002, 0.0000000E+000, 6.3082824E-003, 0.0000000E+000
 1.2099202E+000, 4.0510812E+002, 0.0000000E+000,-1.1422225E+002, 4.8697485E+000,-2.7685377E-001,-3.1690431E-002, 0.0000000E+000, 0.0000000E+000, 2.9525417E+002, 2.9544707E+002, 0.0000000E+000, 6.3601046E-003, 0.0000000E+000
 1.3103659E+000, 3.3427514E+002, 0.0000000E+000,-7.8811672E+001, 4.2797102E+000,-3.4774199E-001,-3.1241989E-002, 0.0000000E+000, 0.0000000E+000, 2.6595508E+002, 2.5936420E+002, 0.0000000E+000, 6.3985050E-003, 0.0000000E+000
 1.4108117E+000, 3.1292265E+002, 0.0000000E+000,-7.7438897E+001, 3.8571041E+000,-3.9422102E-001,-3.2014176E-002, 0.0000000E+000, 0.0000000E+000, 2.3845130E+002, 2.3891462E+002, 0.0000000E+000, 6.4253544E-003, 0.0000000E+000
 1.5008560E+000, 3.5071719E+002, 0.0000000E+000,-9.5445994E+001, 4.0947126E+000,-3.6746802E-001,-3.1744154E-002, 0.0000000E+000, 0.0000000E+000, 2.5838004E+002, 2.5896670E+002, 0.0000000E+000, 6.4425644E-003, 0.0000000E+000
 1.6042653E+000, 3.1687574E+002, 0.0000000E+000,-8.3541779E+001, 2.8057943E+000,-3.7450987E-001,-3.1006981E-002, 0.0000000E+000, 0.0000000E+000, 2.3867671E+002, 2.3573424E+002, 0.0000000E+000, 6.4543789E-003, 0.0000000E+000
 1.7084693E+000, 2.8846353E+002, 0.0000000E+000,-6.5410318E+001,-8.5968595E+001,-4.2100944E-001,-3.1067569E-002, 0.0000000E+000, 0.0000000E+000, 1.4654424E+002, 1.3663254E+002, 0.0000000E+000, 6.4630368E-003, 0.0000000E+000
 1.8060420E+000, 2.9323380E+002, 0.0000000E+000,-6.0326047E+001,-2.9966306E+002,-4.5877309E-001,-3.2207538E-002, 0.0000000E+000, 0.0000000E+000,-6.4160054E+001,-6.7246286E+001, 0.0000000E+000, 6.4686806E-003, 0.0000000E+000
 1.9102459E+000, 3.1856620E+002, 0.0000000E+000,-6.1311046E+001,-2.8647037E+002,-4.4997298E-001,-3.3025640E-002, 0.0000000E+000, 0.0000000E+000,-3.6855936E+001,-2.9698212E+001, 0.0000000E+000, 6.4724408E-003, 0.0000000E+000
 2.0015571E+000, 3.7770799E+002, 0.0000000E+000,-7.3211896E+001,-2.4508745E+002,-4.2124426E-001,-3.3189364E-002, 0.0000000E+000, 0.0000000E+000, 5.5114136E+001, 5.8954210E+001, 0.0000000E+000, 6.4748820E-003, 0.0000000E+000
 2.1013680E+000, 3.6450717E+002, 0.0000000E+000,-7.3453944E+001,-2.9352418E+002,-4.2716198E-001,-3.3102702E-002, 0.0000000E+000, 0.0000000E+000, 4.8506858E+000,-2.9312158E+000, 0.0000000E+000, 6.4764981E-003, 0.0000000E+000
