s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 1.9999992E+001
 3.4678551E-001, 1.9999977E+001
 4.6238068E-001, 2.0000015E+001
 5.7797585E-001, 2.0000049E+001
 6.6836767E-001, 2.0000076E+001
 7.3742129E-001, 2.0002133E+001
 8.0647490E-001, 2.0004198E+001
 8.6820098E-001, 2.0006054E+001
 9.1897110E-001, 2.0010645E+001
 9.6310261E-001, 2.0014660E+001
 1.0023260E+000, 2.0018252E+001
 1.0360175E+000, 2.0025280E+001
 1.0660801E+000, 2.0031587E+001
 1.0961427E+000, 2.0037936E+001
 1.1262053E+000, 2.0045459E+001
 1.1511363E+000, 2.0051761E+001
 1.1760673E+000, 2.0058135E+001
 1.2009983E+000, 2.0066460E+001
 1.2259293E+000, 2.0074895E+001
 1.2508603E+000, 2.0083455E+001
 1.2728911E+000, 2.0091849E+001
 1.2949220E+000, 2.0100234E+001
 1.3169528E+000, 2.0108688E+001
 1.3389836E+000, 2.0118127E+001
 1.3610144E+000, 2.0128297E+001
 1.3830453E+000, 2.0147198E+001
 1.4050761E+000, 2.0259078E+001
 1.4271069E+000, 2.9007008E+001
 1.4491377E+000, 5.7521414E+001
 1.4711686E+000, 1.0092387E+002
 1.4931994E+000, 1.2972644E+002
 1.5124991E+000, 1.5072638E+002
 1.5317988E+000, 1.7032806E+002
 1.5510985E+000, 1.9695404E+002
 1.5703982E+000, 2.1867025E+002
 1.5896978E+000, 2.3743874E+002
 1.6089975E+000, 2.4975634E+002
 1.6282972E+000, 2.5479633E+002
 1.6475969E+000, 2.4695791E+002
 1.6668966E+000, 2.2813493E+002
 1.6839056E+000, 2.1290813E+002
 1.7009146E+000, 2.0131181E+002
 1.7179235E+000, 1.9715071E+002
 1.7349325E+000, 1.9170536E+002
 1.7519415E+000, 2.0406948E+002
 1.7689505E+000, 2.2806737E+002
 1.7859595E+000, 2.4200267E+002
 1.8029684E+000, 2.4759880E+002
 1.8199774E+000, 2.4377915E+002
 1.8369864E+000, 2.2927494E+002
 1.8539954E+000, 2.1377243E+002
 1.8710044E+000, 1.9899742E+002
 1.8862698E+000, 1.8341889E+002
 1.9015352E+000, 1.7649529E+002
 1.9168007E+000, 1.7404584E+002
 1.9320661E+000, 1.8418173E+002
 1.9473315E+000, 2.2445397E+002
 1.9625970E+000, 2.6320140E+002
 1.9778624E+000, 2.8842089E+002
 1.9931279E+000, 2.9348974E+002
 2.0083933E+000, 2.9270330E+002
 2.0236587E+000, 2.8810087E+002
 2.0389242E+000, 2.7898631E+002
 2.0541896E+000, 2.6781685E+002
 2.0694550E+000, 2.5822621E+002
 2.0847205E+000, 2.4618361E+002
 2.1015125E+000, 2.4595653E+002
 2.1183044E+000, 2.6266006E+002
 2.1350964E+000, 2.9206953E+002
 2.1518884E+000, 3.1218568E+002
 2.1686804E+000, 3.1366286E+002
 2.2022643E+000, 3.1171908E+002
 2.2358483E+000, 3.1978709E+002
 2.2526403E+000, 3.3604354E+002
 2.2862242E+000, 3.3864968E+002
 2.3198082E+000, 3.2810248E+002
 2.3533922E+000, 3.1293405E+002
 2.3701841E+000, 3.0531549E+002
 2.4037681E+000, 3.0135534E+002
 2.4373521E+000, 2.9900551E+002
 2.4709360E+000, 3.0044337E+002
