s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999989E+001
 4.6238068E-001, 2.0000072E+001
 5.7797585E-001, 2.0000148E+001
 6.7049318E-001, 2.0000217E+001
 7.3966674E-001, 2.0006568E+001
 8.0884029E-001, 2.0012938E+001
 8.7088281E-001, 2.0018677E+001
 9.2477658E-001, 2.0030729E+001
 9.7005538E-001, 2.0040908E+001
 1.0153342E+000, 2.0051155E+001
 1.0606130E+000, 2.0068425E+001
 1.0998455E+000, 2.0083527E+001
 1.1390779E+000, 2.0098796E+001
 1.1697923E+000, 2.0113516E+001
 1.1961091E+000, 2.0126308E+001
 1.2224259E+000, 2.0139297E+001
 1.2487427E+000, 2.0157848E+001
 1.2695844E+000, 2.0172718E+001
 1.2904261E+000, 2.0187762E+001
 1.3112678E+000, 2.0204609E+001
 1.3300160E+000, 2.0219817E+001
 1.3487643E+000, 2.0235410E+001
 1.3675125E+000, 2.0254051E+001
 1.3862607E+000, 2.0274790E+001
 1.4050090E+000, 2.0351579E+001
 1.4218351E+000, 2.2157650E+001
 1.4386613E+000, 3.5030884E+001
 1.4554875E+000, 7.7865321E+001
 1.4723136E+000, 1.5655196E+002
 1.4891398E+000, 2.4180674E+002
 1.5059659E+000, 2.8177417E+002
 1.5227921E+000, 2.9792797E+002
 1.5396183E+000, 3.0714619E+002
 1.5564444E+000, 3.0418753E+002
 1.5732706E+000, 2.9479783E+002
 1.5900967E+000, 2.8774504E+002
 1.6069229E+000, 2.7591272E+002
 1.6237490E+000, 2.6089970E+002
 1.6405752E+000, 2.5007004E+002
 1.6574014E+000, 2.4406944E+002
 1.6725042E+000, 2.3779323E+002
 1.6876071E+000, 2.3437688E+002
 1.7027100E+000, 2.4153791E+002
 1.7178129E+000, 2.7128399E+002
 1.7329158E+000, 3.1721731E+002
 1.7480186E+000, 3.6969328E+002
 1.7631215E+000, 4.0515508E+002
 1.7782244E+000, 4.1188715E+002
 1.7933273E+000, 4.0908200E+002
 1.8084301E+000, 3.9098892E+002
 1.8235330E+000, 3.5571204E+002
 1.8386359E+000, 3.2900170E+002
 1.8537388E+000, 3.1279232E+002
 1.8688416E+000, 2.9721148E+002
 1.8839445E+000, 2.9992818E+002
 1.8990474E+000, 3.2859657E+002
 1.9141503E+000, 3.4627201E+002
 1.9292532E+000, 3.4918676E+002
 1.9443560E+000, 3.3600551E+002
 1.9575848E+000, 3.2104912E+002
 1.9708135E+000, 3.0936297E+002
 1.9840423E+000, 3.0061013E+002
 1.9972711E+000, 2.9281018E+002
 2.0104998E+000, 2.8780231E+002
 2.0237286E+000, 2.8418353E+002
 2.0501861E+000, 2.7763405E+002
 2.0766436E+000, 2.7442663E+002
 2.1031011E+000, 3.0714534E+002
 2.1441103E+000, 3.6914967E+002
 2.1732135E+000, 4.2258473E+002
 2.2023168E+000, 4.2414197E+002
 2.2314200E+000, 4.0588210E+002
 2.2605233E+000, 3.9474504E+002
 2.2867017E+000, 4.2537077E+002
 2.3128800E+000, 4.5320968E+002
 2.3521476E+000, 4.6044581E+002
 2.3783259E+000, 4.5367656E+002
 2.4045043E+000, 4.5208905E+002
 2.4306827E+000, 4.4290850E+002
 2.4699502E+000, 4.2315253E+002
