s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-4.8248294E-003, 0.0000000E+000,-1.2869227E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1125745E-003, 0.0000000E+000, 9.0863030E-004, 0.0000000E+000
 2.3119034E-001, 3.1013799E+001, 0.0000000E+000,-8.2111137E-007, 5.1950394E-001,-1.5644717E-009,-1.8229007E-003, 0.0000000E+000, 0.0000000E+000,-8.9418290E-003, 3.1531479E+001, 0.0000000E+000, 1.7280902E-003, 0.0000000E+000
 3.4678552E-001, 6.2574290E+001, 0.0000000E+000,-6.4176015E-001, 1.0231822E+000,-3.7815448E-002,-5.2753653E-003, 0.0000000E+000, 0.0000000E+000, 3.1201847E+001, 6.2912621E+001, 0.0000000E+000, 2.4010848E-003, 0.0000000E+000
 4.6238068E-001, 9.1192182E+001, 0.0000000E+000,-1.1458769E+001, 1.2532789E+000,-1.3704468E-001,-6.0312973E-003, 0.0000000E+000, 0.0000000E+000, 6.0977890E+001, 8.0843616E+001, 0.0000000E+000, 2.9125684E-003, 0.0000000E+000
 5.6293160E-001, 1.1631701E+002, 0.0000000E+000,-7.5470183E+001, 6.4495854E-001,-2.3939257E-001,-7.4058401E-003, 0.0000000E+000, 0.0000000E+000, 7.8495089E+001, 4.1244982E+001, 0.0000000E+000, 3.2383948E-003, 0.0000000E+000
 6.2562555E-001, 1.3660273E+002, 0.0000000E+000,-6.8866424E+001, 1.0515198E+000,-2.0194519E-001,-8.2788509E-003, 0.0000000E+000, 0.0000000E+000, 4.0420995E+001, 6.8577602E+001, 0.0000000E+000, 3.3945363E-003, 0.0000000E+000
 7.3404378E-001, 1.2243449E+002, 0.0000000E+000,-7.9829788E+001, 7.3345458E-001,-2.0053444E-001,-9.0630541E-003, 0.0000000E+000, 0.0000000E+000, 5.0027589E+001, 4.3128556E+001, 0.0000000E+000, 3.5514753E-003, 0.0000000E+000
 8.3613402E-001, 1.2035705E+002, 0.0000000E+000,-4.4332841E+001, 1.2273235E+000,-1.7207226E-001,-9.7681147E-003, 0.0000000E+000, 0.0000000E+000, 6.0552373E+001, 7.7069697E+001, 0.0000000E+000, 3.6978099E-003, 0.0000000E+000
 9.0602171E-001, 1.8908629E+002, 0.0000000E+000,-8.6408891E+001, 1.6739602E+000,-1.6421007E-001,-1.0082682E-002, 0.0000000E+000, 0.0000000E+000, 9.6160218E+001, 1.0417707E+002, 0.0000000E+000, 3.7770305E-003, 0.0000000E+000
 1.0239569E+000, 2.0481144E+002, 0.0000000E+000,-1.0299311E+002, 1.7174888E+000,-1.6272631E-001,-1.0356879E-002, 0.0000000E+000, 0.0000000E+000, 1.0415670E+002, 1.0336273E+002, 0.0000000E+000, 3.8431303E-003, 0.0000000E+000
 1.1060555E+000, 1.9261093E+002, 0.0000000E+000,-8.4249132E+001, 1.8465822E+000,-1.3582954E-001,-1.0431912E-002, 0.0000000E+000, 0.0000000E+000, 1.0761333E+002, 1.1006212E+002, 0.0000000E+000, 3.8926150E-003, 0.0000000E+000
 1.2066777E+000, 1.7774469E+002, 0.0000000E+000,-6.8652745E+001, 1.8219398E+000,-1.3731050E-001,-1.0185567E-002, 0.0000000E+000, 0.0000000E+000, 1.1136230E+002, 1.1076639E+002, 0.0000000E+000, 3.9244248E-003, 0.0000000E+000
 1.3072997E+000, 1.7847936E+002, 0.0000000E+000,-7.5139633E+001, 1.6953323E+000,-1.5330839E-001,-1.0142860E-002, 0.0000000E+000, 0.0000000E+000, 1.0571430E+002, 1.0487161E+002, 0.0000000E+000, 3.9493056E-003, 0.0000000E+000
 1.4079218E+000, 1.7647526E+002, 0.0000000E+000,-7.5945123E+001, 1.6395701E+000,-1.5301702E-001,-1.0191371E-002, 0.0000000E+000, 0.0000000E+000, 1.0225268E+002, 1.0200650E+002, 0.0000000E+000, 3.9660308E-003, 0.0000000E+000
 1.5085438E+000, 1.6798782E+002, 0.0000000E+000,-7.2993678E+001, 1.5355783E+000,-1.5890939E-001,-9.9822528E-003, 0.0000000E+000, 0.0000000E+000, 9.7620651E+001, 9.6360827E+001, 0.0000000E+000, 3.9772539E-003, 0.0000000E+000
 1.6124705E+000, 1.6937493E+002, 0.0000000E+000,-7.5084355E+001, 1.4985360E+000,-1.6922865E-001,-9.9597369E-003, 0.0000000E+000, 0.0000000E+000, 9.5054187E+001, 9.5609922E+001, 0.0000000E+000, 3.9848140E-003, 0.0000000E+000
 1.7141529E+000, 1.7989817E+002, 0.0000000E+000,-7.7626962E+001, 1.5011198E+000,-1.7833856E-001,-1.0137803E-002, 0.0000000E+000, 0.0000000E+000, 1.0247156E+002, 1.0358385E+002, 0.0000000E+000, 3.9899219E-003, 0.0000000E+000
 1.8013093E+000, 1.8224462E+002, 0.0000000E+000,-7.3662244E+001,-3.7659653E+001,-1.8307262E-001,-1.0326470E-002, 0.0000000E+000, 0.0000000E+000, 7.6709967E+001, 7.0729326E+001, 0.0000000E+000, 3.9931018E-003, 0.0000000E+000
 1.9029917E+000, 1.7874922E+002, 0.0000000E+000,-6.9866765E+001,-1.0899930E+002,-1.8694999E-001,-1.0403539E-002, 0.0000000E+000, 0.0000000E+000, 2.1700883E+000,-3.1418915E-001, 0.0000000E+000, 3.9952617E-003, 0.0000000E+000
 2.0046742E+000, 1.7607033E+002, 0.0000000E+000,-7.0269094E+001,-1.1340559E+002,-1.9394565E-001,-1.0437721E-002, 0.0000000E+000, 0.0000000E+000,-8.1419040E+000,-7.8087422E+000, 0.0000000E+000, 3.9968445E-003, 0.0000000E+000
 2.1092598E+000, 1.7587768E+002, 0.0000000E+000,-6.9967191E+001,-1.0906525E+002,-2.2578538E-001,-1.0442573E-002, 0.0000000E+000, 0.0000000E+000,-3.4117072E+000,-3.3909924E+000, 0.0000000E+000, 3.9979039E-003, 0.0000000E+000
