s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-2.3463627E-004, 0.0000000E+000,-1.7985517E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0340104E-003, 0.0000000E+000, 1.0222091E-003, 0.0000000E+000
 2.3119034E-001, 3.9381917E+001, 0.0000000E+000,-8.1571918E-007, 6.6930291E-001, 4.4619961E-010,-2.3382168E-003, 0.0000000E+000, 0.0000000E+000,-2.9804651E-003, 4.0048881E+001, 0.0000000E+000, 1.9441014E-003, 0.0000000E+000
 3.4678552E-001, 8.0071191E+001, 0.0000000E+000,-9.7571141E-001, 1.3306897E+000,-4.8852949E-002,-1.0491742E-002, 0.0000000E+000, 0.0000000E+000, 3.9796210E+001, 8.0366825E+001, 0.0000000E+000, 2.7012203E-003, 0.0000000E+000
 4.6238068E-001, 1.1666442E+002, 0.0000000E+000,-1.6422473E+001, 1.6133633E+000,-1.7920361E-001,-1.1598441E-002, 0.0000000E+000, 0.0000000E+000, 7.8529525E+001, 1.0166451E+002, 0.0000000E+000, 3.2766395E-003, 0.0000000E+000
 5.5256599E-001, 1.5014733E+002, 0.0000000E+000,-7.4044483E+001, 1.1926517E+000,-3.0077273E-001,-1.5387521E-002, 0.0000000E+000, 0.0000000E+000, 1.0006908E+002, 7.6979339E+001, 0.0000000E+000, 3.6105070E-003, 0.0000000E+000
 6.1206532E-001, 1.6900907E+002, 0.0000000E+000,-9.2766932E+001, 1.2098355E+000,-2.9243453E-001,-1.7049070E-002, 0.0000000E+000, 0.0000000E+000, 7.6200094E+001, 7.7142485E+001, 0.0000000E+000, 3.7839078E-003, 0.0000000E+000
 7.2138649E-001, 1.4798325E+002, 0.0000000E+000,-8.7046729E+001, 1.0222205E+000,-2.7425829E-001,-1.9080987E-002, 0.0000000E+000, 0.0000000E+000, 6.5160461E+001, 6.1665405E+001, 0.0000000E+000, 3.9697763E-003, 0.0000000E+000
 8.2007366E-001, 1.4244868E+002, 0.0000000E+000,-5.3625101E+001, 1.4760232E+000,-2.4103515E-001,-2.0828185E-002, 0.0000000E+000, 0.0000000E+000, 7.2654636E+001, 9.0037744E+001, 0.0000000E+000, 4.1404131E-003, 0.0000000E+000
 9.1753793E-001, 2.1851336E+002, 0.0000000E+000,-7.6110803E+001, 2.3070250E+000,-2.3496594E-001,-2.1806018E-002, 0.0000000E+000, 0.0000000E+000, 1.3022753E+002, 1.4445281E+002, 0.0000000E+000, 4.2449806E-003, 0.0000000E+000
