s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4635957E-006,-3.8857806E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4635957E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.4227834E-008,-2.2541651E-003, 0.0000000E+000,-6.4625290E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9004723E-003, 0.0000000E+000, 6.3502274E-004, 0.0000000E+000
 2.3498102E-001, 2.1307505E+001, 0.0000000E+000,-5.2710371E-008, 3.8672125E-001, 1.5869012E-009,-8.5827810E-004, 0.0000000E+000, 0.0000000E+000,-4.3383988E-003, 2.1693368E+001, 0.0000000E+000, 1.2058401E-003, 0.0000000E+000
 3.5247153E-001, 1.9923374E+001, 0.0000000E+000,-3.3838076E-001, 3.1530286E-001,-2.3700272E-002,-3.5224771E-003, 0.0000000E+000, 0.0000000E+000, 2.1048766E+001, 1.9873074E+001, 0.0000000E+000, 1.6718289E-003, 0.0000000E+000
 4.6996203E-001, 1.0634972E+002, 0.0000000E+000,-4.9520161E+000, 1.5794057E+000,-5.2764619E-002,-3.2186427E-003, 0.0000000E+000, 0.0000000E+000, 2.0172333E+001, 1.0292113E+002, 0.0000000E+000, 2.0232356E-003, 0.0000000E+000
 5.3053689E-001, 1.0549291E+002, 0.0000000E+000,-8.5452285E+001, 4.4166504E-001,-1.4227026E-001,-4.2756051E-003, 0.0000000E+000, 0.0000000E+000, 9.8148498E+001, 2.0335745E+001, 0.0000000E+000, 2.1632770E-003, 0.0000000E+000
 5.9111172E-001, 1.1213318E+002, 0.0000000E+000,-2.7870929E+001, 1.3109578E+000,-8.1513393E-002,-5.5424105E-003, 0.0000000E+000, 0.0000000E+000, 2.1553898E+001, 8.5486157E+001, 0.0000000E+000, 2.2790728E-003, 0.0000000E+000
 6.4826643E-001, 9.7398752E+001, 0.0000000E+000,-1.0825397E+002,-3.1667201E-002,-1.3178352E-001,-5.7843143E-003, 0.0000000E+000, 0.0000000E+000, 8.3242370E+001,-1.1024454E+001, 0.0000000E+000, 2.3689984E-003, 0.0000000E+000
 6.8962872E-001, 1.0035438E+002, 0.0000000E+000,-3.6068672E+001, 1.0427133E+000,-1.0229245E-001,-6.3376715E-003, 0.0000000E+000, 0.0000000E+000,-1.0716751E+001, 6.5219793E+001, 0.0000000E+000, 2.4239200E-003, 0.0000000E+000
 7.3099101E-001, 8.6031324E+001, 0.0000000E+000,-4.0749393E+001, 7.4465784E-001,-8.7321124E-002,-6.4549638E-003, 0.0000000E+000, 0.0000000E+000, 6.4692415E+001, 4.5932813E+001, 0.0000000E+000, 2.4713974E-003, 0.0000000E+000
 7.7648950E-001, 8.2444972E+001, 0.0000000E+000,-3.6193661E+001, 7.6502379E-001,-8.9559281E-002,-6.7929431E-003, 0.0000000E+000, 0.0000000E+000, 4.5136595E+001, 4.6919983E+001, 0.0000000E+000, 2.5160867E-003, 0.0000000E+000
