s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4604166E-006,-8.3266727E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4604166E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.3826278E-008,-6.5456478E-004, 0.0000000E+000,-7.7894691E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4335655E-003, 0.0000000E+000, 8.1962238E-004, 0.0000000E+000
 2.3498102E-001, 2.9160110E+001, 0.0000000E+000,-4.8950845E-008, 5.0185734E-001, 1.4916756E-009,-9.1350017E-004, 0.0000000E+000, 0.0000000E+000,-2.1997870E-003, 2.9661053E+001, 0.0000000E+000, 1.5563750E-003, 0.0000000E+000
 3.5247153E-001, 3.1478250E+001, 0.0000000E+000,-7.5531520E-001, 5.0757782E-001,-3.2793771E-002,-6.8355210E-003, 0.0000000E+000, 0.0000000E+000, 2.8655873E+001, 3.1190884E+001, 0.0000000E+000, 2.1578257E-003, 0.0000000E+000
 4.6996203E-001, 9.7720867E+001, 0.0000000E+000,-1.1808936E+001, 1.3285218E+000,-8.2964272E-002,-6.3213695E-003, 0.0000000E+000, 0.0000000E+000, 3.0372522E+001, 8.7151167E+001, 0.0000000E+000, 2.6113855E-003, 0.0000000E+000
 5.4689473E-001, 9.2588564E+001, 0.0000000E+000,-9.1780053E+001, 1.8081227E-001,-1.6926047E-001,-8.5837445E-003, 0.0000000E+000, 0.0000000E+000, 8.3849788E+001, 8.1147852E-001, 0.0000000E+000, 2.8354092E-003, 0.0000000E+000
 5.9251469E-001, 1.3432013E+002, 0.0000000E+000,-2.2185669E+001, 1.7777789E+000,-9.8120134E-002,-1.3307942E-002, 0.0000000E+000, 0.0000000E+000, 2.1709787E-001, 1.1380082E+002, 0.0000000E+000, 2.9447178E-003, 0.0000000E+000
 6.3813466E-001, 1.3396946E+002, 0.0000000E+000,-7.8892150E+001, 9.7076570E-001,-1.2667609E-001,-1.3437153E-002, 0.0000000E+000, 0.0000000E+000, 1.1251058E+002, 5.5907963E+001, 0.0000000E+000, 3.0386924E-003, 0.0000000E+000
 6.8375456E-001, 1.4002255E+002, 0.0000000E+000,-5.6118871E+001, 1.3710354E+000,-9.9342379E-002,-1.4673164E-002, 0.0000000E+000, 0.0000000E+000, 5.5297564E+001, 8.5160704E+001, 0.0000000E+000, 3.1190939E-003, 0.0000000E+000
 7.2937453E-001, 1.3033893E+002, 0.0000000E+000,-5.9394689E+001, 1.1770448E+000,-1.0320797E-001,-1.5170984E-002, 0.0000000E+000, 0.0000000E+000, 8.5145893E+001, 7.2002909E+001, 0.0000000E+000, 3.1875980E-003, 0.0000000E+000
 7.7499443E-001, 1.3356884E+002, 0.0000000E+000,-5.2852121E+001, 1.3422982E+000,-1.0436245E-001,-1.6016344E-002, 0.0000000E+000, 0.0000000E+000, 7.1474400E+001, 8.1938641E+001, 0.0000000E+000, 3.2457596E-003, 0.0000000E+000
 8.1391948E-001, 1.5380544E+002, 0.0000000E+000,-5.9821781E+001, 1.5249310E+000,-9.7958555E-002,-1.6288030E-002, 0.0000000E+000, 0.0000000E+000, 8.2207849E+001, 9.5394339E+001, 0.0000000E+000, 3.2882754E-003, 0.0000000E+000
 8.5284448E-001, 1.6252724E+002, 0.0000000E+000,-6.2206230E+001, 1.6436350E+000,-9.6208407E-002,-1.6439870E-002, 0.0000000E+000, 0.0000000E+000, 9.5410514E+001, 1.0185200E+002, 0.0000000E+000, 3.3250857E-003, 0.0000000E+000
 8.8055086E-001, 1.9309069E+002, 0.0000000E+000,-6.9978569E+001, 1.9902949E+000,-9.7287320E-002,-1.6567193E-002, 0.0000000E+000, 0.0000000E+000, 1.0185278E+002, 1.2498856E+002, 0.0000000E+000, 3.3482073E-003, 0.0000000E+000
 9.0475416E-001, 2.0320715E+002, 0.0000000E+000,-7.7037930E+001, 2.0544576E+000,-9.2371897E-002,-1.6560654E-002, 0.0000000E+000, 0.0000000E+000, 1.2476781E+002, 1.2811475E+002, 0.0000000E+000, 3.3665212E-003, 0.0000000E+000
 9.2554343E-001, 2.0972258E+002, 0.0000000E+000,-7.7946572E+001, 2.1531800E+000,-9.1904290E-002,-1.6576948E-002, 0.0000000E+000, 0.0000000E+000, 1.2782311E+002, 1.3382071E+002, 0.0000000E+000, 3.3809648E-003, 0.0000000E+000
 9.4633263E-001, 2.1058066E+002, 0.0000000E+000,-8.0713499E+001, 2.1463343E+000,-8.9188255E-002,-1.6552315E-002, 0.0000000E+000, 0.0000000E+000, 1.3352307E+002, 1.3190775E+002, 0.0000000E+000, 3.3943094E-003, 0.0000000E+000
 9.6434683E-001, 2.0570659E+002, 0.0000000E+000,-7.8959374E+001, 2.1232156E+000,-8.7545890E-002,-1.6513724E-002, 0.0000000E+000, 0.0000000E+000, 1.3164339E+002, 1.2876637E+002, 0.0000000E+000, 3.4050455E-003, 0.0000000E+000
 9.8236096E-001, 1.9477349E+002, 0.0000000E+000,-6.8795455E+001, 2.1263133E+000,-8.6604462E-002,-1.6479118E-002, 0.0000000E+000, 0.0000000E+000, 1.2856858E+002, 1.2800126E+002, 0.0000000E+000, 3.4150651E-003, 0.0000000E+000
 9.9819839E-001, 1.8725471E+002, 0.0000000E+000,-6.3649101E+001, 2.0917233E+000,-8.5804676E-002,-1.6444273E-002, 0.0000000E+000, 0.0000000E+000, 1.2781301E+002, 1.2559509E+002, 0.0000000E+000, 3.4233186E-003, 0.0000000E+000
