s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3627681E-006, 2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3627681E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.3104007E-008,-4.3204089E-003, 0.0000000E+000,-1.1161333E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4366253E-003, 0.0000000E+000, 8.7131027E-004, 0.0000000E+000
 2.3498102E-001, 2.8998296E+001, 0.0000000E+000,-8.1664618E-008, 5.5796067E-001, 4.0551941E-009,-1.5368096E-003, 0.0000000E+000, 0.0000000E+000,-8.3163145E-003, 2.9554720E+001, 0.0000000E+000, 1.6545248E-003, 0.0000000E+000
 3.5247153E-001, 2.5586543E+001, 0.0000000E+000,-4.8911821E-001, 3.9559093E-001,-3.2723076E-002,-4.8014399E-003, 0.0000000E+000, 0.0000000E+000, 2.8777762E+001, 2.5455491E+001, 0.0000000E+000, 2.2939048E-003, 0.0000000E+000
 4.6996203E-001, 1.4482694E+002, 0.0000000E+000,-5.1750999E+000, 2.1530155E+000,-7.0098200E-002,-4.5863070E-003, 0.0000000E+000, 0.0000000E+000, 2.6208842E+001, 1.4173017E+002, 0.0000000E+000, 2.7760675E-003, 0.0000000E+000
 5.2298665E-001, 1.3920871E+002, 0.0000000E+000,-9.5842543E+001, 8.3352874E-001,-1.8792518E-001,-6.3649577E-003, 0.0000000E+000, 0.0000000E+000, 1.3445510E+002, 4.4005405E+001, 0.0000000E+000, 2.9461708E-003, 0.0000000E+000
 5.7601124E-001, 1.4163818E+002, 0.0000000E+000,-5.7224018E+001, 1.3165765E+000,-1.3831150E-001,-6.9551450E-003, 0.0000000E+000, 0.0000000E+000, 4.6054843E+001, 8.5585475E+001, 0.0000000E+000, 3.0903651E-003, 0.0000000E+000
 6.3433826E-001, 1.0909372E+002, 0.0000000E+000,-1.3452590E+002,-2.4170915E-001,-1.7717198E-001,-7.7371192E-003, 0.0000000E+000, 0.0000000E+000, 8.2354934E+001,-2.5858799E+001, 0.0000000E+000, 3.2225840E-003, 0.0000000E+000
 6.7576021E-001, 1.0446443E+002, 0.0000000E+000,-4.0870118E+001, 1.0311320E+000,-1.4108807E-001,-8.3149205E-003, 0.0000000E+000, 0.0000000E+000,-2.5141299E+001, 6.4476043E+001, 0.0000000E+000, 3.3017784E-003, 0.0000000E+000
 7.1718210E-001, 8.3945319E+001, 0.0000000E+000,-3.3404812E+001, 8.1677481E-001,-1.1235829E-001,-8.6461563E-003, 0.0000000E+000, 0.0000000E+000, 6.3621362E+001, 5.1236277E+001, 0.0000000E+000, 3.3702970E-003, 0.0000000E+000
 7.6274616E-001, 8.5178594E+001, 0.0000000E+000,-3.2988180E+001, 8.4162313E-001,-1.2427717E-001,-9.0094917E-003, 0.0000000E+000, 0.0000000E+000, 5.0609709E+001, 5.2898750E+001, 0.0000000E+000, 3.4348385E-003, 0.0000000E+000
 8.1286669E-001, 1.2853617E+002, 0.0000000E+000,-4.9883002E+001, 1.2506096E+000,-1.1373275E-001,-9.2899920E-003, 0.0000000E+000, 0.0000000E+000, 5.2958181E+001, 7.9780754E+001, 0.0000000E+000, 3.4945051E-003, 0.0000000E+000
 8.5327232E-001, 1.4669186E+002, 0.0000000E+000,-6.4878363E+001, 1.3307281E+000,-1.0983504E-001,-9.3735432E-003, 0.0000000E+000, 0.0000000E+000, 7.9107527E+001, 8.3025016E+001, 0.0000000E+000, 3.5351751E-003, 0.0000000E+000
 8.8884997E-001, 1.7439020E+002, 0.0000000E+000,-7.6633226E+001, 1.5852413E+000,-1.1327842E-001,-9.4987746E-003, 0.0000000E+000, 0.0000000E+000, 8.2771629E+001, 9.9219438E+001, 0.0000000E+000, 3.5662328E-003, 0.0000000E+000
 9.1930240E-001, 1.8449870E+002, 0.0000000E+000,-9.4676874E+001, 1.5011873E+000,-1.1173691E-001,-9.5367815E-003, 0.0000000E+000, 0.0000000E+000, 9.9014372E+001, 9.1201735E+001, 0.0000000E+000, 3.5896961E-003, 0.0000000E+000
 9.4975483E-001, 1.8585698E+002, 0.0000000E+000,-8.8473597E+001, 1.6272133E+000,-1.1566862E-001,-9.5819994E-003, 0.0000000E+000, 0.0000000E+000, 9.0846076E+001, 9.8885341E+001, 0.0000000E+000, 3.6105941E-003, 0.0000000E+000
 9.8020726E-001, 1.8409310E+002, 0.0000000E+000,-9.3766525E+001, 1.5312753E+000,-1.1151603E-001,-9.5816008E-003, 0.0000000E+000, 0.0000000E+000, 9.8788993E+001, 9.1736757E+001, 0.0000000E+000, 3.6291946E-003, 0.0000000E+000
 1.0044818E+000, 1.8854168E+002, 0.0000000E+000,-9.7354127E+001, 1.5595012E+000,-1.1149937E-001,-9.5680330E-003, 0.0000000E+000, 0.0000000E+000, 9.1541203E+001, 9.2625983E+001, 0.0000000E+000, 3.6425389E-003, 0.0000000E+000
 1.0287563E+000, 1.8155496E+002, 0.0000000E+000,-8.6828845E+001, 1.6058165E+000,-1.0798526E-001,-9.5513252E-003, 0.0000000E+000, 0.0000000E+000, 9.2437223E+001, 9.6214390E+001, 0.0000000E+000, 3.6546900E-003, 0.0000000E+000
 1.0530307E+000, 1.7622515E+002, 0.0000000E+000,-8.2746847E+001, 1.5854759E+000,-1.0698288E-001,-9.5239185E-003, 0.0000000E+000, 0.0000000E+000, 9.6212399E+001, 9.4947276E+001, 0.0000000E+000, 3.6657513E-003, 0.0000000E+000
 1.0722147E+000, 1.7521614E+002, 0.0000000E+000,-7.9804404E+001, 1.6230533E+000,-1.0579468E-001,-9.5091101E-003, 0.0000000E+000, 0.0000000E+000, 9.4694375E+001, 9.6919489E+001, 0.0000000E+000, 3.6737847E-003, 0.0000000E+000
 1.0913988E+000, 1.7259204E+002, 0.0000000E+000,-7.4646545E+001, 1.6480385E+000,-1.0589357E-001,-9.5052232E-003, 0.0000000E+000, 0.0000000E+000, 9.6748608E+001, 9.9478137E+001, 0.0000000E+000, 3.6812402E-003, 0.0000000E+000
 1.1105828E+000, 1.6995902E+002, 0.0000000E+000,-7.4444979E+001, 1.6054636E+000,-1.0744432E-001,-9.4994980E-003, 0.0000000E+000, 0.0000000E+000, 9.9472305E+001, 9.7002559E+001, 0.0000000E+000, 3.6881583E-003, 0.0000000E+000
 1.1297668E+000, 1.6698376E+002, 0.0000000E+000,-7.4228572E+001, 1.5644704E+000,-1.0938353E-001,-9.5039072E-003, 0.0000000E+000, 0.0000000E+000, 9.7012060E+001, 9.4200766E+001, 0.0000000E+000, 3.6945768E-003, 0.0000000E+000
 1.1489509E+000, 1.6532809E+002, 0.0000000E+000,-6.9966668E+001, 1.5971887E+000,-1.1185057E-001,-9.5104866E-003, 0.0000000E+000, 0.0000000E+000, 9.4187592E+001, 9.6837252E+001, 0.0000000E+000, 3.7005311E-003, 0.0000000E+000
 1.1681349E+000, 1.6348813E+002, 0.0000000E+000,-7.0726539E+001, 1.5489537E+000,-1.1415939E-001,-9.5185133E-003, 0.0000000E+000, 0.0000000E+000, 9.6890143E+001, 9.4186869E+001, 0.0000000E+000, 3.7060540E-003, 0.0000000E+000
 1.1873189E+000, 1.6229818E+002, 0.0000000E+000,-7.1775423E+001, 1.5111263E+000,-1.1668027E-001,-9.5272676E-003, 0.0000000E+000, 0.0000000E+000, 9.4216687E+001, 9.1907677E+001, 0.0000000E+000, 3.7111763E-003, 0.0000000E+000
 1.2044475E+000, 1.6393705E+002, 0.0000000E+000,-7.0381652E+001, 1.5545246E+000,-1.1779281E-001,-9.5338753E-003, 0.0000000E+000, 0.0000000E+000, 9.1949054E+001, 9.4982595E+001, 0.0000000E+000, 3.7154345E-003, 0.0000000E+000
 1.2215762E+000, 1.6324152E+002, 0.0000000E+000,-7.1911625E+001, 1.5132152E+000,-1.1848707E-001,-9.5422868E-003, 0.0000000E+000, 0.0000000E+000, 9.5025606E+001, 9.2715077E+001, 0.0000000E+000, 3.7194151E-003, 0.0000000E+000
