s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4832869E-006,-4.7184479E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4832869E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.4296492E-008,-3.4296108E-003, 0.0000000E+000,-1.0457547E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4754199E-003, 0.0000000E+000, 7.3101455E-004, 0.0000000E+000
 2.3498102E-001, 2.4424596E+001, 0.0000000E+000,-5.3504360E-008, 4.6324369E-001, 9.6981856E-010,-1.4854177E-003, 0.0000000E+000, 0.0000000E+000,-7.0028647E-003, 2.4886354E+001, 0.0000000E+000, 1.3881183E-003, 0.0000000E+000
 3.5247153E-001, 2.0513054E+001, 0.0000000E+000,-3.5046043E-001, 3.1652332E-001,-2.6849983E-002,-4.1273471E-003, 0.0000000E+000, 0.0000000E+000, 2.4355554E+001, 2.0448139E+001, 0.0000000E+000, 1.9245472E-003, 0.0000000E+000
 4.6996203E-001, 1.2916327E+002, 0.0000000E+000,-3.1457196E+000, 1.9957011E+000,-5.5973480E-002,-3.9642624E-003, 0.0000000E+000, 0.0000000E+000, 2.1100646E+001, 1.2795332E+002, 0.0000000E+000, 2.3290736E-003, 0.0000000E+000
 5.2692044E-001, 1.1376852E+002, 0.0000000E+000,-6.3775626E+001, 8.6489270E-001,-1.6607711E-001,-5.5379802E-003, 0.0000000E+000, 0.0000000E+000, 1.2230263E+002, 5.0686171E+001, 0.0000000E+000, 2.4814790E-003, 0.0000000E+000
 5.8387887E-001, 1.2968413E+002, 0.0000000E+000,-6.0828529E+001, 1.0873684E+000,-1.4779292E-001,-6.0035240E-003, 0.0000000E+000, 0.0000000E+000, 5.2535118E+001, 6.9789169E+001, 0.0000000E+000, 2.6090129E-003, 0.0000000E+000
 6.4653313E-001, 1.0027591E+002, 0.0000000E+000,-1.2366002E+002,-2.2386874E-001,-1.7664552E-001,-6.4964135E-003, 0.0000000E+000, 0.0000000E+000, 6.7663667E+001,-2.3791116E+001, 0.0000000E+000, 2.7242503E-003, 0.0000000E+000
 6.9791478E-001, 8.4313010E+001, 0.0000000E+000,-3.6594427E+001, 7.8541039E-001,-1.1906167E-001,-7.0134008E-003, 0.0000000E+000, 0.0000000E+000,-2.3705767E+001, 4.8377919E+001, 0.0000000E+000, 2.8019277E-003, 0.0000000E+000
