s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3130863E-006,-3.4694470E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3130863E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.2060873E-008,-1.8637441E-003, 0.0000000E+000,-3.7709177E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2409179E-003, 0.0000000E+000, 6.3502274E-004, 0.0000000E+000
 2.3498102E-001, 1.3608961E+001, 0.0000000E+000,-8.0748709E-008, 2.6699829E-001, 2.3396629E-009,-5.0247243E-004, 0.0000000E+000, 0.0000000E+000,-3.4060540E-003, 1.3875457E+001, 0.0000000E+000, 1.2058401E-003, 0.0000000E+000
 3.5247153E-001, 4.4079335E+000, 0.0000000E+000,-1.6062701E-001, 4.8849785E-002,-1.3431413E-002,-1.3156951E-003, 0.0000000E+000, 0.0000000E+000, 1.3703083E+001, 4.2814092E+000, 0.0000000E+000, 1.6718289E-003, 0.0000000E+000
 4.6996203E-001, 9.5875384E+001, 0.0000000E+000,-9.5066298E-001, 1.5978050E+000,-1.7584374E-002,-6.9377374E-004, 0.0000000E+000, 0.0000000E+000, 4.5145703E+000, 9.6504248E+001, 0.0000000E+000, 2.0232356E-003, 0.0000000E+000
 5.1653403E-001, 7.1670513E+001, 0.0000000E+000,-9.7152140E+000, 1.0014236E+000,-1.0048238E-001,-2.1642638E-003, 0.0000000E+000, 0.0000000E+000, 9.4534188E+001, 6.2854075E+001, 0.0000000E+000, 2.1331740E-003, 0.0000000E+000
 5.6310600E-001, 8.6664028E+001, 0.0000000E+000,-2.6208824E+001, 9.5894724E-001,-1.1457571E-001,-1.8236125E-003, 0.0000000E+000, 0.0000000E+000, 6.3585030E+001, 6.1297752E+001, 0.0000000E+000, 2.2283463E-003, 0.0000000E+000
 6.1433524E-001, 9.3874652E+001, 0.0000000E+000,-5.2864485E+001, 6.6118460E-001,-1.4648843E-001,-1.9614632E-003, 0.0000000E+000, 0.0000000E+000, 6.1928294E+001, 4.1522902E+001, 0.0000000E+000, 2.3177158E-003, 0.0000000E+000
 6.7068732E-001, 9.5435740E+001, 0.0000000E+000,-5.7599187E+001, 6.2239503E-001,-1.3827750E-001,-2.2120884E-003, 0.0000000E+000, 0.0000000E+000, 4.1138177E+001, 3.8318459E+001, 0.0000000E+000, 2.3997496E-003, 0.0000000E+000
 7.3267466E-001, 6.9627175E+001, 0.0000000E+000,-4.1504980E+001, 4.9178066E-001,-1.2151170E-001,-2.4267480E-003, 0.0000000E+000, 0.0000000E+000, 3.7894376E+001, 2.8490037E+001, 0.0000000E+000, 2.4731854E-003, 0.0000000E+000
 8.0086070E-001, 8.0548358E+001, 0.0000000E+000,-4.7529852E+001, 5.5679304E-001,-1.0699675E-001,-2.6462379E-003, 0.0000000E+000, 0.0000000E+000, 2.8232291E+001, 3.3465656E+001, 0.0000000E+000, 2.5371438E-003, 0.0000000E+000
 8.6106807E-001, 6.6105112E+001, 0.0000000E+000,-3.1979170E+001, 5.8588168E-001,-9.7916258E-002,-2.7785710E-003, 0.0000000E+000, 0.0000000E+000, 3.3270796E+001, 3.4611129E+001, 0.0000000E+000, 2.5817055E-003, 0.0000000E+000
 9.1176349E-001, 8.1005116E+001, 0.0000000E+000,-3.6958920E+001, 7.4500371E-001,-8.7551028E-002,-2.8655493E-003, 0.0000000E+000, 0.0000000E+000, 3.4437956E+001, 4.4700783E+001, 0.0000000E+000, 2.6121679E-003, 0.0000000E+000
 9.5429796E-001, 8.1504336E+001, 0.0000000E+000,-3.5238357E+001, 7.8392146E-001,-7.8940846E-002,-2.9030670E-003, 0.0000000E+000, 0.0000000E+000, 4.4541575E+001, 4.6968057E+001, 0.0000000E+000, 2.6335741E-003, 0.0000000E+000
 9.9038637E-001, 8.3386928E+001, 0.0000000E+000,-3.2101287E+001, 8.7043377E-001,-7.6786450E-002,-2.9280782E-003, 0.0000000E+000, 0.0000000E+000, 4.6909493E+001, 5.2076360E+001, 0.0000000E+000, 2.6491954E-003, 0.0000000E+000
 1.0223691E+000, 8.3287904E+001, 0.0000000E+000,-2.8445045E+001, 9.2700370E-001,-7.2739778E-002,-2.9326494E-003, 0.0000000E+000, 0.0000000E+000, 5.2020027E+001, 5.5694190E+001, 0.0000000E+000, 2.6613375E-003, 0.0000000E+000
 1.0543520E+000, 8.1693830E+001, 0.0000000E+000,-2.6651248E+001, 9.3093257E-001,-6.9227344E-002,-2.9258166E-003, 0.0000000E+000, 0.0000000E+000, 5.5620965E+001, 5.5901361E+001, 0.0000000E+000, 2.6720667E-003, 0.0000000E+000
 1.0816793E+000, 8.1864146E+001, 0.0000000E+000,-2.4909629E+001, 9.6228953E-001,-6.6095116E-002,-2.9123429E-003, 0.0000000E+000, 0.0000000E+000, 5.5800432E+001, 5.7847799E+001, 0.0000000E+000, 2.6802356E-003, 0.0000000E+000
 1.1090066E+000, 8.0753385E+001, 0.0000000E+000,-2.2103820E+001, 9.8832607E-001,-6.4914130E-002,-2.8945251E-003, 0.0000000E+000, 0.0000000E+000, 5.7813121E+001, 5.9570083E+001, 0.0000000E+000, 2.6875796E-003, 0.0000000E+000
 1.1363339E+000, 8.0309903E+001, 0.0000000E+000,-2.1254489E+001, 9.9073477E-001,-6.4833331E-002,-2.8750030E-003, 0.0000000E+000, 0.0000000E+000, 5.9545122E+001, 5.9978441E+001, 0.0000000E+000, 2.6941800E-003, 0.0000000E+000
 1.1596404E+000, 8.0594597E+001, 0.0000000E+000,-2.1074434E+001, 9.9438133E-001,-6.5082113E-002,-2.8596531E-003, 0.0000000E+000, 0.0000000E+000, 5.9938274E+001, 6.0446603E+001, 0.0000000E+000, 2.6992774E-003, 0.0000000E+000
 1.1829469E+000, 7.9950445E+001, 0.0000000E+000,-2.0828574E+001, 9.8492421E-001,-6.6540905E-002,-2.8489744E-003, 0.0000000E+000, 0.0000000E+000, 6.0429324E+001, 6.0037406E+001, 0.0000000E+000, 2.7039294E-003, 0.0000000E+000
