s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3102714E-005,-5.5511151E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3102714E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-1.0536989E-007,-2.3808630E-003, 0.0000000E+000,-9.6001620E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3409846E-003, 0.0000000E+000, 7.4578252E-004, 0.0000000E+000
 2.3498102E-001, 2.5116152E+001, 0.0000000E+000,-1.0176964E-007, 4.5482633E-001, 4.6486114E-010,-1.2544519E-003, 0.0000000E+000, 0.0000000E+000,-5.1215183E-003, 2.5569724E+001, 0.0000000E+000, 1.4161611E-003, 0.0000000E+000
 3.5247153E-001, 2.1794149E+001, 0.0000000E+000,-3.5275288E-001, 3.4522960E-001,-2.7542661E-002,-4.2217226E-003, 0.0000000E+000, 0.0000000E+000, 2.4903460E+001, 2.1754862E+001, 0.0000000E+000, 1.9634269E-003, 0.0000000E+000
 4.6996203E-001, 1.2712345E+002, 0.0000000E+000,-4.4760515E+000, 1.9469681E+000,-5.8844276E-002,-3.9697642E-003, 0.0000000E+000, 0.0000000E+000, 2.2159794E+001, 1.2453156E+002, 0.0000000E+000, 2.3761256E-003, 0.0000000E+000
 5.3565454E-001, 1.1708664E+002, 0.0000000E+000,-8.3639819E+001, 6.1399293E-001,-1.7328191E-001,-5.1051052E-003, 0.0000000E+000, 0.0000000E+000, 1.1913329E+002, 3.3882427E+001, 0.0000000E+000, 2.5531310E-003, 0.0000000E+000
 6.0134697E-001, 1.3330104E+002, 0.0000000E+000,-4.7955859E+001, 1.3295459E+000,-1.2796026E-001,-6.5180902E-003, 0.0000000E+000, 0.0000000E+000, 3.5487443E+001, 8.6540249E+001, 0.0000000E+000, 2.6970215E-003, 0.0000000E+000
 6.7360872E-001, 9.8695723E+001, 0.0000000E+000,-1.5447284E+002,-6.5453332E-001,-1.9188539E-001,-6.5245114E-003, 0.0000000E+000, 0.0000000E+000, 8.4589347E+001,-5.6630058E+001, 0.0000000E+000, 2.8228124E-003, 0.0000000E+000
 7.0699728E-001, 1.1008981E+002, 0.0000000E+000,-4.2257474E+001, 1.0983678E+000,-1.5038366E-001,-7.2821305E-003, 0.0000000E+000, 0.0000000E+000,-5.7247362E+001, 6.8773038E+001, 0.0000000E+000, 2.8711130E-003, 0.0000000E+000
 7.4038589E-001, 1.0557582E+002, 0.0000000E+000,-4.6853637E+001, 9.5152056E-001,-1.2174837E-001,-7.7019747E-003, 0.0000000E+000, 0.0000000E+000, 6.8105439E+001, 5.9544255E+001, 0.0000000E+000, 2.9140115E-003, 0.0000000E+000
