s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4930962E-006,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4930962E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.4699997E-008,-3.7382830E-003, 0.0000000E+000,-9.6515944E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7034972E-003, 0.0000000E+000, 6.7194267E-004, 0.0000000E+000
 2.3498102E-001, 2.1976179E+001, 0.0000000E+000,-5.4355541E-008, 4.2705617E-001, 1.5395851E-010,-1.4581714E-003, 0.0000000E+000, 0.0000000E+000,-7.2215680E-003, 2.2401777E+001, 0.0000000E+000, 1.2759471E-003, 0.0000000E+000
 3.5247153E-001, 1.7783287E+001, 0.0000000E+000,-3.3446322E-001, 2.7070352E-001,-2.3941042E-002,-3.9118874E-003, 0.0000000E+000, 0.0000000E+000, 2.2023683E+001, 1.7691675E+001, 0.0000000E+000, 1.7690282E-003, 0.0000000E+000
 4.6996203E-001, 1.1853580E+002, 0.0000000E+000,-2.7251959E+000, 1.8584212E+000,-4.9272888E-002,-3.6822151E-003, 0.0000000E+000, 0.0000000E+000, 1.8363258E+001, 1.1761607E+002, 0.0000000E+000, 2.1408656E-003, 0.0000000E+000
 5.2525640E-001, 1.0009832E+002, 0.0000000E+000,-5.8245485E+001, 7.3418227E-001,-1.4940832E-001,-5.4580289E-003, 0.0000000E+000, 0.0000000E+000, 1.1263503E+002, 4.2432154E+001, 0.0000000E+000, 2.2772004E-003, 0.0000000E+000
 5.8055073E-001, 1.1729567E+002, 0.0000000E+000,-5.5800077E+001, 9.9128877E-001,-1.3266357E-001,-5.6150781E-003, 0.0000000E+000, 0.0000000E+000, 4.4399941E+001, 6.2348607E+001, 0.0000000E+000, 2.3919125E-003, 0.0000000E+000
 6.4137453E-001, 9.0989061E+001, 0.0000000E+000,-1.1856800E+002,-3.1686247E-001,-1.5809791E-001,-6.1720724E-003, 0.0000000E+000, 0.0000000E+000, 6.0148048E+001,-2.8060071E+001, 0.0000000E+000, 2.4962119E-003, 0.0000000E+000
 6.8824881E-001, 7.7395432E+001, 0.0000000E+000,-3.1275850E+001, 7.5885893E-001,-1.1134777E-001,-6.6265742E-003, 0.0000000E+000, 0.0000000E+000,-2.7477949E+001, 4.6760467E+001, 0.0000000E+000, 2.5630393E-003, 0.0000000E+000
 7.3512310E-001, 7.1091965E+001, 0.0000000E+000,-3.7192713E+001, 5.5488163E-001,-9.3516960E-002,-6.9023438E-003, 0.0000000E+000, 0.0000000E+000, 4.5889003E+001, 3.4353714E+001, 0.0000000E+000, 2.6197063E-003, 0.0000000E+000
 7.8668481E-001, 6.8451616E+001, 0.0000000E+000,-3.0407193E+001, 6.1248738E-001,-9.7692004E-002,-7.1985057E-003, 0.0000000E+000, 0.0000000E+000, 3.3854347E+001, 3.8552019E+001, 0.0000000E+000, 2.6719350E-003, 0.0000000E+000
 8.4340274E-001, 9.8563954E+001, 0.0000000E+000,-3.8423709E+001, 9.4899184E-001,-9.4359664E-002,-7.4478158E-003, 0.0000000E+000, 0.0000000E+000, 3.8662198E+001, 6.0987429E+001, 0.0000000E+000, 2.7190483E-003, 0.0000000E+000
 8.8707030E-001, 1.2422742E+002, 0.0000000E+000,-7.5308345E+001, 8.4057883E-001,-9.6663019E-002,-7.5444492E-003, 0.0000000E+000, 0.0000000E+000, 6.0272054E+001, 4.9655445E+001, 0.0000000E+000, 2.7491070E-003, 0.0000000E+000
 9.2373890E-001, 1.2107598E+002, 0.0000000E+000,-5.7035636E+001, 1.0620977E+000,-1.0294621E-001,-7.6793215E-003, 0.0000000E+000, 0.0000000E+000, 4.9622646E+001, 6.4991817E+001, 0.0000000E+000, 2.7707909E-003, 0.0000000E+000
 9.6040750E-001, 1.2434953E+002, 0.0000000E+000,-6.8522945E+001, 9.4859367E-001,-9.4169649E-002,-7.7170440E-003, 0.0000000E+000, 0.0000000E+000, 6.4880382E+001, 5.6673291E+001, 0.0000000E+000, 2.7896506E-003, 0.0000000E+000
 9.9707615E-001, 1.3212623E+002, 0.0000000E+000,-6.3330907E+001, 1.1626023E+000,-9.8298589E-002,-7.7725464E-003, 0.0000000E+000, 0.0000000E+000, 5.6601599E+001, 6.9851858E+001, 0.0000000E+000, 2.8060384E-003, 0.0000000E+000
 1.0283396E+000, 1.2469258E+002, 0.0000000E+000,-5.4229580E+001, 1.1760386E+000,-9.0470737E-002,-7.7669325E-003, 0.0000000E+000, 0.0000000E+000, 6.9698718E+001, 7.1540798E+001, 0.0000000E+000, 2.8182939E-003, 0.0000000E+000
