s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-7.1009185E-006, 0.0000000E+000,-4.8275061E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2372638E-005, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 5.0547723E-002, 0.0000000E+000,-4.4411259E-007, 8.5921045E-004, 4.1860005E-009,-9.3808597E-006, 0.0000000E+000, 0.0000000E+000,-1.7032541E-005, 5.1397113E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 1.0021869E-001, 0.0000000E+000,-2.5041644E-003, 1.6634700E-003,-1.7257615E-005,-1.4139324E-005, 0.0000000E+000, 0.0000000E+000, 5.1379176E-002, 9.9346597E-002, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.6238252E-001, 0.0000000E+000,-6.3367029E-003, 2.6577489E-003,-5.7139719E-005,-1.8628101E-005, 0.0000000E+000, 0.0000000E+000, 9.9317650E-002, 1.5862780E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 2.3427280E-001, 0.0000000E+000,-1.2416099E-002, 3.7797987E-003,-1.3490667E-004,-2.3319274E-005, 0.0000000E+000, 0.0000000E+000, 1.5858558E-001, 2.2547827E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 3.1111859E-001, 0.0000000E+000,-2.0469002E-002, 4.9527233E-003,-2.5916763E-004,-2.7745833E-005, 0.0000000E+000, 0.0000000E+000, 2.2542912E-001, 2.9531540E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 3.9185008E-001, 0.0000000E+000,-3.1787547E-002, 6.1346581E-003,-4.3725401E-004,-3.2351194E-005, 0.0000000E+000, 0.0000000E+000, 2.9526486E-001, 3.6572758E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 4.7955303E-001, 0.0000000E+000,-4.6025382E-002, 7.3847918E-003,-6.7562695E-004,-3.6886458E-005, 0.0000000E+000, 0.0000000E+000, 3.6568214E-001, 4.4019993E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 5.9806056E-001, 0.0000000E+000,-6.1425051E-002, 9.1390768E-003,-9.7871343E-004,-4.6611708E-005, 0.0000000E+000, 0.0000000E+000, 4.4016603E-001, 5.4474926E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 7.6803918E-001, 0.0000000E+000,-8.3780902E-002, 1.1648091E-002,-1.3720970E-003,-6.2726827E-005, 0.0000000E+000, 0.0000000E+000, 5.4472568E-001, 6.9447154E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 9.8227343E-001, 0.0000000E+000,-1.1372962E-001, 1.4778818E-002,-1.8925436E-003,-7.8155778E-005, 0.0000000E+000, 0.0000000E+000, 6.9446431E-001, 8.8135192E-001, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 1.2381637E+000, 0.0000000E+000,-1.5506518E-001, 1.8420809E-002,-2.5680726E-003,-9.4507848E-005, 0.0000000E+000, 0.0000000E+000, 8.8138934E-001, 1.0988567E+000, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
 1.5273767E+000, 1.5243880E+000, 0.0000000E+000,-3.0642344E-001, 2.0693819E-002,-3.4153536E-003,-1.1107671E-004, 0.0000000E+000, 0.0000000E+000, 1.0989722E+000, 1.2351319E+000, 0.0000000E+000, 3.6544000E-005, 0.0000000E+000
 1.6448672E+000, 1.8320533E+000, 0.0000000E+000,-3.9310828E-001, 2.4462882E-002,-4.4173277E-003,-1.2708935E-004, 0.0000000E+000, 0.0000000E+000, 1.2354010E+000, 1.4588634E+000, 0.0000000E+000, 4.1651200E-005, 0.0000000E+000
 1.7623576E+000, 2.0711214E+000, 0.0000000E+000,-4.4394519E-001, 2.7650048E-002,-5.5484750E-003,-1.4401940E-004, 0.0000000E+000, 0.0000000E+000, 1.4591931E+000, 1.6491338E+000, 0.0000000E+000, 4.7027200E-005, 0.0000000E+000
 1.8798481E+000, 2.3118892E+000, 0.0000000E+000,-5.2729398E-001, 3.0324215E-002,-6.6569806E-003,-1.6019172E-004, 0.0000000E+000, 0.0000000E+000, 1.6496664E+000, 1.8081023E+000, 0.0000000E+000, 5.2134400E-005, 0.0000000E+000
 1.9973387E+000, 2.5260731E+000, 0.0000000E+000,-6.2573155E-001, 3.2290686E-002,-7.6343089E-003,-1.7721007E-004, 0.0000000E+000, 0.0000000E+000, 1.8088307E+000, 1.9248208E+000, 0.0000000E+000, 5.7510400E-005, 0.0000000E+000
 2.1148291E+000, 2.7499887E+000, 0.0000000E+000,-7.1514069E-001, 3.4576803E-002,-8.3498756E-003,-2.0211513E-004, 0.0000000E+000, 0.0000000E+000, 1.9257646E+000, 2.0608728E+000, 0.0000000E+000, 6.5484800E-005, 0.0000000E+000
