s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007, 6.0413931E-006, 0.0000000E+000,-9.1985973E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3972531E-006, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 5.9069762E-002, 0.0000000E+000,-2.4007315E-007, 1.0205306E-003, 1.8089917E-009,-1.7867906E-005, 0.0000000E+000, 0.0000000E+000,-4.3149515E-006, 6.0072186E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 1.1855052E-001, 0.0000000E+000,-1.4126090E-005, 2.0405445E-003,-2.0196021E-005,-2.6908659E-005, 0.0000000E+000, 0.0000000E+000, 6.0059464E-002, 1.2052983E-001, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.9469123E-001, 0.0000000E+000,-2.6998195E-003, 3.2978714E-003,-7.1215594E-005,-3.5419118E-005, 0.0000000E+000, 0.0000000E+000, 1.2050471E-001, 1.9518265E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 2.8150109E-001, 0.0000000E+000,-6.4807697E-003, 4.7176220E-003,-1.7088541E-004,-4.4303963E-005, 0.0000000E+000, 0.0000000E+000, 1.9514311E-001, 2.7952276E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 3.7700839E-001, 0.0000000E+000,-1.1607894E-002, 6.2611768E-003,-3.3180005E-004,-5.2682687E-005, 0.0000000E+000, 0.0000000E+000, 2.7947291E-001, 3.7127719E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 4.7973231E-001, 0.0000000E+000,-1.8688630E-002, 7.8932584E-003,-5.6713070E-004,-6.1539121E-005, 0.0000000E+000, 0.0000000E+000, 3.7122915E-001, 4.6830827E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 5.8763862E-001, 0.0000000E+000,-2.7640386E-002, 9.5799625E-003,-8.8650498E-004,-7.0533794E-005, 0.0000000E+000, 0.0000000E+000, 4.6827148E-001, 5.6862116E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 7.2727226E-001, 0.0000000E+000,-3.7863692E-002, 1.1790414E-002,-1.2973536E-003,-8.9196610E-005, 0.0000000E+000, 0.0000000E+000, 5.6860215E-001, 6.9981244E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 9.3747457E-001, 0.0000000E+000,-5.1946328E-002, 1.5143717E-002,-1.8232093E-003,-1.1985141E-004, 0.0000000E+000, 0.0000000E+000, 6.9981855E-001, 8.9872890E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 1.1950761E+000, 0.0000000E+000,-7.0852161E-002, 1.9214596E-002,-2.5180553E-003,-1.4938426E-004, 0.0000000E+000, 0.0000000E+000, 8.9875353E-001, 1.1407711E+000, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 1.5044658E+000, 0.0000000E+000,-9.4074827E-002, 2.4089052E-002,-3.4101342E-003,-1.8091431E-004, 0.0000000E+000, 0.0000000E+000, 1.1408361E+000, 1.4308890E+000, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
 1.5273767E+000, 1.8417361E+000, 0.0000000E+000,-1.5741013E-001, 2.8746839E-002,-4.5141723E-003,-2.1286788E-004, 0.0000000E+000, 0.0000000E+000, 1.4310181E+000, 1.7083457E+000, 0.0000000E+000, 3.6544000E-005, 0.0000000E+000
 1.6448672E+000, 2.1888285E+000, 0.0000000E+000,-2.4466276E-001, 3.3159936E-002,-5.7919032E-003,-2.4359549E-004, 0.0000000E+000, 0.0000000E+000, 1.7085758E+000, 1.9712902E+000, 0.0000000E+000, 4.1651200E-005, 0.0000000E+000
 1.7623576E+000, 2.5072408E+000, 0.0000000E+000,-2.8423951E-001, 3.7898680E-002,-7.1615766E-003,-2.7602850E-004, 0.0000000E+000, 0.0000000E+000, 1.9716283E+000, 2.2534624E+000, 0.0000000E+000, 4.7027200E-005, 0.0000000E+000
 1.8798481E+000, 2.7795724E+000, 0.0000000E+000,-3.4334997E-001, 4.1521141E-002,-8.4606994E-003,-3.0696539E-004, 0.0000000E+000, 0.0000000E+000, 2.2539590E+000, 2.4689759E+000, 0.0000000E+000, 5.2134400E-005, 0.0000000E+000
 1.9973387E+000, 3.0190598E+000, 0.0000000E+000,-4.0899960E-001, 4.4478956E-002,-9.4844474E-003,-3.3946853E-004, 0.0000000E+000, 0.0000000E+000, 2.4697176E+000, 2.6447153E+000, 0.0000000E+000, 5.7510400E-005, 0.0000000E+000
 2.1148291E+000, 3.2479483E+000, 0.0000000E+000,-4.6298644E-001, 4.7471090E-002,-1.0069618E-002,-3.8709988E-004, 0.0000000E+000, 0.0000000E+000, 2.6456788E+000, 2.8219762E+000, 0.0000000E+000, 6.5484800E-005, 0.0000000E+000
 2.2323196E+000, 3.4758029E+000, 0.0000000E+000,-5.2245659E-001, 5.0367240E-002,-1.0157309E-002,-4.3758975E-004, 0.0000000E+000, 0.0000000E+000, 2.8230964E+000, 2.9931187E+000, 0.0000000E+000, 7.3932800E-005, 0.0000000E+000
 2.3498101E+000, 3.6970234E+000, 0.0000000E+000,-6.0041123E-001, 5.2861738E-002,-1.0372567E-002,-4.8820039E-004, 0.0000000E+000, 0.0000000E+000, 2.9940960E+000, 3.1386131E+000, 0.0000000E+000, 8.2380800E-005, 0.0000000E+000
 2.4673007E+000, 3.8983060E+000, 0.0000000E+000,-7.0273232E-001, 5.4622403E-002,-1.0323353E-002,-5.3635259E-004, 0.0000000E+000, 0.0000000E+000, 3.1397486E+000, 3.2393363E+000, 0.0000000E+000, 9.0406400E-005, 0.0000000E+000
 2.5847912E+000, 4.0640533E+000, 0.0000000E+000,-7.7038887E-001, 5.6380242E-002,-9.6963718E-003,-5.8673581E-004, 0.0000000E+000, 0.0000000E+000, 3.2409138E+000, 3.3397616E+000, 0.0000000E+000, 9.8854400E-005, 0.0000000E+000
 2.7022817E+000, 4.1719667E+000, 0.0000000E+000,-8.1809421E-001, 5.7504024E-002,-9.2580217E-003,-6.3426957E-004, 0.0000000E+000, 0.0000000E+000, 3.3411054E+000, 3.4014842E+000, 0.0000000E+000, 1.0688000E-004, 0.0000000E+000
 2.7912295E+000, 4.7648580E+000, 0.0000000E+000,-8.1491949E-001, 6.7633573E-002,-9.0321087E-003,-6.7137646E-004, 0.0000000E+000, 0.0000000E+000, 3.4026205E+000, 4.0078686E+000, 0.0000000E+000, 1.1321600E-004, 0.0000000E+000
 2.8801773E+000, 4.8817943E+000, 0.0000000E+000,-8.7352662E-001, 6.8638095E-002,-8.6961884E-003,-7.0830343E-004, 0.0000000E+000, 0.0000000E+000, 4.0093462E+000, 4.0675012E+000, 0.0000000E+000, 1.1955200E-004, 0.0000000E+000
 2.9549868E+000, 5.4737381E+000, 0.0000000E+000,-9.5082067E-001, 7.7392133E-002,-8.2921321E-003,-7.3736589E-004, 0.0000000E+000, 0.0000000E+000, 4.0688511E+000, 4.5912801E+000, 0.0000000E+000, 1.2462080E-004, 0.0000000E+000
 3.0297961E+000, 5.7646315E+000, 0.0000000E+000,-9.2687979E-001, 8.2731537E-002,-8.4767599E-003,-7.7355739E-004, 0.0000000E+000, 0.0000000E+000, 4.5924329E+000, 4.9112329E+000, 0.0000000E+000, 1.3097600E-004, 0.0000000E+000
 3.0951612E+000, 6.2895634E+000, 0.0000000E+000,-8.7716445E-001, 9.2528288E-002,-8.8247349E-003,-8.1046709E-004, 0.0000000E+000, 0.0000000E+000, 4.9123108E+000, 5.4952920E+000, 0.0000000E+000, 1.3752320E-004, 0.0000000E+000
 3.1605263E+000, 6.5740200E+000, 0.0000000E+000,-8.2883791E-001, 9.8168832E-002,-9.4310124E-003,-8.4702341E-004, 0.0000000E+000, 0.0000000E+000, 5.4962731E+000, 5.8330729E+000, 0.0000000E+000, 1.4407040E-004, 0.0000000E+000
