s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-1.7797276E-004, 0.0000000E+000,-1.2896137E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0737834E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 1.6339995E+000, 0.0000000E+000,-4.4363231E-007, 2.8937263E-002, 3.4334225E-009,-2.2278182E-004, 0.0000000E+000, 0.0000000E+000,-4.3525256E-004, 1.6627135E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 9.5734095E-001, 0.0000000E+000,-4.6064400E-002, 1.3694753E-002,-1.0210694E-003,-3.1705017E-004, 0.0000000E+000, 0.0000000E+000, 1.6498947E+000, 9.2363318E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 9.8749653E+000, 0.0000000E+000,-1.1057704E-001, 1.7670727E-001,-1.7343852E-003,-3.6887784E-004, 0.0000000E+000, 0.0000000E+000, 9.2578515E-001, 9.9389923E+000, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 2.6808455E+000, 0.0000000E+000,-3.0329642E-001, 3.4421836E-002,-1.1815992E-002,-6.1106260E-004, 0.0000000E+000, 0.0000000E+000, 9.7174552E+000, 2.3995439E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 2.9819187E+001, 0.0000000E+000,-8.1373077E-001, 4.9808711E-001,-1.3856003E-002,-5.6021068E-004, 0.0000000E+000, 0.0000000E+000, 2.4761711E+000, 2.9489127E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 8.2243359E-001, 1.0516044E+001, 0.0000000E+000,-6.0459975E+000, 7.1568432E-002,-5.7489432E-002,-8.7340569E-004, 0.0000000E+000, 0.0000000E+000, 2.8921516E+001, 4.4832521E+000, 0.0000000E+000, 5.2608000E-004, 0.0000000E+000
 9.3992406E-001, 2.6005964E+001, 0.0000000E+000,-6.0602434E+000, 3.3398181E-001,-4.7917955E-002,-1.0184475E-003, 0.0000000E+000, 0.0000000E+000, 4.5587093E+000, 2.0230766E+001, 0.0000000E+000, 6.0288000E-004, 0.0000000E+000
 1.0316815E+000, 2.5708856E+001, 0.0000000E+000,-9.6238664E+000, 2.7176457E-001,-5.5634697E-002,-1.1232794E-003, 0.0000000E+000, 0.0000000E+000, 2.0189400E+001, 1.6299996E+001, 0.0000000E+000, 6.6048000E-004, 0.0000000E+000
 1.1234391E+000, 2.4297421E+001, 0.0000000E+000,-9.3852700E+000, 2.5365700E-001,-4.8012479E-002,-1.2892215E-003, 0.0000000E+000, 0.0000000E+000, 1.6329015E+001, 1.5116506E+001, 0.0000000E+000, 7.1808000E-004, 0.0000000E+000
 1.1855285E+000, 2.5705394E+001, 0.0000000E+000,-9.0255095E+000, 2.8575270E-001,-4.6986539E-002,-1.3891912E-003, 0.0000000E+000, 0.0000000E+000, 1.5102512E+001, 1.6917261E+001, 0.0000000E+000, 7.6032000E-004, 0.0000000E+000
 1.2416449E+000, 2.4057831E+001, 0.0000000E+000,-8.2333276E+000, 2.7158883E-001,-4.3565266E-002,-1.4627015E-003, 0.0000000E+000, 0.0000000E+000, 1.6896500E+001, 1.6051064E+001, 0.0000000E+000, 7.9488000E-004, 0.0000000E+000
 1.2977612E+000, 2.2836694E+001, 0.0000000E+000,-7.7412934E+000, 2.5939461E-001,-4.0009217E-002,-1.5323109E-003, 0.0000000E+000, 0.0000000E+000, 1.6045451E+001, 1.5313254E+001, 0.0000000E+000, 8.2944000E-004, 0.0000000E+000
 1.3412877E+000, 2.3551114E+001, 0.0000000E+000,-7.2403260E+000, 2.7977707E-001,-3.6570542E-002,-1.5891753E-003, 0.0000000E+000, 0.0000000E+000, 1.5322232E+001, 1.6552406E+001, 0.0000000E+000, 8.6016000E-004, 0.0000000E+000
 1.3848143E+000, 2.3120985E+001, 0.0000000E+000,-6.6154898E+000, 2.8277186E-001,-3.3258592E-002,-1.6369900E-003, 0.0000000E+000, 0.0000000E+000, 1.6550686E+001, 1.6753371E+001, 0.0000000E+000, 8.8704000E-004, 0.0000000E+000
 1.4283408E+000, 2.3079803E+001, 0.0000000E+000,-6.3039578E+000, 2.8718288E-001,-3.0413832E-002,-1.6814322E-003, 0.0000000E+000, 0.0000000E+000, 1.6763344E+001, 1.7030933E+001, 0.0000000E+000, 9.1392000E-004, 0.0000000E+000
 1.4654728E+000, 2.3846721E+001, 0.0000000E+000,-6.0863986E+000, 3.0391195E-001,-2.8316432E-002,-1.7162330E-003, 0.0000000E+000, 0.0000000E+000, 1.7039186E+001, 1.8034202E+001, 0.0000000E+000, 9.3696000E-004, 0.0000000E+000
