s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-3.8144337E-004, 0.0000000E+000,-2.0896864E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9085623E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 2.5284987E+000, 0.0000000E+000,-4.4397126E-007, 4.6445066E-002, 4.3766632E-009,-3.6701698E-004, 0.0000000E+000, 0.0000000E+000,-8.3174357E-004, 2.5745763E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 9.6760224E-001, 0.0000000E+000,-5.6027561E-002, 1.0326100E-002,-1.7385513E-003,-5.5213944E-004, 0.0000000E+000, 0.0000000E+000, 2.5613980E+000, 9.1961009E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 1.9300281E+001, 0.0000000E+000,-1.7995789E-001, 3.4068032E-001,-2.4988320E-003,-6.4289525E-004, 0.0000000E+000, 0.0000000E+000, 9.2982922E-001, 1.9457862E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 6.9012307E+000, 0.0000000E+000,-9.2710836E-001, 9.4321862E-002,-2.5952580E-002,-1.0587385E-003, 0.0000000E+000, 0.0000000E+000, 1.9315307E+001, 6.0414329E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 6.1423477E+001, 0.0000000E+000,-2.0071608E+000, 1.0017761E+000,-3.2664849E-002,-1.0707550E-003, 0.0000000E+000, 0.0000000E+000, 6.4744478E+000, 6.0384357E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 7.8491181E-001, 2.8988944E+001, 0.0000000E+000,-2.8776742E+001, 2.4387746E-002,-1.0226253E-001,-1.4093822E-003, 0.0000000E+000, 0.0000000E+000, 5.9527903E+001, 1.3291773E-001, 0.0000000E+000, 5.0304000E-004, 0.0000000E+000
 8.6488050E-001, 3.2475640E+001, 0.0000000E+000,-1.5270667E+001, 2.9569677E-001,-7.0612778E-002,-1.5986842E-003, 0.0000000E+000, 0.0000000E+000, 1.4851591E-001, 1.7428458E+001, 0.0000000E+000, 5.5296000E-004, 0.0000000E+000
 9.5284611E-001, 2.5441068E+001, 0.0000000E+000,-1.8692910E+001, 1.2382677E-001,-6.8330305E-002,-1.7757092E-003, 0.0000000E+000, 0.0000000E+000, 1.7380792E+001, 6.8018792E+000, 0.0000000E+000, 6.1056000E-004, 0.0000000E+000
 1.0496082E+000, 2.2350134E+001, 0.0000000E+000,-1.4717916E+001, 1.3571180E-001,-5.0232335E-002,-1.9929543E-003, 0.0000000E+000, 0.0000000E+000, 6.7518913E+000, 7.7157041E+000, 0.0000000E+000, 6.7200000E-004, 0.0000000E+000
 1.1284306E+000, 2.2903935E+001, 0.0000000E+000,-1.1905179E+001, 1.8975712E-001,-4.4267820E-002,-2.1583780E-003, 0.0000000E+000, 0.0000000E+000, 7.6571759E+000, 1.1142087E+001, 0.0000000E+000, 7.2192000E-004, 0.0000000E+000
 1.1945415E+000, 2.5016612E+001, 0.0000000E+000,-1.0034872E+001, 2.5571410E-001,-4.0107209E-002,-2.2883528E-003, 0.0000000E+000, 0.0000000E+000, 1.1125068E+001, 1.5195059E+001, 0.0000000E+000, 7.6416000E-004, 0.0000000E+000
 1.2526093E+000, 2.7451937E+001, 0.0000000E+000,-9.6227141E+000, 3.0281195E-001,-3.7938330E-002,-2.4005510E-003, 0.0000000E+000, 0.0000000E+000, 1.5178664E+001, 1.8091696E+001, 0.0000000E+000, 8.0256000E-004, 0.0000000E+000
 1.3022686E+000, 2.9808396E+001, 0.0000000E+000,-9.6726876E+000, 3.4187665E-001,-3.7093090E-002,-2.4867544E-003, 0.0000000E+000, 0.0000000E+000, 1.8085040E+001, 2.0438006E+001, 0.0000000E+000, 8.3328000E-004, 0.0000000E+000
 1.3519279E+000, 3.1275625E+001, 0.0000000E+000,-9.4141547E+000, 3.7066717E-001,-3.6018419E-002,-2.5690620E-003, 0.0000000E+000, 0.0000000E+000, 2.0433300E+001, 2.2193550E+001, 0.0000000E+000, 8.6400000E-004, 0.0000000E+000
 1.3936363E+000, 3.3566140E+001, 0.0000000E+000,-9.8876088E+000, 4.0093736E-001,-3.4954599E-002,-2.6363722E-003, 0.0000000E+000, 0.0000000E+000, 2.2191904E+001, 2.4041878E+001, 0.0000000E+000, 8.9088000E-004, 0.0000000E+000
 1.4353449E+000, 3.4853907E+001, 0.0000000E+000,-1.0521914E+001, 4.1134923E-001,-3.5009950E-002,-2.7000018E-003, 0.0000000E+000, 0.0000000E+000, 2.4042298E+001, 2.4705632E+001, 0.0000000E+000, 9.1776000E-004, 0.0000000E+000
 1.4725441E+000, 3.6488155E+001, 0.0000000E+000,-1.0605871E+001, 4.3736892E-001,-3.5392304E-002,-2.7504308E-003, 0.0000000E+000, 0.0000000E+000, 2.4711779E+001, 2.6281510E+001, 0.0000000E+000, 9.4080000E-004, 0.0000000E+000
