s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-1.8348020E-004, 0.0000000E+000,-2.1028358E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9420800E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 2.7309000E+000, 0.0000000E+000,-4.4359087E-007, 4.9008649E-002, 4.0523135E-009,-3.6286295E-004, 0.0000000E+000, 0.0000000E+000,-5.5784809E-004, 2.7795454E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 1.0481304E+000, 0.0000000E+000,-5.5492648E-002, 1.3569715E-002,-1.8894780E-003,-5.5194133E-004, 0.0000000E+000, 0.0000000E+000, 2.7433259E+000, 1.0037660E+000, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 2.0949401E+001, 0.0000000E+000,-1.5667684E-001, 3.6389127E-001,-2.7242116E-003,-6.1878570E-004, 0.0000000E+000, 0.0000000E+000, 1.0112067E+000, 2.1153273E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 7.6151737E+000, 0.0000000E+000,-8.6202687E-001, 1.0957632E-001,-2.8578701E-002,-1.0767014E-003, 0.0000000E+000, 0.0000000E+000, 2.0918138E+001, 6.8330677E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 6.0273916E+001, 0.0000000E+000,-1.8962651E+000, 9.7591896E-001,-3.6044823E-002,-1.0754978E-003, 0.0000000E+000, 0.0000000E+000, 7.1268104E+000, 5.9316450E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 7.8969365E-001, 2.8809863E+001, 0.0000000E+000,-2.3769866E+001, 9.5794213E-002,-1.0914164E-001,-1.4342197E-003, 0.0000000E+000, 0.0000000E+000, 5.8312908E+001, 5.0252158E+000, 0.0000000E+000, 5.0688000E-004, 0.0000000E+000
 8.7444425E-001, 3.8008651E+001, 0.0000000E+000,-1.3834974E+001, 4.0278065E-001,-7.6369951E-002,-1.6471607E-003, 0.0000000E+000, 0.0000000E+000, 4.8754046E+000, 2.4498441E+001, 0.0000000E+000, 5.6064000E-004, 0.0000000E+000
 9.5364147E-001, 3.8588692E+001, 0.0000000E+000,-1.8889262E+001, 3.3974628E-001,-7.3870292E-002,-1.8184592E-003, 0.0000000E+000, 0.0000000E+000, 2.4501724E+001, 1.9963488E+001, 0.0000000E+000, 6.1056000E-004, 0.0000000E+000
 1.0328387E+000, 3.3415414E+001, 0.0000000E+000,-1.5529720E+001, 3.0742786E-001,-6.4796275E-002,-1.9987908E-003, 0.0000000E+000, 0.0000000E+000, 1.9971157E+001, 1.8126327E+001, 0.0000000E+000, 6.6048000E-004, 0.0000000E+000
 1.0981506E+000, 3.2844554E+001, 0.0000000E+000,-1.3847885E+001, 3.2909746E-001,-5.7633031E-002,-2.1433611E-003, 0.0000000E+000, 0.0000000E+000, 1.8079699E+001, 1.9265990E+001, 0.0000000E+000, 7.0272000E-004, 0.0000000E+000
 1.1536356E+000, 3.2119368E+001, 0.0000000E+000,-1.1711616E+001, 3.5136195E-001,-5.2124558E-002,-2.2543964E-003, 0.0000000E+000, 0.0000000E+000, 1.9249790E+001, 2.0704736E+001, 0.0000000E+000, 7.3728000E-004, 0.0000000E+000
 1.2091206E+000, 3.2469198E+001, 0.0000000E+000,-1.0566448E+001, 3.7501017E-001,-4.7391002E-002,-2.3710048E-003, 0.0000000E+000, 0.0000000E+000, 2.0689024E+001, 2.2227998E+001, 0.0000000E+000, 7.7568000E-004, 0.0000000E+000
 1.2519205E+000, 3.4799085E+001, 0.0000000E+000,-1.0037734E+001, 4.2264941E-001,-4.3543099E-002,-2.4473502E-003, 0.0000000E+000, 0.0000000E+000, 2.2220736E+001, 2.5138010E+001, 0.0000000E+000, 8.0256000E-004, 0.0000000E+000
 1.2947202E+000, 3.4939288E+001, 0.0000000E+000,-9.1903166E+000, 4.3974127E-001,-4.0560470E-002,-2.5204092E-003, 0.0000000E+000, 0.0000000E+000, 2.5133504E+001, 2.6145632E+001, 0.0000000E+000, 8.2944000E-004, 0.0000000E+000
 1.3329666E+000, 3.6369402E+001, 0.0000000E+000,-9.0402540E+000, 4.6568866E-001,-3.7666491E-002,-2.5776399E-003, 0.0000000E+000, 0.0000000E+000, 2.6143416E+001, 2.7754593E+001, 0.0000000E+000, 8.5248000E-004, 0.0000000E+000
 1.3712130E+000, 3.7191737E+001, 0.0000000E+000,-9.0603401E+000, 4.7874404E-001,-3.5459893E-002,-2.6398589E-003, 0.0000000E+000, 0.0000000E+000, 2.7748063E+001, 2.8572042E+001, 0.0000000E+000, 8.7936000E-004, 0.0000000E+000
 1.4034759E+000, 3.8923557E+001, 0.0000000E+000,-8.6544591E+000, 5.1462100E-001,-3.4980194E-002,-2.6778552E-003, 0.0000000E+000, 0.0000000E+000, 2.8572678E+001, 3.0746061E+001, 0.0000000E+000, 8.9856000E-004, 0.0000000E+000
 1.4357388E+000, 3.9301714E+001, 0.0000000E+000,-8.9989272E+000, 5.1378482E-001,-3.6014311E-002,-2.7151053E-003, 0.0000000E+000, 0.0000000E+000, 3.0751607E+001, 3.0777842E+001, 0.0000000E+000, 9.1776000E-004, 0.0000000E+000
 1.4680016E+000, 4.0282285E+001, 0.0000000E+000,-9.4942429E+000, 5.2066660E-001,-3.7511729E-002,-2.7627013E-003, 0.0000000E+000, 0.0000000E+000, 3.0788578E+001, 3.1268434E+001, 0.0000000E+000, 9.4080000E-004, 0.0000000E+000
 1.5002645E+000, 4.1236560E+001, 0.0000000E+000,-9.5145781E+000, 5.3473785E-001,-3.9458704E-002,-2.8020584E-003, 0.0000000E+000, 0.0000000E+000, 3.1285865E+001, 3.2214459E+001, 0.0000000E+000, 9.6000000E-004, 0.0000000E+000
 1.5279055E+000, 4.2455399E+001, 0.0000000E+000,-1.0183475E+001, 5.4255293E-001,-4.1557279E-002,-2.8465679E-003, 0.0000000E+000, 0.0000000E+000, 3.2229203E+001, 3.2770073E+001, 0.0000000E+000, 9.7920000E-004, 0.0000000E+000
 1.5555465E+000, 4.3021987E+001, 0.0000000E+000,-1.1062624E+001, 5.3611728E-001,-4.4510303E-002,-2.8832438E-003, 0.0000000E+000, 0.0000000E+000, 3.2783175E+001, 3.2448088E+001, 0.0000000E+000, 9.9456000E-004, 0.0000000E+000
 1.5831875E+000, 4.3858887E+001, 0.0000000E+000,-1.2019145E+001, 5.3286925E-001,-4.7501927E-002,-2.9324492E-003, 0.0000000E+000, 0.0000000E+000, 3.2464418E+001, 3.2322177E+001, 0.0000000E+000, 1.0137600E-003, 0.0000000E+000
 1.6108284E+000, 4.4701655E+001, 0.0000000E+000,-1.3061741E+001, 5.2883071E-001,-5.0441111E-002,-2.9744828E-003, 0.0000000E+000, 0.0000000E+000, 3.2342765E+001, 3.2115329E+001, 0.0000000E+000, 1.0291200E-003, 0.0000000E+000
 1.6384695E+000, 4.5378304E+001, 0.0000000E+000,-1.4037819E+001, 5.2367855E-001,-5.3356735E-002,-3.0284404E-003, 0.0000000E+000, 0.0000000E+000, 3.2129395E+001, 3.1807778E+001, 0.0000000E+000, 1.0483200E-003, 0.0000000E+000
 1.6661104E+000, 4.6062172E+001, 0.0000000E+000,-1.4654898E+001, 5.2468835E-001,-5.6134552E-002,-3.0831468E-003, 0.0000000E+000, 0.0000000E+000, 3.1819156E+001, 3.1872745E+001, 0.0000000E+000, 1.0675200E-003, 0.0000000E+000
 1.6937513E+000, 4.6729860E+001, 0.0000000E+000,-1.5384322E+001, 5.2366424E-001,-5.8750078E-002,-3.1282837E-003, 0.0000000E+000, 0.0000000E+000, 3.1879717E+001, 3.1807325E+001, 0.0000000E+000, 1.0828800E-003, 0.0000000E+000
 1.7213923E+000, 4.7415326E+001, 0.0000000E+000,-1.6094450E+001, 5.2358812E-001,-6.1029155E-002,-3.1839213E-003, 0.0000000E+000, 0.0000000E+000, 3.1811125E+001, 3.1780251E+001, 0.0000000E+000, 1.1020800E-003, 0.0000000E+000
 1.7490333E+000, 4.8085910E+001, 0.0000000E+000,-1.6073160E+001, 5.3518894E-001,-6.2911812E-002,-3.2397734E-003, 0.0000000E+000, 0.0000000E+000, 3.1787201E+001, 3.2481787E+001, 0.0000000E+000, 1.1212800E-003, 0.0000000E+000
 1.7766743E+000, 4.8667737E+001, 0.0000000E+000,-1.6393283E+001, 5.4006675E-001,-6.4444625E-002,-3.2857866E-003, 0.0000000E+000, 0.0000000E+000, 3.2482106E+001, 3.2746791E+001, 0.0000000E+000, 1.1366400E-003, 0.0000000E+000
 1.8043152E+000, 4.9245176E+001, 0.0000000E+000,-1.6526638E+001, 5.4779391E-001,-6.5683960E-002,-3.3424365E-003, 0.0000000E+000, 0.0000000E+000, 3.2752150E+001, 3.3197306E+001, 0.0000000E+000, 1.1558400E-003, 0.0000000E+000
 1.8319563E+000, 4.9865029E+001, 0.0000000E+000,-1.6194252E+001, 5.6392582E-001,-6.6574765E-002,-3.3892076E-003, 0.0000000E+000, 0.0000000E+000, 3.3206244E+001, 3.4164739E+001, 0.0000000E+000, 1.1712000E-003, 0.0000000E+000
 1.8595972E+000, 5.0499556E+001, 0.0000000E+000,-1.5954277E+001, 5.7857440E-001,-6.7264002E-002,-3.4465018E-003, 0.0000000E+000, 0.0000000E+000, 3.4174175E+001, 3.5053143E+001, 0.0000000E+000, 1.1904000E-003, 0.0000000E+000
 1.8872381E+000, 5.1264939E+001, 0.0000000E+000,-1.5953301E+001, 5.9130991E-001,-6.7778128E-002,-3.5038761E-003, 0.0000000E+000, 0.0000000E+000, 3.5068163E+001, 3.5831666E+001, 0.0000000E+000, 1.2096000E-003, 0.0000000E+000
 1.9110576E+000, 5.2686663E+001, 0.0000000E+000,-1.5871692E+001, 6.1561468E-001,-6.8138042E-002,-3.5499657E-003, 0.0000000E+000, 0.0000000E+000, 3.5850597E+001, 3.7358897E+001, 0.0000000E+000, 1.2249600E-003, 0.0000000E+000
 1.9348769E+000, 5.3214200E+001, 0.0000000E+000,-1.6239102E+001, 6.1798050E-001,-6.8366354E-002,-3.5858463E-003, 0.0000000E+000, 0.0000000E+000, 3.7372957E+001, 3.7521126E+001, 0.0000000E+000, 1.2364800E-003, 0.0000000E+000
 1.9586962E+000, 5.3948610E+001, 0.0000000E+000,-1.6351608E+001, 6.2829834E-001,-6.8692417E-002,-3.6315118E-003, 0.0000000E+000, 0.0000000E+000, 3.7535479E+001, 3.8152977E+001, 0.0000000E+000, 1.2518400E-003, 0.0000000E+000
 1.9825157E+000, 5.4708046E+001, 0.0000000E+000,-1.6200611E+001, 6.4311842E-001,-6.8855838E-002,-3.6772439E-003, 0.0000000E+000, 0.0000000E+000, 3.8168147E+001, 3.9078020E+001, 0.0000000E+000, 1.2672000E-003, 0.0000000E+000
 2.0063350E+000, 5.5305645E+001, 0.0000000E+000,-1.6309035E+001, 6.5128074E-001,-6.9105656E-002,-3.7229474E-003, 0.0000000E+000, 0.0000000E+000, 3.9088823E+001, 3.9575062E+001, 0.0000000E+000, 1.2825600E-003, 0.0000000E+000
 2.0301545E+000, 5.5881418E+001, 0.0000000E+000,-1.6447184E+001, 6.5846810E-001,-6.9385584E-002,-3.7681896E-003, 0.0000000E+000, 0.0000000E+000, 3.9586248E+001, 4.0019549E+001, 0.0000000E+000, 1.2979200E-003, 0.0000000E+000
 2.0514445E+000, 5.6917730E+001, 0.0000000E+000,-1.6358426E+001, 6.7705599E-001,-6.9598806E-002,-3.8125510E-003, 0.0000000E+000, 0.0000000E+000, 4.0020807E+001, 4.1162949E+001, 0.0000000E+000, 1.3132800E-003, 0.0000000E+000
 2.0727348E+000, 5.7323075E+001, 0.0000000E+000,-1.6549097E+001, 6.7976490E-001,-6.9820784E-002,-3.8467902E-003, 0.0000000E+000, 0.0000000E+000, 4.1170007E+001, 4.1380074E+001, 0.0000000E+000, 1.3248000E-003, 0.0000000E+000
 2.0940249E+000, 5.7829279E+001, 0.0000000E+000,-1.6605125E+001, 6.8579539E-001,-7.0124375E-002,-3.8908974E-003, 0.0000000E+000, 0.0000000E+000, 4.1392843E+001, 4.1835935E+001, 0.0000000E+000, 1.3401600E-003, 0.0000000E+000
 2.1153152E+000, 5.8411674E+001, 0.0000000E+000,-1.6520433E+001, 6.7413689E-001,-7.0335457E-002,-3.9348878E-003, 0.0000000E+000, 0.0000000E+000, 4.1842448E+001, 4.2491108E+001, 0.0000000E+000, 1.3555200E-003, 0.0000000E+000
 2.1366053E+000, 5.8955036E+001, 0.0000000E+000,-1.6563641E+001, 4.9763093E-001,-7.0599473E-002,-3.9685212E-003, 0.0000000E+000, 0.0000000E+000, 4.2438074E+001, 4.2814458E+001, 0.0000000E+000, 1.3670400E-003, 0.0000000E+000
 2.1578953E+000, 5.9513171E+001, 0.0000000E+000,-1.6622705E+001,-1.6812308E-001,-7.0900691E-002,-4.0120587E-003, 0.0000000E+000, 0.0000000E+000, 4.2524156E+001, 4.2647430E+001, 0.0000000E+000, 1.3824000E-003, 0.0000000E+000
 2.1791856E+000, 6.0097998E+001, 0.0000000E+000,-1.6665773E+001,-1.7141293E+000,-7.1181982E-002,-4.0449265E-003, 0.0000000E+000, 0.0000000E+000, 4.1863013E+001, 4.1642869E+001, 0.0000000E+000, 1.3939200E-003, 0.0000000E+000
 2.2004757E+000, 6.0689994E+001, 0.0000000E+000,-1.6974052E+001,-4.4447611E+000,-7.1458522E-002,-4.0877376E-003, 0.0000000E+000, 0.0000000E+000, 4.0339091E+001, 3.9195635E+001, 0.0000000E+000, 1.4092800E-003, 0.0000000E+000
 2.2217660E+000, 6.1270983E+001, 0.0000000E+000,-1.7143453E+001,-8.2700781E+000,-7.1754898E-002,-4.1199805E-003, 0.0000000E+000, 0.0000000E+000, 3.7305330E+001, 3.5781577E+001, 0.0000000E+000, 1.4208000E-003, 0.0000000E+000
 2.2430561E+000, 6.1859056E+001, 0.0000000E+000,-1.7209373E+001,-1.2895172E+001,-7.2068335E-002,-4.1620873E-003, 0.0000000E+000, 0.0000000E+000, 3.3449046E+001, 3.1678281E+001, 0.0000000E+000, 1.4361600E-003, 0.0000000E+000
 2.2643464E+000, 6.2442661E+001, 0.0000000E+000,-1.7463108E+001,-1.7726315E+001,-7.2401799E-002,-4.1936074E-003, 0.0000000E+000, 0.0000000E+000, 2.9090728E+001, 2.7176643E+001, 0.0000000E+000, 1.4476800E-003, 0.0000000E+000
 2.2856364E+000, 6.3011593E+001, 0.0000000E+000,-1.7561017E+001,-2.2578275E+001,-7.2735403E-002,-4.2350040E-003, 0.0000000E+000, 0.0000000E+000, 2.4562879E+001, 2.2795331E+001, 0.0000000E+000, 1.4630400E-003, 0.0000000E+000
 2.3069265E+000, 6.3581354E+001, 0.0000000E+000,-1.7556205E+001,-2.7263515E+001,-7.3114545E-002,-4.2657893E-003, 0.0000000E+000, 0.0000000E+000, 2.0234305E+001, 1.8684254E+001, 0.0000000E+000, 1.4745600E-003, 0.0000000E+000
 2.3282168E+000, 6.4150496E+001, 0.0000000E+000,-1.7595458E+001,-3.1650269E+001,-7.3516507E-002,-4.3064059E-003, 0.0000000E+000, 0.0000000E+000, 1.6291610E+001, 1.4826945E+001, 0.0000000E+000, 1.4899200E-003, 0.0000000E+000
 2.3495069E+000, 6.4725392E+001, 0.0000000E+000,-1.7741646E+001,-3.5414875E+001,-7.3958056E-002,-4.3466703E-003, 0.0000000E+000, 0.0000000E+000, 1.2711366E+001, 1.1490567E+001, 0.0000000E+000, 1.5052800E-003, 0.0000000E+000
 2.3707972E+000, 6.5303931E+001, 0.0000000E+000,-1.7822431E+001,-3.8304291E+001,-7.4422631E-002,-4.3764124E-003, 0.0000000E+000, 0.0000000E+000, 9.7785880E+000, 9.0984096E+000, 0.0000000E+000, 1.5168000E-003, 0.0000000E+000
 2.3920872E+000, 6.5884767E+001, 0.0000000E+000,-1.8075778E+001,-4.0298086E+001,-7.4945906E-002,-4.4159422E-003, 0.0000000E+000, 0.0000000E+000, 7.8397845E+000, 7.4315409E+000, 0.0000000E+000, 1.5321600E-003, 0.0000000E+000
 2.4133775E+000, 6.6460365E+001, 0.0000000E+000,-1.8395136E+001,-4.1646987E+001,-7.5569717E-002,-4.4450254E-003, 0.0000000E+000, 0.0000000E+000, 6.6312600E+000, 6.3382282E+000, 0.0000000E+000, 1.5436800E-003, 0.0000000E+000
 2.4346676E+000, 6.7053789E+001, 0.0000000E+000,-1.8595995E+001,-4.2630479E+001,-7.6520278E-002,-4.4839021E-003, 0.0000000E+000, 0.0000000E+000, 5.7793526E+000, 5.7463113E+000, 0.0000000E+000, 1.5590400E-003, 0.0000000E+000
 2.4559579E+000, 6.7665270E+001, 0.0000000E+000,-1.8855016E+001,-4.3716867E+001,-7.7341873E-002,-4.5124344E-003, 0.0000000E+000, 0.0000000E+000, 5.0744903E+000, 5.0115324E+000, 0.0000000E+000, 1.5705600E-003, 0.0000000E+000
 2.4772480E+000, 6.8287722E+001, 0.0000000E+000,-1.9060454E+001,-4.5007354E+001,-7.8239644E-002,-4.5509278E-003, 0.0000000E+000, 0.0000000E+000, 4.2447881E+000, 4.1371234E+000, 0.0000000E+000, 1.5859200E-003, 0.0000000E+000
 2.4985380E+000, 6.8925272E+001, 0.0000000E+000,-1.9165432E+001,-4.6356804E+001,-7.9359901E-002,-4.5792433E-003, 0.0000000E+000, 0.0000000E+000, 3.3345910E+000, 3.3190977E+000, 0.0000000E+000, 1.5974400E-003, 0.0000000E+000
 2.5198283E+000, 6.9561782E+001, 0.0000000E+000,-1.9498009E+001,-4.7495825E+001,-8.0402121E-002,-4.6176380E-003, 0.0000000E+000, 0.0000000E+000, 2.5720822E+000, 2.4829285E+000, 0.0000000E+000, 1.6128000E-003, 0.0000000E+000
 2.5411184E+000, 7.0210230E+001, 0.0000000E+000,-1.9717629E+001,-4.8247542E+001,-1.0842716E-001,-4.6560637E-003, 0.0000000E+000, 0.0000000E+000, 1.8608724E+000, 2.1319755E+000, 0.0000000E+000, 1.6281600E-003, 0.0000000E+000
 2.5624087E+000, 7.0868145E+001, 0.0000000E+000,-1.9834318E+001,-4.8563557E+001,-1.3258378E-001,-4.6845335E-003, 0.0000000E+000, 0.0000000E+000, 1.8450208E+000, 2.3330018E+000, 0.0000000E+000, 1.6396800E-003, 0.0000000E+000
 2.5836987E+000, 7.1518568E+001, 0.0000000E+000,-2.0224306E+001,-4.8527744E+001,-1.3301471E-001,-4.7230984E-003, 0.0000000E+000, 0.0000000E+000, 2.2404802E+000, 2.6287797E+000, 0.0000000E+000, 1.6550400E-003, 0.0000000E+000
 2.6049891E+000, 7.2182282E+001, 0.0000000E+000,-2.0491630E+001,-4.8111592E+001,-1.3286147E-001,-4.7518219E-003, 0.0000000E+000, 0.0000000E+000, 2.7027008E+000, 3.4414460E+000, 0.0000000E+000, 1.6665600E-003, 0.0000000E+000
 2.6262791E+000, 7.2856371E+001, 0.0000000E+000,-2.0629889E+001,-4.7707909E+001,-1.3244894E-001,-4.7906614E-003, 0.0000000E+000, 0.0000000E+000, 3.5898716E+000, 4.3813330E+000, 0.0000000E+000, 1.6819200E-003, 0.0000000E+000
 2.6475692E+000, 7.3510293E+001, 0.0000000E+000,-2.0978588E+001,-4.7391624E+001,-1.4202601E-001,-4.8197019E-003, 0.0000000E+000, 0.0000000E+000, 4.5324537E+000, 4.9932364E+000, 0.0000000E+000, 1.6934400E-003, 0.0000000E+000
 2.6688595E+000, 7.4178475E+001, 0.0000000E+000,-2.1230132E+001,-4.7047873E+001,-1.4166778E-001,-4.8589130E-003, 0.0000000E+000, 0.0000000E+000, 5.2376005E+000, 5.7539441E+000, 0.0000000E+000, 1.7088000E-003, 0.0000000E+000
 2.6901495E+000, 7.4839911E+001, 0.0000000E+000,-2.1215130E+001,-4.6848897E+001,-1.2072471E-001,-4.8883139E-003, 0.0000000E+000, 0.0000000E+000, 5.8998108E+000, 6.6502722E+000, 0.0000000E+000, 1.7203200E-003, 0.0000000E+000
 2.7114398E+000, 7.5480335E+001, 0.0000000E+000,-2.1360319E+001,-4.6756814E+001,-1.4281639E-001,-4.9279070E-003, 0.0000000E+000, 0.0000000E+000, 6.6979446E+000, 7.2154577E+000, 0.0000000E+000, 1.7356800E-003, 0.0000000E+000
 2.7327299E+000, 7.6119744E+001, 0.0000000E+000,-2.1605675E+001,-4.6625725E+001,-1.4443418E-001,-4.9579397E-003, 0.0000000E+000, 0.0000000E+000, 7.2541900E+000, 7.7389525E+000, 0.0000000E+000, 1.7472000E-003, 0.0000000E+000
 2.7540202E+000, 7.6774372E+001, 0.0000000E+000,-2.1699817E+001,-4.6393306E+001,-1.4662697E-001,-4.9980772E-003, 0.0000000E+000, 0.0000000E+000, 7.8072198E+000, 8.5296235E+000, 0.0000000E+000, 1.7625600E-003, 0.0000000E+000
 2.7753103E+000, 7.7425696E+001, 0.0000000E+000,-2.1939411E+001,-4.6182628E+001,-1.5495273E-001,-5.0384862E-003, 0.0000000E+000, 0.0000000E+000, 8.6414338E+000, 9.1436665E+000, 0.0000000E+000, 1.7779200E-003, 0.0000000E+000
 2.7966006E+000, 7.8089963E+001, 0.0000000E+000,-2.2208739E+001,-4.5917705E+001,-1.5489343E-001,-5.0695405E-003, 0.0000000E+000, 0.0000000E+000, 9.2817607E+000, 9.8035564E+000, 0.0000000E+000, 1.7894400E-003, 0.0000000E+000
 2.8178906E+000, 7.8803073E+001, 0.0000000E+000,-2.2169380E+001,-4.5663584E+001,-1.5459202E-001,-5.1107350E-003, 0.0000000E+000, 0.0000000E+000, 9.9704990E+000, 1.0810406E+001, 0.0000000E+000, 1.8048000E-003, 0.0000000E+000
 2.8391807E+000, 7.9482843E+001, 0.0000000E+000,-2.2356782E+001,-4.5091149E+001,-1.5402561E-001,-5.1423821E-003, 0.0000000E+000, 0.0000000E+000, 1.1120949E+001, 1.1875744E+001, 0.0000000E+000, 1.8163200E-003, 0.0000000E+000
 2.8604710E+000, 8.0156353E+001, 0.0000000E+000,-2.2634714E+001,-4.4305047E+001,-1.5314988E-001,-5.1842341E-003, 0.0000000E+000, 0.0000000E+000, 1.2259441E+001, 1.3058258E+001, 0.0000000E+000, 1.8316800E-003, 0.0000000E+000
 2.8817611E+000, 8.0845349E+001, 0.0000000E+000,-2.2544413E+001,-4.3581899E+001,-1.5203230E-001,-5.2162886E-003, 0.0000000E+000, 0.0000000E+000, 1.3481518E+001, 1.4561789E+001, 0.0000000E+000, 1.8432000E-003, 0.0000000E+000
 2.9030514E+000, 8.1472399E+001, 0.0000000E+000,-2.2680922E+001,-4.3101787E+001,-1.4534346E-001,-5.2582255E-003, 0.0000000E+000, 0.0000000E+000, 1.4900721E+001, 1.5539088E+001, 0.0000000E+000, 1.8585600E-003, 0.0000000E+000
 2.9243414E+000, 8.2081907E+001, 0.0000000E+000,-2.2747257E+001,-4.3232113E+001,-1.3970582E-001,-5.2904314E-003, 0.0000000E+000, 0.0000000E+000, 1.5699452E+001, 1.5957541E+001, 0.0000000E+000, 1.8700800E-003, 0.0000000E+000
 2.9456317E+000, 8.2695019E+001, 0.0000000E+000,-2.2551152E+001,-4.3829267E+001,-1.3902604E-001,-5.3321091E-003, 0.0000000E+000, 0.0000000E+000, 1.5759894E+001, 1.6170242E+001, 0.0000000E+000, 1.8854400E-003, 0.0000000E+000
 2.9669218E+000, 8.3269038E+001, 0.0000000E+000,-2.2667575E+001,-4.5032852E+001,-1.5291563E-001,-5.3637348E-003, 0.0000000E+000, 0.0000000E+000, 1.5633527E+001, 1.5410331E+001, 0.0000000E+000, 1.8969600E-003, 0.0000000E+000
 2.9882119E+000, 8.3835676E+001, 0.0000000E+000,-2.2735313E+001,-4.6565286E+001,-1.5160530E-001,-5.4049571E-003, 0.0000000E+000, 0.0000000E+000, 1.4637958E+001, 1.4378067E+001, 0.0000000E+000, 1.9123200E-003, 0.0000000E+000
 3.0095022E+000, 8.4449972E+001, 0.0000000E+000,-2.2800802E+001,-4.8182792E+001,-1.3144755E-001,-5.4457176E-003, 0.0000000E+000, 0.0000000E+000, 1.3503111E+001, 1.3329485E+001, 0.0000000E+000, 1.9276800E-003, 0.0000000E+000
 3.0307922E+000, 8.5086050E+001, 0.0000000E+000,-2.3051214E+001,-4.9650633E+001,-1.3047554E-001,-5.4765796E-003, 0.0000000E+000, 0.0000000E+000, 1.2447127E+001, 1.2248251E+001, 0.0000000E+000, 1.9392000E-003, 0.0000000E+000
 3.0520825E+000, 8.5716758E+001, 0.0000000E+000,-2.3240767E+001,-5.0358225E+001,-1.2972339E-001,-5.5171745E-003, 0.0000000E+000, 0.0000000E+000, 1.1726118E+001, 1.1982525E+001, 0.0000000E+000, 1.9545600E-003, 0.0000000E+000
 3.0733726E+000, 8.6356803E+001, 0.0000000E+000,-2.3284900E+001,-5.0243827E+001,-1.4572465E-001,-5.5479138E-003, 0.0000000E+000, 0.0000000E+000, 1.1827875E+001, 1.2676804E+001, 0.0000000E+000, 1.9660800E-003, 0.0000000E+000
 3.0946629E+000, 8.6999886E+001, 0.0000000E+000,-2.3472101E+001,-4.9270221E+001,-1.6156529E-001,-5.5883539E-003, 0.0000000E+000, 0.0000000E+000, 1.2941088E+001, 1.4090410E+001, 0.0000000E+000, 1.9814400E-003, 0.0000000E+000
 3.1159530E+000, 8.7588232E+001, 0.0000000E+000,-2.3725006E+001,-4.7731891E+001,-1.5840555E-001,-5.6187096E-003, 0.0000000E+000, 0.0000000E+000, 1.4773113E+001, 1.5967310E+001, 0.0000000E+000, 1.9929600E-003, 0.0000000E+000
 3.1372433E+000, 8.8176643E+001, 0.0000000E+000,-2.3774024E+001,-4.5908809E+001,-1.5487765E-001,-5.6583200E-003, 0.0000000E+000, 0.0000000E+000, 1.6838351E+001, 1.8333273E+001, 0.0000000E+000, 2.0083200E-003, 0.0000000E+000
