s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-2.2113786E-004, 0.0000000E+000,-8.3673019E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0525510E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 1.7187099E+000, 0.0000000E+000,-4.4373021E-007, 3.0329849E-002, 4.1808005E-009,-1.4526844E-004, 0.0000000E+000, 0.0000000E+000,-4.3154803E-004, 1.7488941E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 9.5668170E-001, 0.0000000E+000,-5.1820294E-002, 1.3363206E-002,-1.0865142E-003,-2.0843180E-004, 0.0000000E+000, 0.0000000E+000, 1.7368408E+000, 9.1692967E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 1.0791964E+001, 0.0000000E+000,-1.2480159E-001, 1.9306877E-001,-1.8003851E-003,-2.4330530E-004, 0.0000000E+000, 0.0000000E+000, 9.1937105E-001, 1.0858188E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 2.7769381E+000, 0.0000000E+000,-3.4093749E-001, 3.5031322E-002,-1.3083460E-002,-4.0098999E-004, 0.0000000E+000, 0.0000000E+000, 1.0648272E+001, 2.4575475E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 3.2131798E+001, 0.0000000E+000,-8.4840505E-001, 5.3538350E-001,-1.5083175E-002,-3.7515849E-004, 0.0000000E+000, 0.0000000E+000, 2.5429252E+000, 3.1803318E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 8.2243359E-001, 1.1387785E+001, 0.0000000E+000,-7.2169770E+000, 6.6387252E-002,-6.2988381E-002,-5.6335911E-004, 0.0000000E+000, 0.0000000E+000, 3.1252168E+001, 4.1736434E+000, 0.0000000E+000, 5.2608000E-004, 0.0000000E+000
 9.3992406E-001, 2.7215310E+001, 0.0000000E+000,-6.5426752E+000, 3.4470921E-001,-4.9568431E-002,-6.6728832E-004, 0.0000000E+000, 0.0000000E+000, 4.2267263E+000, 2.0967108E+001, 0.0000000E+000, 6.0288000E-004, 0.0000000E+000
