s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-2.0674313E-004, 0.0000000E+000,-7.2462896E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7956149E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 1.7174665E+000, 0.0000000E+000,-3.5502947E-007, 3.1176166E-002, 1.8455094E-009,-1.1706767E-004, 0.0000000E+000, 0.0000000E+000,-4.3106897E-004, 1.7485252E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 8.8975953E-001, 0.0000000E+000,-3.4207533E-002, 1.1916149E-002,-1.2057520E-003,-1.8967190E-004, 0.0000000E+000, 0.0000000E+000, 1.7171158E+000, 8.6607272E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 1.2674251E+001, 0.0000000E+000,-1.5477662E-001, 2.1854411E-001,-1.9516176E-003,-1.9834641E-004, 0.0000000E+000, 0.0000000E+000, 8.7109796E-001, 1.2735869E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 5.1441291E+000, 0.0000000E+000,-6.4499456E-001, 7.2181000E-002,-1.7654044E-002,-3.9849196E-004, 0.0000000E+000, 0.0000000E+000, 1.2590445E+001, 4.5532630E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 3.0046209E+001, 0.0000000E+000,-1.5492998E+000, 4.7313499E-001,-2.2245552E-002,-4.2201766E-004, 0.0000000E+000, 0.0000000E+000, 4.7027296E+000, 2.8947377E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 8.2243359E-001, 1.7328573E+001, 0.0000000E+000,-1.8671010E+001,-1.5674989E-002,-6.5520647E-002,-5.0621194E-004, 0.0000000E+000, 0.0000000E+000, 2.8388557E+001,-1.4241395E+000, 0.0000000E+000, 5.2608000E-004, 0.0000000E+000
 9.0224624E-001, 2.6781353E+001, 0.0000000E+000,-6.2831835E+000, 3.4501389E-001,-3.0624926E-002,-6.5920517E-004, 0.0000000E+000, 0.0000000E+000,-1.9817906E+000, 2.0811899E+001, 0.0000000E+000, 5.7600000E-004, 0.0000000E+000
