s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-3.3177744E-004, 0.0000000E+000,-2.0530562E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3752727E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 2.6815776E+000, 0.0000000E+000,-4.4387850E-007, 4.8903897E-002, 4.4641163E-009,-3.5913710E-004, 0.0000000E+000, 0.0000000E+000,-7.5742751E-004, 2.7301219E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 9.8693153E-001, 0.0000000E+000,-5.5083189E-002, 1.1023873E-002,-1.8627695E-003,-5.4404635E-004, 0.0000000E+000, 0.0000000E+000, 2.7105316E+000, 9.4046540E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 2.0822056E+001, 0.0000000E+000,-1.8512276E-001, 3.6533315E-001,-2.6415434E-003,-6.2727628E-004, 0.0000000E+000, 0.0000000E+000, 9.5059180E-001, 2.0998997E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 7.4392511E+000, 0.0000000E+000,-9.2001122E-001, 1.0379665E-001,-2.8405893E-002,-1.0467711E-003, 0.0000000E+000, 0.0000000E+000, 2.0816373E+001, 6.5935839E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 6.3960075E+001, 0.0000000E+000,-2.0210802E+000, 1.0372609E+000,-3.5585138E-002,-1.0560734E-003, 0.0000000E+000, 0.0000000E+000, 7.0083041E+000, 6.2939615E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 7.7850711E-001, 3.3278382E+001, 0.0000000E+000,-2.0955004E+001, 2.1345410E-001,-1.0384224E-001,-1.3908196E-003, 0.0000000E+000, 0.0000000E+000, 6.1896940E+001, 1.2431599E+001, 0.0000000E+000, 4.9920000E-004, 0.0000000E+000
 8.5207123E-001, 3.8354555E+001, 0.0000000E+000,-1.7434319E+001, 3.5520387E-001,-8.8783909E-002,-1.5428599E-003, 0.0000000E+000, 0.0000000E+000, 1.2410398E+001, 2.1185113E+001, 0.0000000E+000, 5.4528000E-004, 0.0000000E+000
 9.3299168E-001, 3.6295987E+001, 0.0000000E+000,-1.8451561E+001, 3.0952822E-001,-7.8243889E-002,-1.7133206E-003, 0.0000000E+000, 0.0000000E+000, 2.1166630E+001, 1.8073997E+001, 0.0000000E+000, 5.9520000E-004, 0.0000000E+000
 1.0082455E+000, 3.1412474E+001, 0.0000000E+000,-1.8107736E+001, 2.3503925E-001,-6.7531908E-002,-1.8874201E-003, 0.0000000E+000, 0.0000000E+000, 1.8021425E+001, 1.3470358E+001, 0.0000000E+000, 6.4512000E-004, 0.0000000E+000
 1.0834992E+000, 2.5871355E+001, 0.0000000E+000,-1.4227040E+001, 2.0492693E-001,-5.7761762E-002,-2.0569764E-003, 0.0000000E+000, 0.0000000E+000, 1.3432480E+001, 1.1789423E+001, 0.0000000E+000, 6.9504000E-004, 0.0000000E+000
 1.1430063E+000, 2.7498513E+001, 0.0000000E+000,-1.1570768E+001, 2.7535046E-001,-4.7579107E-002,-2.1745167E-003, 0.0000000E+000, 0.0000000E+000, 1.1769235E+001, 1.6153342E+001, 0.0000000E+000, 7.3344000E-004, 0.0000000E+000
