s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-3.2564680E-004, 0.0000000E+000,-2.0529615E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3138717E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 2.8452686E+000, 0.0000000E+000,-4.4326819E-007, 5.1373658E-002, 2.8965601E-009,-3.3565941E-004, 0.0000000E+000, 0.0000000E+000,-7.5761426E-004, 2.8963062E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.3677859E+000, 0.0000000E+000,-5.9927721E-002, 1.8275521E-002,-1.9731206E-003,-5.1423714E-004, 0.0000000E+000, 0.0000000E+000, 2.8465233E+000, 1.3236463E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 1.9806453E+001, 0.0000000E+000,-2.3757925E-001, 3.4304837E-001,-3.0948305E-003,-5.3816514E-004, 0.0000000E+000, 0.0000000E+000, 1.3325876E+000, 1.9908289E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 7.8590485E+000, 0.0000000E+000,-9.6715583E-001, 1.1067578E-001,-2.7082159E-002,-1.0622722E-003, 0.0000000E+000, 0.0000000E+000, 1.9669621E+001, 6.9744240E+000, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 5.0859910E+001, 0.0000000E+000,-2.6318885E+000, 8.0790361E-001,-3.4661844E-002,-1.0152297E-003, 0.0000000E+000, 0.0000000E+000, 7.2574466E+000, 4.9000248E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 8.1068450E-001, 2.3540149E+001, 0.0000000E+000,-2.5696503E+001,-2.3854719E-002,-1.0602572E-001,-1.4070431E-003, 0.0000000E+000, 0.0000000E+000, 4.7935057E+001,-2.2876413E+000, 0.0000000E+000, 9.0720000E-004, 0.0000000E+000
 9.1642600E-001, 4.0645205E+001, 0.0000000E+000,-1.0686267E+001, 4.9645178E-001,-5.3989747E-002,-1.7695025E-003, 0.0000000E+000, 0.0000000E+000,-2.4009522E+000, 3.0399630E+001, 0.0000000E+000, 1.0281600E-003, 0.0000000E+000
 9.9375504E-001, 3.9408077E+001, 0.0000000E+000,-1.9168024E+001, 3.5059927E-001,-6.3086026E-002,-1.9403459E-003, 0.0000000E+000, 0.0000000E+000, 3.0276115E+001, 2.0525626E+001, 0.0000000E+000, 1.1155200E-003, 0.0000000E+000
 1.0710841E+000, 3.7067038E+001, 0.0000000E+000,-1.3866217E+001, 3.9330217E-001,-5.7472535E-002,-2.1431648E-003, 0.0000000E+000, 0.0000000E+000, 2.0571580E+001, 2.3534508E+001, 0.0000000E+000, 1.2028800E-003, 0.0000000E+000
 1.1296142E+000, 3.7197800E+001, 0.0000000E+000,-1.4305570E+001, 3.9279839E-001,-5.3409208E-002,-2.2679879E-003, 0.0000000E+000, 0.0000000E+000, 2.3466393E+001, 2.3229351E+001, 0.0000000E+000, 1.2633600E-003, 0.0000000E+000
 1.1881442E+000, 3.5663913E+001, 0.0000000E+000,-1.2290032E+001, 4.0040552E-001,-4.9757307E-002,-2.4015116E-003, 0.0000000E+000, 0.0000000E+000, 2.3222302E+001, 2.3722128E+001, 0.0000000E+000, 1.3305600E-003, 0.0000000E+000
 1.2359947E+000, 3.7357447E+001, 0.0000000E+000,-1.1628448E+001, 4.3906735E-001,-4.6844464E-002,-2.4964412E-003, 0.0000000E+000, 0.0000000E+000, 2.3688977E+001, 2.6118726E+001, 0.0000000E+000, 1.3843200E-003, 0.0000000E+000
 1.2782216E+000, 3.7887890E+001, 0.0000000E+000,-1.1210194E+001, 4.5573532E-001,-4.4267594E-002,-2.5733031E-003, 0.0000000E+000, 0.0000000E+000, 2.6099147E+001, 2.7086590E+001, 0.0000000E+000, 1.4313600E-003, 0.0000000E+000
 1.3204484E+000, 3.7982418E+001, 0.0000000E+000,-1.0184892E+001, 4.7495841E-001,-4.1368351E-002,-2.6426370E-003, 0.0000000E+000, 0.0000000E+000, 2.7078880E+001, 2.8228474E+001, 0.0000000E+000, 1.4784000E-003, 0.0000000E+000
 1.3580037E+000, 3.9162952E+001, 0.0000000E+000,-9.9001393E+000, 4.9850470E-001,-3.8417288E-002,-2.6920859E-003, 0.0000000E+000, 0.0000000E+000, 2.8220044E+001, 2.9720208E+001, 0.0000000E+000, 1.5187200E-003, 0.0000000E+000
 1.3916324E+000, 4.0314375E+001, 0.0000000E+000,-9.7775139E+000, 5.2015887E-001,-3.6202590E-002,-2.7345605E-003, 0.0000000E+000, 0.0000000E+000, 2.9708825E+001, 3.1018083E+001, 0.0000000E+000, 1.5590400E-003, 0.0000000E+000
