s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-3.2159264E-004, 0.0000000E+000,-1.6531190E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8726001E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 2.8253976E+000, 0.0000000E+000,-3.5465264E-007, 5.2671430E-002, 2.5267019E-009,-2.4666545E-004, 0.0000000E+000, 0.0000000E+000,-7.5187173E-004, 2.8778220E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.3988303E+000, 0.0000000E+000,-4.3837460E-002, 1.8400639E-002,-2.1661471E-003,-4.7530197E-004, 0.0000000E+000, 0.0000000E+000, 2.7861661E+000, 1.3707521E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 2.1004752E+001, 0.0000000E+000,-2.5222030E-001, 3.6407689E-001,-3.4465100E-003,-3.7626879E-004, 0.0000000E+000, 0.0000000E+000, 1.3868236E+000, 2.1112786E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 9.5386858E+000, 0.0000000E+000,-2.4048794E+000, 1.1303391E-001,-3.1998346E-002,-1.0017807E-003, 0.0000000E+000, 0.0000000E+000, 2.0473663E+001, 7.2138402E+000, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 4.3683586E+001, 0.0000000E+000,-5.2113207E+000, 6.1968964E-001,-3.6588744E-002,-1.1143033E-003, 0.0000000E+000, 0.0000000E+000, 7.5148593E+000, 3.9054252E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 7.8502136E-001, 3.8769010E+001, 0.0000000E+000,-3.1941959E+001, 1.4662461E-001,-7.8231642E-002,-1.3030437E-003, 0.0000000E+000, 0.0000000E+000, 3.8041558E+001, 6.8941414E+000, 0.0000000E+000, 8.8032000E-004, 0.0000000E+000
 8.6509967E-001, 3.7994370E+001, 0.0000000E+000,-9.1661945E+000, 4.8530486E-001,-3.3889405E-002,-1.6698485E-003, 0.0000000E+000, 0.0000000E+000, 6.3803368E+000, 2.9277921E+001, 0.0000000E+000, 9.6768000E-004, 0.0000000E+000
