s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-5.8918532E-004, 0.0000000E+000,-2.7383877E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6337955E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 4.6923097E+000, 0.0000000E+000,-3.5499018E-007, 9.4774358E-002, 1.8559235E-009,-4.2918584E-004, 0.0000000E+000, 0.0000000E+000,-1.3248935E-003, 4.7866545E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.4717231E+000, 0.0000000E+000,-4.8752373E-002, 1.3149715E-002,-4.1356512E-003,-8.8300602E-004, 0.0000000E+000, 0.0000000E+000, 4.7239771E+000, 1.4311018E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 4.0179098E+001, 0.0000000E+000,-2.3410336E-001, 6.8796397E-001,-5.4771626E-003,-6.0623010E-004, 0.0000000E+000, 0.0000000E+000, 1.4930899E+000, 4.0626875E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.2016276E-001, 2.3563702E+001, 0.0000000E+000,-2.2586707E+000, 3.4593348E-001,-3.2376226E-002,-1.6151987E-003, 0.0000000E+000, 0.0000000E+000, 4.0107655E+001, 2.1616973E+001, 0.0000000E+000, 5.8464000E-004, 0.0000000E+000
 5.7538360E-001, 3.2940373E+001, 0.0000000E+000,-6.9709844E+000, 4.1243788E-001,-4.7504048E-002,-1.5501296E-003, 0.0000000E+000, 0.0000000E+000, 2.1802862E+001, 2.6332773E+001, 0.0000000E+000, 6.4512000E-004, 0.0000000E+000
 6.3612652E-001, 4.3024923E+001, 0.0000000E+000,-1.9108043E+001, 3.8417545E-001,-6.7570726E-002,-1.7317445E-003, 0.0000000E+000, 0.0000000E+000, 2.6647832E+001, 2.4231752E+001, 0.0000000E+000, 7.1232000E-004, 0.0000000E+000
 7.0294374E-001, 4.2958863E+001, 0.0000000E+000,-2.7299759E+001, 2.7123568E-001,-7.0810374E-002,-2.0391548E-003, 0.0000000E+000, 0.0000000E+000, 2.3614414E+001, 1.5857491E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 7.7644265E-001, 4.2462143E+001, 0.0000000E+000,-1.5228138E+001, 4.6010084E-001,-4.7429221E-002,-2.3791815E-003, 0.0000000E+000, 0.0000000E+000, 1.5678181E+001, 2.7644297E+001, 0.0000000E+000, 8.6688000E-004, 0.0000000E+000
 8.3828229E-001, 4.5229986E+001, 0.0000000E+000,-2.0819756E+001, 4.1168372E-001,-4.5285542E-002,-2.6339024E-003, 0.0000000E+000, 0.0000000E+000, 2.7369362E+001, 2.4773994E+001, 0.0000000E+000, 9.4080000E-004, 0.0000000E+000
 8.9361918E-001, 4.4093450E+001, 0.0000000E+000,-2.4078623E+001, 3.5289741E-001,-4.4295875E-002,-2.8480280E-003, 0.0000000E+000, 0.0000000E+000, 2.4587919E+001, 2.0320580E+001, 0.0000000E+000, 1.0012800E-003, 0.0000000E+000
 9.3513155E-001, 4.7913251E+001, 0.0000000E+000,-1.8384041E+001, 4.9846366E-001,-4.4368503E-002,-2.9966756E-003, 0.0000000E+000, 0.0000000E+000, 2.0405878E+001, 2.9980308E+001, 0.0000000E+000, 1.0483200E-003, 0.0000000E+000
 9.7664398E-001, 4.6636417E+001, 0.0000000E+000,-2.0499999E+001, 4.4520770E-001,-3.9103476E-002,-3.1179295E-003, 0.0000000E+000, 0.0000000E+000, 2.9835455E+001, 2.6539404E+001, 0.0000000E+000, 1.0953600E-003, 0.0000000E+000
 1.0129137E+000, 4.9974649E+001, 0.0000000E+000,-1.8884896E+001, 5.2612067E-001,-3.7725798E-002,-3.2253557E-003, 0.0000000E+000, 0.0000000E+000, 2.6508920E+001, 3.1574923E+001, 0.0000000E+000, 1.1356800E-003, 0.0000000E+000
 1.0491835E+000, 4.9695274E+001, 0.0000000E+000,-1.8645285E+001, 5.2607011E-001,-3.5064175E-002,-3.3135377E-003, 0.0000000E+000, 0.0000000E+000, 3.1547308E+001, 3.1537681E+001, 0.0000000E+000, 1.1760000E-003, 0.0000000E+000
 1.0802478E+000, 5.2334977E+001, 0.0000000E+000,-1.8544333E+001, 5.7001601E-001,-3.4309919E-002,-3.3827197E-003, 0.0000000E+000, 0.0000000E+000, 3.1529751E+001, 3.4322967E+001, 0.0000000E+000, 1.2096000E-003, 0.0000000E+000
 1.1113119E+000, 5.2519396E+001, 0.0000000E+000,-1.8980515E+001, 5.6679268E-001,-3.3296426E-002,-3.4443431E-003, 0.0000000E+000, 0.0000000E+000, 3.4288215E+001, 3.4068933E+001, 0.0000000E+000, 1.2432000E-003, 0.0000000E+000
 1.1423762E+000, 5.3560908E+001, 0.0000000E+000,-1.8527219E+001, 5.8709348E-001,-3.3229004E-002,-3.5047632E-003, 0.0000000E+000, 0.0000000E+000, 3.4091283E+001, 3.5584049E+001, 0.0000000E+000, 1.2768000E-003, 0.0000000E+000
 1.1691756E+000, 5.5184324E+001, 0.0000000E+000,-1.9439290E+001, 5.9783847E-001,-3.2926011E-002,-3.5700811E-003, 0.0000000E+000, 0.0000000E+000, 3.5587578E+001, 3.6306377E+001, 0.0000000E+000, 1.3104000E-003, 0.0000000E+000
 1.1959751E+000, 5.5849868E+001, 0.0000000E+000,-2.0756834E+001, 5.8609955E-001,-3.4063058E-002,-3.6191976E-003, 0.0000000E+000, 0.0000000E+000, 3.6288192E+001, 3.5641452E+001, 0.0000000E+000, 1.3372800E-003, 0.0000000E+000
 1.2227744E+000, 5.6957418E+001, 0.0000000E+000,-2.1383208E+001, 5.9126834E-001,-3.6173258E-002,-3.6870371E-003, 0.0000000E+000, 0.0000000E+000, 3.5627404E+001, 3.6125618E+001, 0.0000000E+000, 1.3708800E-003, 0.0000000E+000
 1.2495738E+000, 5.7909586E+001, 0.0000000E+000,-2.2918875E+001, 5.8053054E-001,-3.8836356E-002,-3.7426730E-003, 0.0000000E+000, 0.0000000E+000, 3.6140963E+001, 3.5528663E+001, 0.0000000E+000, 1.3977600E-003, 0.0000000E+000
 1.2729185E+000, 5.9424652E+001, 0.0000000E+000,-2.4436110E+001, 5.7933131E-001,-4.1127305E-002,-3.8047119E-003, 0.0000000E+000, 0.0000000E+000, 3.5524673E+001, 3.5522941E+001, 0.0000000E+000, 1.4246400E-003, 0.0000000E+000
 1.2962630E+000, 6.0028051E+001, 0.0000000E+000,-2.5262873E+001, 5.7584378E-001,-4.3093458E-002,-3.8674817E-003, 0.0000000E+000, 0.0000000E+000, 3.5502210E+001, 3.5294060E+001, 0.0000000E+000, 1.4515200E-003, 0.0000000E+000
 1.3196076E+000, 6.0918530E+001, 0.0000000E+000,-2.6682928E+001, 5.6726704E-001,-4.4571834E-002,-3.9339087E-003, 0.0000000E+000, 0.0000000E+000, 3.5269787E+001, 3.4754364E+001, 0.0000000E+000, 1.4784000E-003, 0.0000000E+000
 1.3429521E+000, 6.1980262E+001, 0.0000000E+000,-2.7951316E+001, 5.6371141E-001,-4.5674682E-002,-4.0029533E-003, 0.0000000E+000, 0.0000000E+000, 3.4725971E+001, 3.4542980E+001, 0.0000000E+000, 1.5052800E-003, 0.0000000E+000
