s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-6.0647068E-007, 0.0000000E+000,-1.2289521E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1908851E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 1.3936156E-002, 0.0000000E+000,-3.5534549E-007, 2.3756939E-004, 2.1526569E-009,-2.3918175E-006, 0.0000000E+000, 0.0000000E+000,-3.3281529E-006, 1.4170981E-002, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 2.9354506E-002, 0.0000000E+000,-3.4278204E-006, 5.0086807E-004,-4.7497721E-006,-3.6110233E-006, 0.0000000E+000, 0.0000000E+000, 1.4165131E-002, 2.9843586E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 4.6175400E-002, 0.0000000E+000,-1.0542154E-005, 7.8792913E-004,-1.4874899E-005,-4.7644722E-006, 0.0000000E+000, 0.0000000E+000, 2.9831090E-002, 4.6933148E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 6.4177755E-002, 0.0000000E+000,-1.4832586E-003, 1.0697938E-003,-3.4685443E-005,-5.9738271E-006, 0.0000000E+000, 0.0000000E+000, 4.6907321E-002, 6.3723631E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 8.3392187E-002, 0.0000000E+000,-3.1532361E-003, 1.3688644E-003,-6.5341223E-005,-7.1185343E-006, 0.0000000E+000, 0.0000000E+000, 6.3680666E-002, 8.1535356E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 1.0325251E-001, 0.0000000E+000,-5.3242459E-003, 1.6699763E-003,-1.0815835E-004,-8.3208909E-006, 0.0000000E+000, 0.0000000E+000, 8.1468860E-002, 9.9481765E-002, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 1.2402447E-001, 0.0000000E+000,-7.9118964E-003, 1.9792815E-003,-1.6423602E-004,-9.5244964E-006, 0.0000000E+000, 0.0000000E+000, 9.9385789E-002, 1.1791810E-001, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
 1.0574145E+000, 1.4999391E-001, 0.0000000E+000,-1.0631898E-002, 2.3743634E-003,-2.3459072E-004,-1.1774742E-005, 0.0000000E+000, 0.0000000E+000, 1.1778606E-001, 1.4149001E-001, 0.0000000E+000, 3.7376000E-006, 0.0000000E+000
 1.1749051E+000, 1.8900363E-001, 0.0000000E+000,-1.4203945E-002, 2.9770184E-003,-3.2319240E-004,-1.5314421E-005, 0.0000000E+000, 0.0000000E+000, 1.4131206E-001, 1.7743819E-001, 0.0000000E+000, 4.8896000E-006, 0.0000000E+000
 1.2923956E+000, 2.3889667E-001, 0.0000000E+000,-1.8754953E-002, 3.7480804E-003,-4.3913483E-004,-1.8706582E-005, 0.0000000E+000, 0.0000000E+000, 1.7719825E-001, 2.2343195E-001, 0.0000000E+000, 5.9840000E-006, 0.0000000E+000
 1.4098861E+000, 2.9615493E-001, 0.0000000E+000,-2.3965315E-002, 4.6320325E-003,-5.9027963E-004,-2.2311545E-005, 0.0000000E+000, 0.0000000E+000, 2.2311132E-001, 2.7620906E-001, 0.0000000E+000, 7.1360000E-006, 0.0000000E+000
 1.5273767E+000, 3.5979025E-001, 0.0000000E+000,-3.1400757E-002, 5.5862109E-003,-7.8131338E-004,-2.5949983E-005, 0.0000000E+000, 0.0000000E+000, 2.7578972E-001, 3.3316844E-001, 0.0000000E+000, 8.2880000E-006, 0.0000000E+000
 1.6448672E+000, 4.2323396E-001, 0.0000000E+000,-4.0468940E-002, 6.5083590E-003,-1.0134338E-003,-2.9439240E-005, 0.0000000E+000, 0.0000000E+000, 3.3263016E-001, 3.8823051E-001, 0.0000000E+000, 9.3824000E-006, 0.0000000E+000
 1.7623576E+000, 4.8515010E-001, 0.0000000E+000,-4.9655841E-002, 7.4020005E-003,-1.2775408E-003,-3.3125479E-005, 0.0000000E+000, 0.0000000E+000, 3.8756302E-001, 4.4158559E-001, 0.0000000E+000, 1.0534400E-005, 0.0000000E+000
 1.8798481E+000, 5.4199818E-001, 0.0000000E+000,-6.1525961E-002, 8.1633435E-003,-1.5619133E-003,-3.6647201E-005, 0.0000000E+000, 0.0000000E+000, 4.4077861E-001, 4.8703700E-001, 0.0000000E+000, 1.1628800E-005, 0.0000000E+000
 1.9973387E+000, 5.9365218E-001, 0.0000000E+000,-1.0987990E-001, 8.2138131E-003,-1.8436931E-003,-4.0354940E-005, 0.0000000E+000, 0.0000000E+000, 4.8609359E-001, 4.9010204E-001, 0.0000000E+000, 1.2780800E-005, 0.0000000E+000
 2.1148291E+000, 6.5669503E-001, 0.0000000E+000,-1.3631762E-001, 8.8344397E-003,-2.0990277E-003,-4.7243212E-005, 0.0000000E+000, 0.0000000E+000, 4.8903736E-001, 5.2706559E-001, 0.0000000E+000, 1.4950400E-005, 0.0000000E+000
 2.2323196E+000, 7.2492743E-001, 0.0000000E+000,-1.4692463E-001, 9.8140365E-003,-2.3243359E-003,-5.4565315E-005, 0.0000000E+000, 0.0000000E+000, 5.2588196E-001, 5.8543793E-001, 0.0000000E+000, 1.7254400E-005, 0.0000000E+000
 2.3498101E+000, 7.9994079E-001, 0.0000000E+000,-1.6013588E-001, 1.0864763E-002,-2.5108864E-003,-6.1896440E-005, 0.0000000E+000, 0.0000000E+000, 5.8415500E-001, 6.4809688E-001, 0.0000000E+000, 1.9558400E-005, 0.0000000E+000
 2.4673007E+000, 8.8227644E-001, 0.0000000E+000,-1.6977065E-001, 1.2103159E-002,-2.6451609E-003,-6.8876336E-005, 0.0000000E+000, 0.0000000E+000, 6.4675221E-001, 7.2189492E-001, 0.0000000E+000, 2.1747200E-005, 0.0000000E+000
 2.5847912E+000, 9.6554992E-001, 0.0000000E+000,-1.8455050E-001, 1.3271064E-002,-2.7214325E-003,-7.6225107E-005, 0.0000000E+000, 0.0000000E+000, 7.2051520E-001, 7.9147284E-001, 0.0000000E+000, 2.4051200E-005, 0.0000000E+000
 2.7022817E+000, 1.0467037E+000, 0.0000000E+000,-2.0154589E-001, 1.4368228E-002,-2.7304700E-003,-8.3219187E-005, 0.0000000E+000, 0.0000000E+000, 7.9009146E-001, 8.5671235E-001, 0.0000000E+000, 2.6240000E-005, 0.0000000E+000
 2.8197722E+000, 1.1244370E+000, 0.0000000E+000,-2.1069161E-001, 1.5545454E-002,-2.6686499E-003,-9.0578601E-005, 0.0000000E+000, 0.0000000E+000, 8.5536031E-001, 9.2653166E-001, 0.0000000E+000, 2.8544000E-005, 0.0000000E+000
 2.9372628E+000, 1.1967170E+000, 0.0000000E+000,-2.3546401E-001, 1.6363289E-002,-2.6229146E-003,-9.7935126E-005, 0.0000000E+000, 0.0000000E+000, 9.2517190E-001, 9.7489539E-001, 0.0000000E+000, 3.0848000E-005, 0.0000000E+000
 3.0547533E+000, 1.2660883E+000, 0.0000000E+000,-2.5682558E-001, 1.7184900E-002,-2.6459088E-003,-1.0600511E-004, 0.0000000E+000, 0.0000000E+000, 9.7351931E-001, 1.0236957E+000, 0.0000000E+000, 3.3382400E-005, 0.0000000E+000
 3.1722438E+000, 1.3414384E+000, 0.0000000E+000,-2.9660315E-001, 1.7796359E-002,-2.6671501E-003,-1.1574712E-004, 0.0000000E+000, 0.0000000E+000, 1.0222732E+000, 1.0598488E+000, 0.0000000E+000, 3.6454400E-005, 0.0000000E+000
 3.2897344E+000, 1.4300126E+000, 0.0000000E+000,-3.1837881E-001, 1.8938386E-002,-2.6561835E-003,-1.2497602E-004, 0.0000000E+000, 0.0000000E+000, 1.0584226E+000, 1.1277910E+000, 0.0000000E+000, 3.9372800E-005, 0.0000000E+000
 3.4072249E+000, 1.5387427E+000, 0.0000000E+000,-3.2148643E-001, 2.0736568E-002,-2.6355053E-003,-1.3464208E-004, 0.0000000E+000, 0.0000000E+000, 1.1263821E+000, 1.2352227E+000, 0.0000000E+000, 4.2444800E-005, 0.0000000E+000
 3.5094023E+000, 1.7771142E+000, 0.0000000E+000,-3.1782965E-001, 2.4864350E-002,-2.6288549E-003,-1.4278723E-004, 0.0000000E+000, 0.0000000E+000, 1.2339017E+000, 1.4813772E+000, 0.0000000E+000, 4.5056000E-005, 0.0000000E+000
 3.6115799E+000, 1.9111344E+000, 0.0000000E+000,-3.3244745E-001, 2.6883934E-002,-2.7295625E-003,-1.5088071E-004, 0.0000000E+000, 0.0000000E+000, 1.4799309E+000, 1.6026904E+000, 0.0000000E+000, 4.7667200E-005, 0.0000000E+000
 3.7009284E+000, 2.1359748E+000, 0.0000000E+000,-3.7149120E-001, 3.0053275E-002,-2.8419896E-003,-1.5796750E-004, 0.0000000E+000, 0.0000000E+000, 1.6013178E+000, 1.7915370E+000, 0.0000000E+000, 4.9971200E-005, 0.0000000E+000
 3.7902768E+000, 2.2454711E+000, 0.0000000E+000,-4.0941979E-001, 3.1262132E-002,-3.0349234E-003,-1.6501701E-004, 0.0000000E+000, 0.0000000E+000, 1.7899547E+000, 1.8641135E+000, 0.0000000E+000, 5.2275200E-005, 0.0000000E+000
 3.8796253E+000, 2.3821637E+000, 0.0000000E+000,-4.1566687E-001, 3.3478541E-002,-3.2443602E-003,-1.7204069E-004, 0.0000000E+000, 0.0000000E+000, 1.8624600E+000, 1.9965590E+000, 0.0000000E+000, 5.4579200E-005, 0.0000000E+000
 3.9689736E+000, 2.5050535E+000, 0.0000000E+000,-4.5505028E-001, 3.4889926E-002,-3.5383294E-003,-1.7857953E-004, 0.0000000E+000, 0.0000000E+000, 1.9947417E+000, 2.0811762E+000, 0.0000000E+000, 5.6729600E-005, 0.0000000E+000
 4.0447502E+000, 2.6927087E+000, 0.0000000E+000,-4.8422473E-001, 3.7591425E-002,-3.8477731E-003,-1.8554655E-004, 0.0000000E+000, 0.0000000E+000, 2.0791791E+000, 2.2420421E+000, 0.0000000E+000, 5.9008000E-005, 0.0000000E+000
 4.1205268E+000, 2.7382228E+000, 0.0000000E+000,-5.2755806E-001, 3.7601191E-002,-4.2404033E-003,-1.9317616E-004, 0.0000000E+000, 0.0000000E+000, 2.2398002E+000, 2.2438323E+000, 0.0000000E+000, 6.1504000E-005, 0.0000000E+000
 4.1963029E+000, 2.8411041E+000, 0.0000000E+000,-5.6320099E-001, 3.8734972E-002,-4.5956833E-003,-2.0023361E-004, 0.0000000E+000, 0.0000000E+000, 2.2414795E+000, 2.3118422E+000, 0.0000000E+000, 6.3808000E-005, 0.0000000E+000
 4.2720795E+000, 2.9379199E+000, 0.0000000E+000,-5.9799788E-001, 3.9780265E-002,-4.9435713E-003,-2.0792430E-004, 0.0000000E+000, 0.0000000E+000, 2.3093053E+000, 2.3745508E+000, 0.0000000E+000, 6.6304000E-005, 0.0000000E+000
 4.3478560E+000, 3.0380456E+000, 0.0000000E+000,-6.5029242E-001, 4.0589176E-002,-5.2508831E-003,-2.1566541E-004, 0.0000000E+000, 0.0000000E+000, 2.3718551E+000, 2.4228758E+000, 0.0000000E+000, 6.8800000E-005, 0.0000000E+000
 4.4236326E+000, 3.1340947E+000, 0.0000000E+000,-7.0450319E-001, 4.1298048E-002,-5.5024179E-003,-2.2287490E-004, 0.0000000E+000, 0.0000000E+000, 2.4200205E+000, 2.4651643E+000, 0.0000000E+000, 7.1104000E-005, 0.0000000E+000
 4.4905014E+000, 3.2860368E+000, 0.0000000E+000,-7.3629298E-001, 4.3351685E-002,-5.6731091E-003,-2.2953246E-004, 0.0000000E+000, 0.0000000E+000, 2.4621785E+000, 2.5871929E+000, 0.0000000E+000, 7.3216000E-005, 0.0000000E+000
 4.5573707E+000, 3.3146482E+000, 0.0000000E+000,-7.7770751E-001, 4.3126465E-002,-5.8280076E-003,-2.3679093E-004, 0.0000000E+000, 0.0000000E+000, 2.5840562E+000, 2.5740024E+000, 0.0000000E+000, 7.5520000E-005, 0.0000000E+000
 4.6242394E+000, 3.3790114E+000, 0.0000000E+000,-8.1839575E-001, 4.3537108E-002,-5.8984744E-003,-2.4347281E-004, 0.0000000E+000, 0.0000000E+000, 2.5708392E+000, 2.5980108E+000, 0.0000000E+000, 7.7632000E-005, 0.0000000E+000
 4.6911087E+000, 3.4376452E+000, 0.0000000E+000,-8.2980973E-001, 4.4347093E-002,-5.9678408E-003,-2.5015695E-004, 0.0000000E+000, 0.0000000E+000, 2.5947192E+000, 2.6459646E+000, 0.0000000E+000, 7.9744000E-005, 0.0000000E+000
 4.7579775E+000, 3.4967986E+000, 0.0000000E+000,-8.5027969E-001, 4.5007093E-002,-6.0740219E-003,-2.5682937E-004, 0.0000000E+000, 0.0000000E+000, 2.6425460E+000, 2.6851951E+000, 0.0000000E+000, 8.1856000E-005, 0.0000000E+000
 4.8248463E+000, 3.5643219E+000, 0.0000000E+000,-8.7021062E-001, 4.5818120E-002,-6.1609358E-003,-2.6348633E-004, 0.0000000E+000, 0.0000000E+000, 2.6816917E+000, 2.7335049E+000, 0.0000000E+000, 8.3968000E-005, 0.0000000E+000
 4.8917155E+000, 3.6389139E+000, 0.0000000E+000,-8.8955494E-001, 4.6760736E-002,-6.2213552E-003,-2.7012821E-004, 0.0000000E+000, 0.0000000E+000, 2.7299560E+000, 2.7896283E+000, 0.0000000E+000, 8.6080000E-005, 0.0000000E+000
 4.9513783E+000, 3.8046985E+000, 0.0000000E+000,-9.4229471E-001, 4.8688988E-002,-6.2690919E-003,-2.7613967E-004, 0.0000000E+000, 0.0000000E+000, 2.7860212E+000, 2.9045476E+000, 0.0000000E+000, 8.8000000E-005, 0.0000000E+000
 5.0110416E+000, 3.8538942E+000, 0.0000000E+000,-1.0088374E+000, 4.8379688E-002,-6.3209273E-003,-2.8234119E-004, 0.0000000E+000, 0.0000000E+000, 2.9009016E+000, 2.8868332E+000, 0.0000000E+000, 8.9984000E-005, 0.0000000E+000
 5.0707045E+000, 3.9339162E+000, 0.0000000E+000,-9.9715614E-001, 4.9934666E-002,-6.3633217E-003,-2.8950985E-004, 0.0000000E+000, 0.0000000E+000, 2.8831802E+000, 2.9800419E+000, 0.0000000E+000, 9.2288000E-005, 0.0000000E+000
