s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-7.8524814E-007, 0.0000000E+000,-7.5394580E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7792429E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 8.1249622E-003, 0.0000000E+000,-2.4008876E-007, 1.3829378E-004, 2.1499195E-009,-1.4687809E-006, 0.0000000E+000, 0.0000000E+000,-1.9847564E-006, 8.2615492E-003, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 1.7109459E-002, 0.0000000E+000,-2.0249026E-006, 2.9178967E-004,-2.7727206E-006,-2.2195776E-006, 0.0000000E+000, 0.0000000E+000, 8.2594990E-003, 1.7394232E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 2.7117789E-002, 0.0000000E+000,-6.1550921E-006, 4.6280710E-004,-8.5852865E-006,-2.9313221E-006, 0.0000000E+000, 0.0000000E+000, 1.7391248E-002, 2.7562924E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 3.7557903E-002, 0.0000000E+000,-1.2731059E-005, 6.4113622E-004,-1.7769022E-005,-3.6790021E-006, 0.0000000E+000, 0.0000000E+000, 2.7559422E-002, 3.8164860E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 4.8166169E-002, 0.0000000E+000,-2.1422601E-005, 8.2226631E-004,-3.1160163E-005,-4.3878138E-006, 0.0000000E+000, 0.0000000E+000, 3.8160577E-002, 4.8931465E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 5.8902570E-002, 0.0000000E+000,-3.3259855E-005, 1.0054014E-003,-5.1853491E-005,-5.1323913E-006, 0.0000000E+000, 0.0000000E+000, 4.8925227E-002, 5.9817726E-002, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 6.9911983E-002, 0.0000000E+000,-4.7865990E-005, 1.1930802E-003,-7.9155862E-005,-5.8755083E-006, 0.0000000E+000, 0.0000000E+000, 5.9811710E-002, 7.0972166E-002, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
 1.0574145E+000, 8.3723690E-002, 0.0000000E+000,-6.4084070E-005, 1.4281139E-003,-1.1376478E-004,-7.2711989E-006, 0.0000000E+000, 0.0000000E+000, 7.0969322E-002, 8.4966683E-002, 0.0000000E+000, 3.7376000E-006, 0.0000000E+000
 1.1749051E+000, 1.0464031E-001, 0.0000000E+000,-8.5445440E-005, 1.7841163E-003,-1.5735150E-004,-9.4839130E-006, 0.0000000E+000, 0.0000000E+000, 8.4964276E-002, 1.0617214E-001, 0.0000000E+000, 4.8896000E-006, 0.0000000E+000
 1.2923956E+000, 1.3156799E-001, 0.0000000E+000,-2.7274564E-003, 2.1983313E-003,-2.1463975E-004,-1.1573543E-005, 0.0000000E+000, 0.0000000E+000, 1.0616888E-001, 1.3081265E-001, 0.0000000E+000, 5.9840000E-006, 0.0000000E+000
 1.4098861E+000, 1.6262561E-001, 0.0000000E+000,-5.7077565E-003, 2.6771218E-003,-2.8857862E-004,-1.3764805E-005, 0.0000000E+000, 0.0000000E+000, 1.3081595E-001, 1.5929263E-001, 0.0000000E+000, 7.1360000E-006, 0.0000000E+000
 1.5273767E+000, 1.9669169E-001, 0.0000000E+000,-9.3469008E-003, 3.1958880E-003,-3.8239382E-004,-1.5966612E-005, 0.0000000E+000, 0.0000000E+000, 1.5929903E-001, 1.9014231E-001, 0.0000000E+000, 8.2880000E-006, 0.0000000E+000
 1.6448672E+000, 2.3173171E-001, 0.0000000E+000,-1.3572926E-002, 3.7210031E-003,-4.9842106E-004,-1.8061363E-005, 0.0000000E+000, 0.0000000E+000, 1.9015590E-001, 2.2136331E-001, 0.0000000E+000, 9.3824000E-006, 0.0000000E+000
 1.7623576E+000, 2.6756623E-001, 0.0000000E+000,-1.8039357E-002, 4.2551535E-003,-6.3823348E-004,-2.0260525E-005, 0.0000000E+000, 0.0000000E+000, 2.2138570E-001, 2.5312353E-001, 0.0000000E+000, 1.0534400E-005, 0.0000000E+000
 1.8798481E+000, 3.0370789E-001, 0.0000000E+000,-2.3428315E-002, 4.7787095E-003,-7.9996103E-004,-2.2352411E-005, 0.0000000E+000, 0.0000000E+000, 2.5316222E-001, 2.8423597E-001, 0.0000000E+000, 1.1628800E-005, 0.0000000E+000
 1.9973387E+000, 3.3988824E-001, 0.0000000E+000,-2.9401087E-002, 5.2925477E-003,-9.8275333E-004,-2.4564111E-005, 0.0000000E+000, 0.0000000E+000, 2.8429627E-001, 3.1477238E-001, 0.0000000E+000, 1.2780800E-005, 0.0000000E+000
 2.1148291E+000, 3.8440637E-001, 0.0000000E+000,-3.5169306E-002, 5.9510606E-003,-1.1855733E-003,-2.8709805E-005, 0.0000000E+000, 0.0000000E+000, 3.1485600E-001, 3.5397384E-001, 0.0000000E+000, 1.4950400E-005, 0.0000000E+000
 2.2323196E+000, 4.3931202E-001, 0.0000000E+000,-4.2322263E-002, 6.7636359E-003,-1.4078720E-003,-3.3132041E-005, 0.0000000E+000, 0.0000000E+000, 3.5408267E-001, 4.0231239E-001, 0.0000000E+000, 1.7254400E-005, 0.0000000E+000
 2.3498101E+000, 4.9984043E-001, 0.0000000E+000,-5.0374025E-002, 7.6564675E-003,-1.6550435E-003,-3.7576986E-005, 0.0000000E+000, 0.0000000E+000, 4.0244875E-001, 4.5543025E-001, 0.0000000E+000, 1.9558400E-005, 0.0000000E+000
