s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-1.2903923E-006, 0.0000000E+000,-1.1904919E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8363466E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 1.3595728E-002, 0.0000000E+000,-3.5534670E-007, 2.3069251E-004, 2.1524068E-009,-2.3169758E-006, 0.0000000E+000, 0.0000000E+000,-4.3226980E-006, 1.3823751E-002, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 2.8650360E-002, 0.0000000E+000,-3.3472296E-006, 4.8737578E-004,-4.6334906E-006,-3.4980616E-006, 0.0000000E+000, 0.0000000E+000, 1.3817649E-002, 2.9126257E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 4.5044755E-002, 0.0000000E+000,-1.5239205E-003, 7.4092040E-004,-1.4487994E-005,-4.6154834E-006, 0.0000000E+000, 0.0000000E+000, 2.9113679E-002, 4.4242652E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 6.2709068E-002, 0.0000000E+000,-3.1960108E-003, 1.0133243E-003,-3.2968839E-005,-5.7871066E-006, 0.0000000E+000, 0.0000000E+000, 4.4217802E-002, 6.0487626E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 8.1133951E-002, 0.0000000E+000,-5.3041050E-003, 1.2910957E-003,-6.1766751E-005,-6.8961147E-006, 0.0000000E+000, 0.0000000E+000, 6.0446248E-002, 7.7052278E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 1.0035551E-001, 0.0000000E+000,-8.1054643E-003, 1.5702206E-003,-1.0181603E-004,-8.0607914E-006, 0.0000000E+000, 0.0000000E+000, 7.6989125E-002, 9.3710391E-002, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 1.2045552E-001, 0.0000000E+000,-1.1472117E-002, 1.8545011E-003,-1.5403867E-004,-9.2262663E-006, 0.0000000E+000, 0.0000000E+000, 9.3619699E-002, 1.1067464E-001, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
 1.0574145E+000, 1.4558844E-001, 0.0000000E+000,-1.4994591E-002, 2.2208838E-003,-2.1928886E-004,-1.1408353E-005, 0.0000000E+000, 0.0000000E+000, 1.1054984E-001, 1.3258403E-001, 0.0000000E+000, 3.7376000E-006, 0.0000000E+000
 1.1749051E+000, 1.8310916E-001, 0.0000000E+000,-1.9676622E-002, 2.7779562E-003,-3.0116898E-004,-1.4836490E-005, 0.0000000E+000, 0.0000000E+000, 1.3241561E-001, 1.6589449E-001, 0.0000000E+000, 4.8896000E-006, 0.0000000E+000
 1.2923956E+000, 2.3146507E-001, 0.0000000E+000,-2.5629577E-002, 3.4980128E-003,-4.0833773E-004,-1.8114325E-005, 0.0000000E+000, 0.0000000E+000, 1.6566958E-001, 2.0890705E-001, 0.0000000E+000, 5.9840000E-006, 0.0000000E+000
 1.4098861E+000, 2.8694895E-001, 0.0000000E+000,-3.2437429E-002, 4.3232380E-003,-5.4779224E-004,-2.1599917E-005, 0.0000000E+000, 0.0000000E+000, 2.0860931E-001, 2.5826537E-001, 0.0000000E+000, 7.1360000E-006, 0.0000000E+000
 1.5273767E+000, 3.4896052E-001, 0.0000000E+000,-4.2221608E-002, 5.2087927E-003,-7.2486242E-004,-2.5118669E-005, 0.0000000E+000, 0.0000000E+000, 2.5787623E-001, 3.1119772E-001, 0.0000000E+000, 8.2880000E-006, 0.0000000E+000
 1.6448672E+000, 4.1092461E-001, 0.0000000E+000,-5.4191638E-002, 6.0555302E-003,-9.3943368E-004,-2.8494653E-005, 0.0000000E+000, 0.0000000E+000, 3.1070021E-001, 3.6182058E-001, 0.0000000E+000, 9.3824000E-006, 0.0000000E+000
 1.7623576E+000, 4.7163764E-001, 0.0000000E+000,-6.6330351E-002, 6.8778691E-003,-1.1849857E-003,-3.2062668E-005, 0.0000000E+000, 0.0000000E+000, 3.6120352E-001, 4.1096811E-001, 0.0000000E+000, 1.0534400E-005, 0.0000000E+000
 1.8798481E+000, 5.2744209E-001, 0.0000000E+000,-1.0293086E-001, 7.1987819E-003,-1.4496758E-003,-3.5472946E-005, 0.0000000E+000, 0.0000000E+000, 4.1022055E-001, 4.3022486E-001, 0.0000000E+000, 1.1628800E-005, 0.0000000E+000
 1.9973387E+000, 5.7977201E-001, 0.0000000E+000,-1.6439763E-001, 7.0378366E-003,-1.7114490E-003,-3.9065119E-005, 0.0000000E+000, 0.0000000E+000, 4.2935446E-001, 4.2066170E-001, 0.0000000E+000, 1.2780800E-005, 0.0000000E+000
 2.1148291E+000, 6.3846490E-001, 0.0000000E+000,-1.7332186E-001, 7.8825549E-003,-1.9559048E-003,-4.5733845E-005, 0.0000000E+000, 0.0000000E+000, 4.1967553E-001, 4.7102396E-001, 0.0000000E+000, 1.4950400E-005, 0.0000000E+000
 2.2323196E+000, 7.0045228E-001, 0.0000000E+000,-1.8747897E-001, 8.6913916E-003,-2.1761152E-003,-5.2817784E-005, 0.0000000E+000, 0.0000000E+000, 4.6991039E-001, 5.1943578E-001, 0.0000000E+000, 1.7254400E-005, 0.0000000E+000
 2.3498101E+000, 7.7738915E-001, 0.0000000E+000,-2.0504595E-001, 9.6982035E-003,-2.3608329E-003,-5.9912318E-005, 0.0000000E+000, 0.0000000E+000, 5.1822799E-001, 5.7962066E-001, 0.0000000E+000, 1.9558400E-005, 0.0000000E+000
 2.4673007E+000, 8.6094793E-001, 0.0000000E+000,-2.1849216E-001, 1.0890094E-002,-2.5076426E-003,-6.6668583E-005, 0.0000000E+000, 0.0000000E+000, 5.7834124E-001, 6.5077155E-001, 0.0000000E+000, 2.1747200E-005, 0.0000000E+000
 2.5847912E+000, 9.4630375E-001, 0.0000000E+000,-2.4033093E-001, 1.1970918E-002,-2.6049832E-003,-7.3783205E-005, 0.0000000E+000, 0.0000000E+000, 6.4944164E-001, 7.1526497E-001, 0.0000000E+000, 2.4051200E-005, 0.0000000E+000
 2.7022817E+000, 1.0294971E+000, 0.0000000E+000,-2.6407882E-001, 1.2984615E-002,-2.6437398E-003,-8.0556399E-005, 0.0000000E+000, 0.0000000E+000, 7.1392142E-001, 7.7567857E-001, 0.0000000E+000, 2.6240000E-005, 0.0000000E+000
 2.8197722E+000, 1.1085652E+000, 0.0000000E+000,-2.7688571E-001, 1.4118473E-002,-2.6174925E-003,-8.7684990E-005, 0.0000000E+000, 0.0000000E+000, 7.7433669E-001, 8.4309282E-001, 0.0000000E+000, 2.8544000E-005, 0.0000000E+000
 2.9372628E+000, 1.1832558E+000, 0.0000000E+000,-3.1197438E-001, 1.4800477E-002,-2.5530708E-003,-9.4813793E-005, 0.0000000E+000, 0.0000000E+000, 8.4177136E-001, 8.8343400E-001, 0.0000000E+000, 3.0848000E-005, 0.0000000E+000
 3.0547533E+000, 1.2546441E+000, 0.0000000E+000,-3.4662047E-001, 1.5431391E-002,-2.5302898E-003,-1.0263647E-004, 0.0000000E+000, 0.0000000E+000, 8.8209926E-001, 9.2082211E-001, 0.0000000E+000, 3.3382400E-005, 0.0000000E+000
