s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-6.9012296E-006, 0.0000000E+000,-4.8247510E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1966030E-005, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 4.9889421E-002, 0.0000000E+000,-2.4008794E-007, 8.4803640E-004, 1.9201485E-009,-9.3726977E-006, 0.0000000E+000, 0.0000000E+000,-1.6225793E-005, 5.0727846E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 1.0090075E-001, 0.0000000E+000,-1.1924075E-005, 1.7174085E-003,-1.7056591E-005,-1.4117696E-005, 0.0000000E+000, 0.0000000E+000, 5.0712225E-002, 1.0257506E-001, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.6443815E-001, 0.0000000E+000,-4.2842930E-003, 2.7279034E-003,-5.8539647E-005,-1.8587291E-005, 0.0000000E+000, 0.0000000E+000, 1.0254843E-001, 1.6280463E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 2.3661315E-001, 0.0000000E+000,-1.0633205E-002, 3.8500898E-003,-1.3883578E-004,-2.3256462E-005, 0.0000000E+000, 0.0000000E+000, 1.6276657E-001, 2.2966795E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 3.1445548E-001, 0.0000000E+000,-1.9172497E-002, 5.0315657E-003,-2.6630692E-004,-2.7662476E-005, 0.0000000E+000, 0.0000000E+000, 2.2962484E-001, 3.0002058E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 3.9704960E-001, 0.0000000E+000,-3.0774168E-002, 6.2405073E-003,-4.4869885E-004,-3.2286167E-005, 0.0000000E+000, 0.0000000E+000, 2.9997459E-001, 3.7203496E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 4.8446867E-001, 0.0000000E+000,-4.5355782E-002, 7.4812249E-003,-6.9289812E-004,-3.6993258E-005, 0.0000000E+000, 0.0000000E+000, 3.7199641E-001, 4.4586422E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
