s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4922110E-002, 0.0000000E+000, 0.0000000E+000,-3.4243025E-007, 2.6637689E-004, 0.0000000E+000,-1.7055693E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5477528E-005, 0.0000000E+000, 1.0752000E-004, 0.0000000E+000
 1.4027193E-001, 8.3958656E-001, 0.0000000E+000,-4.3814113E-006, 1.4630045E-002,-1.1182291E-005,-2.2770500E-004, 0.0000000E+000, 0.0000000E+000, 4.3866007E-002, 8.5397334E-001,-2.7687052E+000, 1.5456000E-004, 0.0000000E+000
 1.9015673E-001, 9.7250641E-001, 0.0000000E+000,-2.6973829E-002, 1.3686852E-002,-6.5201775E-004,-3.0620951E-004, 0.0000000E+000, 0.0000000E+000, 9.0791060E-001, 9.5826121E-001,-4.0770500E+000, 2.1504000E-004, 0.0000000E+000
 2.2926618E-001, 2.9665598E+000, 0.0000000E+000,-5.5461095E-002, 4.8249638E-002,-1.4920846E-003,-3.5292746E-004, 0.0000000E+000, 0.0000000E+000, 1.0198356E+000, 2.9575034E+000,-5.4970681E+000, 2.5536000E-004, 0.0000000E+000
 2.6837564E-001, 2.1142834E+000, 0.0000000E+000,-1.1185246E-001, 2.4560664E-002,-4.0604695E-003,-4.4274617E-004, 0.0000000E+000, 0.0000000E+000, 3.0106043E+000, 2.0224884E+000,-6.5922359E+000, 3.0240000E-004, 0.0000000E+000
 3.0225849E-001, 7.0710596E+000, 0.0000000E+000,-1.9695948E-001, 1.1106223E-001,-5.9040962E-003,-4.5521161E-004, 0.0000000E+000, 0.0000000E+000, 2.1057756E+000, 6.9788030E+000,-7.6682773E+000, 3.3600000E-004, 0.0000000E+000
 3.3614132E-001, 5.4337664E+000, 0.0000000E+000,-3.8228688E-001, 7.2902834E-002,-1.2454194E-002,-6.0648934E-004, 0.0000000E+000, 0.0000000E+000, 7.0496654E+000, 5.1113217E+000,-8.5829598E+000, 3.7632000E-004, 0.0000000E+000
 3.7002417E-001, 8.9006311E+000, 0.0000000E+000,-6.3153856E-001, 1.2985448E-001,-1.7602260E-002,-5.9975137E-004, 0.0000000E+000, 0.0000000E+000, 5.2115677E+000, 8.3807450E+000,-9.4796417E+000, 4.1664000E-004, 0.0000000E+000
 3.9935845E-001, 7.0305231E+000, 0.0000000E+000,-8.0147619E-001, 8.6314710E-002,-2.5461759E-002,-6.9553330E-004, 0.0000000E+000, 0.0000000E+000, 8.4347267E+000, 6.2892044E+000,-1.0356854E+001, 4.5024000E-004,-2.4508013E-028
 4.2869270E-001, 1.2012729E+001, 0.0000000E+000,-1.1344216E+000, 1.6461966E-001,-3.0769480E-002,-6.7343701E-004, 0.0000000E+000, 0.0000000E+000, 6.4331784E+000, 1.1011484E+001,-1.1099559E+001, 4.7712000E-004,-1.4809046E-026
 4.5802698E-001, 1.1113844E+001, 0.0000000E+000,-1.5893672E+000, 1.3398874E-001,-4.1145386E-002,-8.1191950E-004, 0.0000000E+000, 0.0000000E+000, 1.1088456E+001, 9.6165079E+000,-1.1825918E+001, 5.1072000E-004,-1.3405877E-025
 4.8736125E-001, 1.3671971E+001, 0.0000000E+000,-2.1629548E+000, 1.6439156E-001,-4.8832451E-002,-7.4751989E-004, 0.0000000E+000, 0.0000000E+000, 9.7572624E+000, 1.1623828E+001,-1.2535257E+001, 5.4432000E-004,-8.7889984E-025
 5.1319319E-001, 1.4253708E+001, 0.0000000E+000,-2.9506555E+000, 1.5386526E-001,-5.7208487E-002,-8.2026616E-004, 0.0000000E+000, 0.0000000E+000, 1.1731996E+001, 1.1398889E+001,-1.3226989E+001, 5.7792000E-004,-4.1557972E-024
 5.3902513E-001, 1.7240060E+001, 0.0000000E+000,-3.9623588E+000, 1.8709696E-001,-6.3978073E-002,-8.1366643E-004, 0.0000000E+000, 0.0000000E+000, 1.1599865E+001, 1.3400007E+001,-1.3821155E+001, 6.0480000E-004,-1.4806157E-023
 5.6485707E-001, 1.4951221E+001, 0.0000000E+000,-4.8505633E+000, 1.2451713E-001,-7.2075419E-002,-8.8655552E-004, 0.0000000E+000, 0.0000000E+000, 1.3481759E+001, 1.0152212E+001,-1.4400996E+001, 6.3168000E-004,-4.4952552E-023
 5.9068900E-001, 1.8514874E+001, 0.0000000E+000,-6.0043265E+000, 1.6253390E-001,-7.4424249E-002,-8.2126940E-004, 0.0000000E+000, 0.0000000E+000, 1.0419385E+001, 1.2597836E+001,-1.4966278E+001, 6.5856000E-004,-1.3008696E-022
 6.1652094E-001, 1.7028767E+001, 0.0000000E+000,-7.1611013E+000, 1.0879317E-001,-7.8735122E-002,-8.7287297E-004, 0.0000000E+000, 0.0000000E+000, 1.2710897E+001, 9.8968511E+000,-1.5516814E+001, 6.9216000E-004,-3.7454201E-022
 6.4235288E-001, 2.0023098E+001, 0.0000000E+000,-7.3317605E+000, 1.5776932E-001,-7.8764120E-002,-8.6995218E-004, 0.0000000E+000, 0.0000000E+000, 1.0143370E+001, 1.2769473E+001,-1.6052470E+001, 7.1904000E-004,-1.0426127E-021
 6.6818482E-001, 1.7298218E+001, 0.0000000E+000,-7.4935036E+000, 9.9467372E-002,-8.1230715E-002,-9.8366019E-004, 0.0000000E+000, 0.0000000E+000, 1.2826118E+001, 9.8219669E+000,-1.6573156E+001, 7.4592000E-004,-2.7190314E-021
 6.9121718E-001, 1.8640450E+001, 0.0000000E+000,-7.2482698E+000, 1.2331144E-001,-8.0770390E-002,-9.1734254E-004, 0.0000000E+000, 0.0000000E+000, 9.9572796E+000, 1.1433804E+001,-1.7078820E+001, 7.7280000E-004,-6.0434931E-021
