s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9095337E-002, 0.0000000E+000, 0.0000000E+000,-2.2966302E-007,-2.3596023E-004, 0.0000000E+000,-2.9141434E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2760424E-004, 0.0000000E+000, 1.1424000E-004, 0.0000000E+000
 1.8014866E-001, 2.6257341E+000, 0.0000000E+000,-2.6858587E-006, 4.9276643E-002,-6.6926455E-006,-4.6080904E-004, 0.0000000E+000, 0.0000000E+000, 1.4166556E-002, 2.6745406E+000,-1.0765377E+000, 2.0160000E-004, 0.0000000E+000
 2.4448247E-001, 1.8925061E+000, 0.0000000E+000,-5.4712639E-002, 2.4365164E-002,-2.5790761E-003,-6.5599469E-004, 0.0000000E+000, 0.0000000E+000, 2.6807058E+000, 1.8589236E+000,-1.9425053E+000, 2.7552000E-004, 0.0000000E+000
 3.0160227E-001, 1.3735193E+001, 0.0000000E+000,-1.4862545E-001, 2.3923085E-001,-5.0976036E-003,-7.4439669E-004, 0.0000000E+000, 0.0000000E+000, 1.8897398E+000, 1.3819956E+001,-2.6128071E+000, 3.3600000E-004, 0.0000000E+000
 3.5872206E-001, 7.2689227E+000, 0.0000000E+000,-4.7975548E-001, 1.0641395E-001,-2.3144398E-002,-1.1115378E-003, 0.0000000E+000, 0.0000000E+000, 1.3746872E+001, 6.8713253E+000,-3.1910401E+000, 4.0320000E-004, 0.0000000E+000
 4.0691438E-001, 1.7377659E+001, 0.0000000E+000,-8.6370305E-001, 2.7848927E-001,-3.3320793E-002,-1.1214032E-003, 0.0000000E+000, 0.0000000E+000, 6.9632072E+000, 1.6758004E+001,-3.7502705E+000, 4.5696000E-004,-2.6114106E-026
 4.5510668E-001, 1.1627966E+001, 0.0000000E+000,-1.7575507E+000, 1.5232962E-001,-5.6052982E-002,-1.2993027E-003, 0.0000000E+000, 0.0000000E+000, 1.6617963E+001, 9.9653924E+000,-4.2054353E+000, 5.1072000E-004,-6.1168721E-023
 5.0329900E-001, 2.5936016E+001, 0.0000000E+000,-3.3944790E+000, 3.6574926E-001,-6.3683340E-002,-1.3602885E-003, 0.0000000E+000, 0.0000000E+000, 1.0205270E+001, 2.2842243E+001,-4.6439932E+000, 5.6448000E-004,-3.1906273E-022
 5.4635030E-001, 2.5759728E+001, 0.0000000E+000,-7.6145534E+000, 2.8522221E-001,-8.7997638E-002,-1.5500953E-003, 0.0000000E+000, 0.0000000E+000, 2.2842579E+001, 1.8340849E+001,-5.0649152E+000, 6.1152000E-004,-6.3060166E-022
 5.8940160E-001, 3.5188861E+001, 0.0000000E+000,-1.2162737E+001, 3.6748815E-001,-9.7582365E-002,-1.4919758E-003, 0.0000000E+000, 0.0000000E+000, 1.8632877E+001, 2.3294538E+001,-5.4253700E+000, 6.5856000E-004,-2.3127797E-021
 6.3245291E-001, 3.6552416E+001, 0.0000000E+000,-1.7564488E+001, 2.9787105E-001,-1.1182800E-001,-1.7441214E-003, 0.0000000E+000, 0.0000000E+000, 2.3587083E+001, 1.9172227E+001,-5.7707042E+000, 7.0560000E-004,-9.6372178E-021
 6.7550427E-001, 3.9123936E+001, 0.0000000E+000,-1.9999772E+001, 3.1245282E-001,-1.1192095E-001,-1.9890876E-003, 0.0000000E+000, 0.0000000E+000, 1.9156284E+001, 1.9322706E+001,-6.1006541E+000, 7.5936000E-004,-3.6490217E-020
 7.1392709E-001, 3.7860031E+001, 0.0000000E+000,-1.6691585E+001, 3.3257002E-001,-1.1985244E-001,-2.1741329E-003, 0.0000000E+000, 0.0000000E+000, 1.9284124E+001, 2.1378989E+001,-6.4150840E+000, 7.9968000E-004,-2.8776538E-019
 7.5234991E-001, 3.7431583E+001, 0.0000000E+000,-1.7373154E+001, 3.0834929E-001,-1.2684801E-001,-2.3006650E-003, 0.0000000E+000, 0.0000000E+000, 2.1323671E+001, 2.0237629E+001,-6.6825742E+000, 8.4000000E-004,-5.3647435E-018
 7.9077274E-001, 3.6265635E+001, 0.0000000E+000,-1.5828283E+001, 3.0115142E-001,-1.3674808E-001,-2.4195008E-003, 0.0000000E+000, 0.0000000E+000, 2.0184276E+001, 2.0599335E+001,-6.9377540E+000, 8.8704000E-004,-1.8846575E-016
 8.2919556E-001, 3.7660615E+001, 0.0000000E+000,-1.5767775E+001, 3.1312959E-001,-1.4342457E-001,-2.4079296E-003, 0.0000000E+000, 0.0000000E+000, 2.0586999E+001, 2.2060137E+001,-7.1807517E+000, 9.2736000E-004,-4.1863356E-015
 8.6761838E-001, 3.5794190E+001, 0.0000000E+000,-1.5558169E+001, 2.6200432E-001,-1.5367180E-001,-2.4540857E-003, 0.0000000E+000, 0.0000000E+000, 2.2015126E+001, 2.0341899E+001,-7.4117355E+000, 9.7440000E-004,-2.2942669E-013
 9.0604126E-001, 4.1111995E+001, 0.0000000E+000,-1.5326987E+001, 3.4122602E-001,-1.5522738E-001,-2.6948944E-003, 0.0000000E+000, 0.0000000E+000, 2.0448092E+001, 2.5968312E+001,-7.6309558E+000, 1.0147200E-003,-2.3285068E-011
 9.4446409E-001, 4.0421565E+001, 0.0000000E+000,-1.6413651E+001, 2.8272487E-001,-1.6714367E-001,-2.5477952E-003, 0.0000000E+000, 0.0000000E+000, 2.5905366E+001, 2.4120947E+001,-7.8386902E+000, 1.0550400E-003,-5.9680770E-010
 9.8288691E-001, 4.7137874E+001, 0.0000000E+000,-1.7229819E+001, 3.0880118E-001,-1.6992514E-001,-2.5099318E-003, 0.0000000E+000, 0.0000000E+000, 2.4314858E+001, 3.0044421E+001,-8.0352327E+000, 1.1020796E-003,-1.6144159E-007
 1.0213097E+000, 4.4852233E+001, 0.0000000E+000,-1.9741717E+001,-5.1782859E-001,-1.8438447E-001,-2.8117995E-003, 0.0000000E+000, 0.0000000E+000, 2.9727675E+001, 2.4405491E+001,-8.2206768E+000, 1.1421481E-003,-8.8421599E-005
 1.0551857E+000, 5.0176484E+001, 0.0000000E+000,-2.1030796E+001,-1.8694055E+000,-1.8115154E-001,-3.0495590E-003, 0.0000000E+000, 0.0000000E+000, 2.4077197E+001, 2.7092081E+001,-8.3929071E+000, 1.1811919E-003,-7.4067987E-004
 1.0890615E+000, 4.9403963E+001, 0.0000000E+000,-2.3254596E+001,-4.7361846E+000,-1.8864624E-001,-2.8765761E-003, 0.0000000E+000, 0.0000000E+000, 2.6016229E+001, 2.1221659E+001,-8.5323982E+000, 1.2182853E-003,-2.7634056E-003
 1.1229374E+000, 5.7381488E+001, 0.0000000E+000,-2.3971365E+001,-8.4052600E+000,-1.8926415E-001,-3.0078848E-003, 0.0000000E+000, 0.0000000E+000, 2.0289528E+001, 2.4812591E+001,-8.6587255E+000, 1.2475494E-003,-5.7842150E-003
 1.1568134E+000, 5.9773513E+001, 0.0000000E+000,-3.1390089E+001,-1.2750599E+001,-1.9919033E-001,-3.4497014E-003, 0.0000000E+000, 0.0000000E+000, 2.2850424E+001, 1.5430185E+001,-8.7736784E+000, 1.2821430E-003,-9.7126367E-003
 1.1906892E+000, 5.9631664E+001, 0.0000000E+000,-2.9310103E+001,-1.7335529E+001,-2.0442261E-001,-3.5749495E-003, 0.0000000E+000, 0.0000000E+000, 1.2892967E+001, 1.2778035E+001,-8.8798513E+000, 1.3108245E-003,-1.3815470E-002
