s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9095337E-002, 0.0000000E+000, 0.0000000E+000,-2.2966302E-007, 1.0572976E-004, 0.0000000E+000,-2.9154733E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8604723E-004, 0.0000000E+000, 1.1424000E-004, 0.0000000E+000
 1.5286209E-001, 1.5106472E+000, 0.0000000E+000,-2.4286738E-006, 2.7071776E-002,-8.6027476E-006,-3.9777290E-004, 0.0000000E+000, 0.0000000E+000, 1.9821566E-002, 1.5373102E+000,-1.6431365E+000, 1.6800000E-004, 0.0000000E+000
 2.0471202E-001, 1.6252002E+000, 0.0000000E+000,-3.4783481E-002, 2.4494921E-002,-1.4661356E-003,-5.3536045E-004, 0.0000000E+000, 0.0000000E+000, 1.5446051E+000, 1.6129102E+000,-2.5233293E+000, 2.2848000E-004, 0.0000000E+000
 2.4975215E-001, 6.6627923E+000, 0.0000000E+000,-1.0046697E-001, 1.1812757E-001,-3.4102160E-003,-6.3365214E-004, 0.0000000E+000, 0.0000000E+000, 1.6389514E+000, 6.6764090E+000,-3.3587179E+000, 2.8224000E-004, 0.0000000E+000
 2.9479229E-001, 2.9018442E+000, 0.0000000E+000,-1.9078735E-001, 3.9089419E-002,-1.1516056E-002,-8.6228816E-004, 0.0000000E+000, 0.0000000E+000, 6.5736597E+000, 2.7377679E+000,-4.0704880E+000, 3.2928000E-004, 0.0000000E+000
 3.3299950E-001, 1.0829799E+001, 0.0000000E+000,-3.3145707E-001, 1.7825222E-001,-1.5619780E-002,-8.2161720E-004, 0.0000000E+000, 0.0000000E+000, 2.7846019E+000, 1.0660153E+001,-4.7667499E+000, 3.6960000E-004,-5.1424259E-027
 3.7120670E-001, 6.5170795E+000, 0.0000000E+000,-6.1653729E-001, 8.8858670E-002,-2.9684627E-002,-1.1051186E-003, 0.0000000E+000, 0.0000000E+000, 1.0635218E+001, 5.9586112E+000,-5.3435637E+000, 4.1664000E-004,-2.4489967E-023
 4.0941390E-001, 2.6468557E+001, 0.0000000E+000,-8.9479041E-001, 4.2364100E-001,-3.7369649E-002,-1.0813521E-003, 0.0000000E+000, 0.0000000E+000, 6.1214611E+000, 2.5958957E+001,-5.9063968E+000, 4.5696000E-004,-2.5687316E-022
 4.4316655E-001, 2.3063489E+001, 0.0000000E+000,-2.3699975E+000, 3.3479577E-001,-7.1845238E-002,-1.4558692E-003, 0.0000000E+000, 0.0000000E+000, 2.5870606E+001, 2.0954986E+001,-6.4541705E+000, 4.9728000E-004,-6.0250641E-022
